"seed","K_optclust","kmeans_k","true_k","score_optclust","score_kmeans_bestk","score_kmeans_kc","score_true","ari_optclust_kmeans","ari_true_kmeans","are_true_optclust","dataname","metric","method"
2,4,6,2,0.441939286171468,0.540898005765868,0.498022058809351,0.435579082470466,0.375576819861136,0.188533603208666,-10,"Atom","robustdunn","greedy"
2,4,7,7,0.447378145402574,1.27431723010855,0.356510920691567,1.27431723010855,0.711131306985848,1,-10,"Hepta","robustdunn","greedy"
2,4,7,7,0.447378145402574,1.27431723010855,0.356510920691567,1.27431723010855,0.711131306985848,1,-10,"Hepta","robustdunn","localsearch"
2,3,5,3,0.267921114168275,0.418203993242905,0.336088864740935,0.264236341143788,0.462660295170688,0.421561236874518,0.90011182843377,"Lsun","robustdunn","greedy"
2,6,5,3,0.424837193584146,0.418203993242905,0.374486665095827,0.264236341143788,0.944933009953707,0.421561236874518,-10,"Lsun","robustdunn","localsearch"
2,4,4,3,0.566305474563432,0.567756054375863,0.567756054375863,0.439361969849105,0.965511562431061,0.421561236874518,-10,"Lsun","silhouette","localsearch"
2,5,8,6,0.6568838491349,0.561625088466952,0.405936733912546,0.309934750940594,0.0187695196954741,0.634888047667502,-10,"Target","robustdunn","greedy"
2,5,8,6,0.6568838491349,0.561625088466952,0.405936733912546,0.309934750940594,0.0187695196954741,0.634888047667502,-10,"Target","robustdunn","localsearch"
2,4,4,4,0.566646675092223,0.566646675092223,0.566646675092223,0.566646675092223,1,1,1,"Tetra","robustdunn","greedy"
2,4,4,4,0.566646675092223,0.566646675092223,0.566646675092223,0.566646675092223,1,1,1,"Tetra","robustdunn","localsearch"
2,2,2,2,0.303484316206735,0.303484316206735,0.303484316206735,0.303484316206735,1,1,1,"TwoDiamonds","robustdunn","greedy"
2,8,2,2,0.312234073465816,0.303484316206735,0.29197914425018,0.303484316206735,0.418210772796052,1,-10,"TwoDiamonds","robustdunn","localsearch"
2,4,4,2,0.247968402556855,0.294820355650725,0.294820355650725,0.195815576884185,0.569906486882557,0.85584718950503,-10,"WingNut","robustdunn","greedy"
