seed,K_optclust,kmeans_k,true_k,score_optclust,score_kmeans_bestk,score_kmeans_kc,score_true,ari_optclust_kmeans,ari_true_kmeans,are_true_optclust,dataname,metric,method
2,6,8,2,0.492387102,0.60024683,0.562305918,0.311492975,0.792759201,0.188533603,-10,Atom,silhouette,localsearch
2,2,4,2,0.366291907,0.483424081,0.417692946,0.311492975,0.230081665,0.188533603,0.123619263,Atom,silhouette,greedy
2,2,4,2,0.13658177,0.029627328,0.02327703,0.375477265,-0.003581003,0.188533603,1.25E-05,Atom,dunnindex,localsearch
2,2,4,2,0.08609288,0.029627328,0.02327703,0.375477265,0.025811887,0.188533603,7.51E-05,Atom,dunnindex,greedy
2,4,7,7,0.455386338,0.701923199,0.430725328,0.701923199,0.308058712,1,-10,Hepta,silhouette,localsearch
2,3,7,7,0.280934664,0.701923199,0.356963698,0.701923199,0.270425665,1,-10,Hepta,silhouette,greedy
2,4,7,7,0.355198479,1.065010037,0.103729682,1.065010037,0.442416244,1,-10,Hepta,dunnindex,localsearch
2,2,7,7,0.296956862,1.065010037,0.027838599,1.065010037,-0.0669322,1,-10,Hepta,dunnindex,greedy
2,4,5,3,0.563173229,0.566893409,0.565531991,0.477456412,0.965511562,0.421561237,-10,Lsun,silhouette,localsearch
2,2,5,3,0.344722217,0.566893409,0.460618039,0.477456412,0.020028615,0.421561237,-10,Lsun,silhouette,greedy
2,3,4,3,0.147686466,0.037677122,0.029913695,0.147686466,0.421561237,0.421561237,1,Lsun,dunnindex,localsearch
2,2,4,3,0.075115373,0.037677122,0.029642959,0.147686466,0.000988955,0.421561237,-10,Lsun,dunnindex,greedy
2,2,8,6,0.629325894,0.586509433,0.421332398,0.29520828,-0.011116172,0.634888048,-10,Target,silhouette,localsearch
2,2,8,6,0.628912292,0.586509433,0.421332398,0.29520828,0.015749039,0.634888048,-10,Target,silhouette,greedy
2,2,7,6,0.361704117,0.02467436,0.010986722,0.253299133,-0.011116172,0.634888048,-10,Target,dunnindex,localsearch
2,2,7,6,0.361666683,0.02467436,0.010986722,0.253299133,0.015749039,0.634888048,-10,Target,dunnindex,greedy
2,4,4,4,0.50082858,0.505788929,0.505788929,0.505788929,0.980085944,1,0.980085944,Tetra,silhouette,localsearch
2,2,4,4,0.272828751,0.505788929,0.270350152,0.505788929,0.17879837,1,-10,Tetra,silhouette,greedy
2,4,4,4,0.222868324,0.222868324,0.222868324,0.222868324,1,1,1,Tetra,dunnindex,localsearch
2,2,4,4,0.089753488,0.222868324,0.035694144,0.222868324,-0.001673533,1,-10,Tetra,dunnindex,greedy
2,2,2,2,0.630597211,0.630597211,0.630597211,0.630597211,1,1,1,TwoDiamonds,silhouette,localsearch
2,2,2,2,0.630597211,0.630597211,0.630597211,0.630597211,1,1,1,TwoDiamonds,silhouette,greedy
2,2,2,2,0.035432822,0.045,0.045,0.045,0,1,0,TwoDiamonds,dunnindex,localsearch
2,2,2,2,0.035432822,0.045,0.045,0.045,0,1,0,TwoDiamonds,dunnindex,greedy
2,2,2,2,0.338251788,0.460262219,0.460262219,0.448230219,0.207793253,0.85584719,0.145003188,WingNut,silhouette,localsearch
2,2,2,2,0.448230219,0.460262219,0.460262219,0.448230219,0.85584719,0.85584719,1,WingNut,silhouette,greedy
2,2,4,2,0.083205029,0.021543415,0.019844982,0.083205029,0.85584719,0.85584719,1,WingNut,dunnindex,localsearch
2,2,4,2,0.083205029,0.021543415,0.019844982,0.083205029,0.85584719,0.85584719,1,WingNut,dunnindex,greedy
