"seed","K_optclust","kmeans_k","true_k","score_optclust","score_kmeans_bestk","score_kmeans_kc","score_true","ari_optclust_kmeans","ari_true_kmeans","are_true_optclust","dataname","metric","method"
2,4,6,2,0.441939286171468,0.540898005765868,0.498022058809351,0.435579082470466,0.375576819861136,0.188533603208666,-10,"Atom","robustdunn","greedy"
2,4,7,7,0.447378145402574,1.27431723010855,0.356510920691567,1.27431723010855,0.711131306985848,1,-10,"Hepta","robustdunn","greedy"
2,4,7,7,0.447378145402574,1.27431723010855,0.356510920691567,1.27431723010855,0.711131306985848,1,-10,"Hepta","robustdunn","localsearch"
2,3,5,3,0.267921114168275,0.418203993242905,0.336088864740935,0.264236341143788,0.462660295170688,0.421561236874518,0.90011182843377,"Lsun","robustdunn","greedy"
2,5,5,3,0.422104857263299,0.418203993242905,0.418203993242905,0.264236341143788,0.97886397901003,0.421561236874518,-10,"Lsun","robustdunn","localsearch"
2,5,8,6,0.372151989739082,0.561625088466952,0.405936733912546,0.309934750940594,0.824297519417732,0.634888047667502,-10,"Target","robustdunn","greedy"
2,4,4,4,0.566646675092223,0.566646675092223,0.566646675092223,0.566646675092223,1,1,1,"Tetra","robustdunn","greedy"
2,4,4,4,0.566646675092223,0.566646675092223,0.566646675092223,0.566646675092223,1,1,1,"Tetra","robustdunn","localsearch"
2,2,2,2,0.303484316206735,0.303484316206735,0.303484316206735,0.303484316206735,1,1,1,"TwoDiamonds","robustdunn","greedy"
2,6,2,2,0.312182916920391,0.303484316206735,0.223228447380481,0.303484316206735,0.438363342777383,1,-10,"TwoDiamonds","robustdunn","localsearch"
2,4,4,2,0.247968402556855,0.294820355650725,0.294820355650725,0.195815576884185,0.569906486882557,0.85584718950503,-10,"WingNut","robustdunn","greedy"
