"Duration","Morning","Afternoon","Evening","Night","Weekday","Weekend","Male","Age"
879,1,0,0,0,1,0,0,45
217,0,1,0,0,1,0,1,59
249,0,1,0,0,0,1,1,31
1063,0,1,0,0,0,1,0,32
562,0,1,0,0,1,0,1,45
505,1,0,0,0,1,0,1,57
437,0,1,0,0,1,0,1,50
516,0,0,1,0,1,0,1,29
346,1,0,0,0,1,0,1,43
736,0,1,0,0,1,0,1,34
1079,0,0,1,0,1,0,1,35
497,0,0,1,0,1,0,1,38
458,1,0,0,0,1,0,1,37
149,1,0,0,0,1,0,1,22
494,0,0,1,0,0,1,0,25
1081,0,1,0,0,0,1,1,42
720,0,1,0,0,1,0,1,45
1233,0,0,1,0,1,0,0,28
689,1,0,0,0,1,0,1,62
649,1,0,0,0,1,0,0,29
823,1,0,0,0,1,0,0,30
397,0,0,1,0,1,0,1,44
167,1,0,0,0,0,1,1,21
339,1,0,0,0,1,0,1,37
445,0,1,0,0,0,1,1,46
277,0,0,1,0,1,0,1,29
1672,0,1,0,0,1,0,1,25
452,1,0,0,0,1,0,0,63
1494,0,0,1,0,1,0,1,28
457,0,0,1,0,1,0,1,28
227,0,0,1,0,1,0,1,33
607,0,0,1,0,1,0,1,30
676,0,0,1,0,1,0,1,39
330,0,0,1,0,1,0,1,61
513,1,0,0,0,1,0,1,43
484,0,0,1,0,1,0,1,42
474,0,1,0,0,1,0,1,31
1169,0,1,0,0,1,0,0,38
687,0,1,0,0,1,0,1,62
356,0,1,0,0,1,0,1,53
751,1,0,0,0,0,1,0,38
457,0,0,1,0,1,0,1,52
419,1,0,0,0,1,0,1,61
838,0,0,1,0,1,0,1,29
397,0,1,0,0,0,1,0,30
211,0,1,0,0,1,0,1,28
933,0,1,0,0,1,0,1,28
729,1,0,0,0,1,0,1,45
671,1,0,0,0,1,0,1,34
740,0,1,0,0,1,0,1,37
273,0,1,0,0,1,0,1,57
503,0,1,0,0,1,0,1,35
1878,0,1,0,0,0,1,0,47
577,0,1,0,0,1,0,1,45
659,0,1,0,0,1,0,0,28
701,1,0,0,0,1,0,0,35
779,0,1,0,0,1,0,1,23
841,0,0,1,0,1,0,0,35
155,0,0,1,0,1,0,0,24
283,0,0,1,0,1,0,1,24
545,0,1,0,0,1,0,1,28
597,1,0,0,0,0,1,1,48
1358,1,0,0,0,1,0,0,33
301,1,0,0,0,1,0,1,24
431,0,1,0,0,1,0,1,38
677,1,0,0,0,1,0,1,35
540,0,1,0,0,1,0,1,30
318,1,0,0,0,0,1,1,27
846,1,0,0,0,1,0,0,25
366,1,0,0,0,1,0,0,49
356,0,0,1,0,1,0,1,21
394,0,1,0,0,1,0,0,24
729,0,1,0,0,1,0,1,44
413,0,0,1,0,1,0,1,20
1330,1,0,0,0,1,0,1,50
787,0,1,0,0,1,0,1,46
503,0,0,1,0,1,0,1,38
305,0,1,0,0,1,0,0,30
1081,0,1,0,0,1,0,0,40
427,0,1,0,0,1,0,0,28
90,0,1,0,0,1,0,1,22
377,0,1,0,0,0,1,1,38
473,1,0,0,0,1,0,1,32
357,1,0,0,0,1,0,0,28
752,0,0,1,0,0,1,1,29
900,0,0,1,0,1,0,0,31
414,0,1,0,0,0,1,1,55
748,0,1,0,0,1,0,1,23
466,1,0,0,0,1,0,1,51
340,0,1,0,0,1,0,0,39
432,1,0,0,0,1,0,1,27
391,0,1,0,0,1,0,1,41
1282,0,1,0,0,0,1,1,29
901,1,0,0,0,1,0,0,27
1077,1,0,0,0,1,0,1,28
455,1,0,0,0,0,1,0,55
263,0,1,0,0,1,0,0,43
341,1,0,0,0,1,0,1,55
602,0,0,1,0,1,0,1,39
534,0,0,1,0,1,0,1,32
344,1,0,0,0,1,0,1,26
424,1,0,0,0,1,0,1,50
1238,0,1,0,0,1,0,1,27
427,0,0,1,0,1,0,0,31
542,0,0,0,1,1,0,1,31
577,1,0,0,0,1,0,1,24
316,1,0,0,0,1,0,1,32
631,0,1,0,0,0,1,1,28
744,0,1,0,0,1,0,1,51
665,0,0,1,0,1,0,1,24
683,0,1,0,0,1,0,0,27
470,0,0,0,1,0,1,1,27
844,0,1,0,0,1,0,0,25
590,0,1,0,0,0,1,1,28
1005,1,0,0,0,1,0,1,52
446,0,1,0,0,1,0,1,31
489,0,1,0,0,0,1,1,29
304,0,0,0,1,0,1,1,32
860,0,0,1,0,1,0,1,32
287,1,0,0,0,1,0,1,31
561,0,1,0,0,1,0,1,43
289,0,1,0,0,1,0,1,40
421,1,0,0,0,1,0,1,43
252,1,0,0,0,1,0,1,44
1504,1,0,0,0,0,1,1,53
1629,0,1,0,0,1,0,0,40
460,1,0,0,0,1,0,1,36
484,1,0,0,0,1,0,0,37
1401,0,1,0,0,1,0,1,25
1423,0,1,0,0,0,1,1,28
719,0,1,0,0,1,0,1,51
338,0,0,1,0,1,0,1,25
205,0,1,0,0,1,0,1,42
371,0,1,0,0,1,0,1,49
492,1,0,0,0,1,0,1,52
409,0,1,0,0,1,0,1,48
461,0,1,0,0,1,0,1,62
160,0,0,0,1,0,1,0,22
516,1,0,0,0,1,0,0,38
561,0,0,1,0,1,0,1,32
1044,0,1,0,0,1,0,0,25
773,1,0,0,0,1,0,1,50
208,0,0,1,0,1,0,1,23
347,1,0,0,0,1,0,0,27
955,0,1,0,0,1,0,1,25
300,0,1,0,0,1,0,1,38
1713,1,0,0,0,1,0,1,40
338,1,0,0,0,1,0,1,51
930,1,0,0,0,1,0,1,30
478,1,0,0,0,1,0,1,45
360,0,1,0,0,1,0,1,55
177,0,1,0,0,0,1,1,27
685,0,1,0,0,1,0,1,29
493,0,0,0,1,0,1,1,28
660,0,0,0,1,1,0,0,33
464,1,0,0,0,1,0,1,28
264,0,0,0,1,0,1,1,19
211,0,1,0,0,1,0,1,51
1145,0,0,1,0,1,0,1,37
725,0,1,0,0,1,0,0,56
675,0,1,0,0,1,0,1,58
263,1,0,0,0,0,1,1,53
551,0,1,0,0,0,1,1,28
937,1,0,0,0,1,0,1,39
278,1,0,0,0,1,0,1,26
803,1,0,0,0,1,0,1,28
396,0,0,1,0,1,0,0,22
1277,1,0,0,0,0,1,1,29
244,0,1,0,0,0,1,1,30
702,0,1,0,0,0,1,0,27
446,0,0,0,1,1,0,1,51
252,0,1,0,0,1,0,1,42
572,1,0,0,0,1,0,0,38
578,0,1,0,0,1,0,1,55
3136,0,0,1,0,1,0,0,33
1171,0,0,1,0,1,0,1,40
626,0,1,0,0,1,0,1,22
512,0,0,1,0,1,0,1,49
304,0,0,1,0,1,0,1,25
234,0,1,0,0,1,0,0,24
