"Duration","Morning","Afternoon","Evening","Night","Weekday","Weekend","Male","Age"
560,0,0,1,0,1,0,1,19
635,0,1,0,0,1,0,1,25
1174,0,1,0,0,1,0,1,31
310,0,1,0,0,1,0,1,51
932,0,0,1,0,0,1,0,42
183,0,1,0,0,0,1,1,50
232,0,1,0,0,1,0,1,55
559,0,0,0,1,0,1,1,34
350,0,1,0,0,1,0,1,33
351,0,1,0,0,1,0,0,26
681,1,0,0,0,1,0,0,44
1878,1,0,0,0,0,1,0,37
663,0,1,0,0,0,1,1,35
348,0,1,0,0,1,0,1,25
993,0,1,0,0,1,0,1,40
411,0,1,0,0,0,1,1,29
388,0,1,0,0,1,0,1,37
302,0,1,0,0,1,0,1,64
1398,0,1,0,0,1,0,1,25
521,1,0,0,0,1,0,1,41
215,1,0,0,0,1,0,1,54
360,0,0,1,0,1,0,0,45
358,0,1,0,0,1,0,1,34
1069,0,1,0,0,0,1,0,31
340,0,0,1,0,0,1,1,20
460,0,0,1,0,0,1,1,26
1117,0,1,0,0,1,0,0,22
300,0,1,0,0,1,0,1,25
541,1,0,0,0,1,0,1,48
18,0,1,0,0,1,0,1,24
426,1,0,0,0,1,0,1,28
413,0,0,1,0,1,0,1,32
357,0,1,0,0,1,0,1,28
427,0,1,0,0,1,0,0,38
1040,0,0,0,1,1,0,1,44
287,1,0,0,0,1,0,1,34
1520,1,0,0,0,1,0,1,42
573,1,0,0,0,1,0,0,29
442,1,0,0,0,1,0,1,37
644,0,1,0,0,1,0,1,26
829,1,0,0,0,1,0,1,44
882,0,0,1,0,1,0,1,33
1062,1,0,0,0,1,0,1,41
378,1,0,0,0,0,1,1,30
606,1,0,0,0,1,0,1,29
461,0,1,0,0,1,0,1,41
930,1,0,0,0,1,0,0,23
858,0,1,0,0,1,0,1,28
312,1,0,0,0,1,0,1,38
489,0,0,1,0,1,0,1,36
371,1,0,0,0,1,0,1,28
364,0,1,0,0,1,0,1,47
1364,0,1,0,0,1,0,1,27
1562,1,0,0,0,1,0,0,55
569,0,0,0,1,0,1,0,27
1043,1,0,0,0,1,0,0,29
76,0,0,1,0,1,0,1,23
628,0,0,1,0,1,0,1,29
442,0,0,1,0,1,0,1,34
171,0,0,1,0,1,0,1,26
251,0,1,0,0,1,0,1,51
1281,1,0,0,0,1,0,1,22
1253,1,0,0,0,1,0,1,28
1025,0,0,1,0,1,0,1,24
629,0,1,0,0,1,0,1,33
953,0,1,0,0,1,0,1,17
713,1,0,0,0,1,0,1,28
362,1,0,0,0,1,0,1,40
461,0,0,1,0,1,0,0,27
808,0,1,0,0,1,0,1,48
277,0,0,0,1,0,1,1,24
541,0,1,0,0,1,0,1,45
1100,0,0,1,0,1,0,1,24
6,0,0,1,0,1,0,1,24
665,1,0,0,0,1,0,1,28
434,0,1,0,0,0,1,1,50
119,0,0,1,0,1,0,1,47
544,1,0,0,0,1,0,1,26
940,1,0,0,0,1,0,1,41
221,0,0,0,1,0,1,1,57
759,0,0,1,0,1,0,1,27
450,1,0,0,0,1,0,1,36
207,0,1,0,0,1,0,1,26
181,0,1,0,0,0,1,1,23
912,0,1,0,0,1,0,1,39
238,0,1,0,0,1,0,0,42
602,1,0,0,0,1,0,1,36
587,1,0,0,0,0,1,0,30
804,0,1,0,0,0,1,0,55
300,1,0,0,0,1,0,0,32
243,0,0,1,0,0,1,0,53
1151,0,1,0,0,0,1,0,26
637,0,1,0,0,0,1,1,33
465,0,1,0,0,1,0,1,48
494,0,0,1,0,1,0,1,41
614,0,1,0,0,1,0,1,42
1127,0,1,0,0,0,1,1,27
2210,0,1,0,0,0,1,1,26
542,0,1,0,0,1,0,1,43
262,1,0,0,0,1,0,1,32
1246,1,0,0,0,1,0,1,34
393,0,1,0,0,1,0,1,25
271,0,1,0,0,1,0,1,20
1320,0,1,0,0,1,0,1,64
295,0,0,1,0,1,0,1,33
1282,1,0,0,0,1,0,0,45
1384,0,1,0,0,0,1,0,31
667,0,0,1,0,1,0,1,28
288,0,1,0,0,1,0,1,52
382,0,1,0,0,1,0,1,31
574,0,0,1,0,1,0,1,59
302,0,1,0,0,1,0,1,38
635,1,0,0,0,1,0,1,25
508,0,0,1,0,1,0,1,27
1416,1,0,0,0,1,0,0,33
431,0,1,0,0,1,0,0,22
338,1,0,0,0,1,0,1,37
969,0,0,1,0,1,0,0,29
482,0,0,1,0,1,0,1,27
944,0,1,0,0,1,0,1,33
409,0,1,0,0,1,0,1,64
571,0,0,1,0,0,1,1,28
395,1,0,0,0,0,1,1,28
676,0,0,1,0,1,0,0,36
1412,1,0,0,0,1,0,1,39
749,0,0,1,0,1,0,1,27
387,1,0,0,0,1,0,1,29
124,1,0,0,0,1,0,0,44
904,1,0,0,0,1,0,0,50
723,0,1,0,0,1,0,1,31
1492,0,1,0,0,1,0,1,31
469,0,0,1,0,1,0,0,27
8070,0,1,0,0,0,1,0,24
816,1,0,0,0,1,0,1,33
615,0,0,1,0,1,0,1,53
1083,0,0,1,0,0,1,1,31
124,0,1,0,0,1,0,1,30
606,0,0,1,0,1,0,1,29
277,0,0,1,0,1,0,1,61
150,0,1,0,0,1,0,1,29
570,0,1,0,0,1,0,1,35
3655,0,1,0,0,0,1,1,32
1811,0,0,1,0,0,1,0,53
229,0,1,0,0,1,0,1,17
422,0,0,1,0,1,0,1,38
1041,0,0,1,0,0,1,1,27
194,0,1,0,0,0,1,0,36
1042,1,0,0,0,1,0,1,39
1366,0,1,0,0,1,0,0,29
352,1,0,0,0,1,0,1,47
1180,1,0,0,0,1,0,1,32
12,0,0,0,1,0,1,1,30
710,0,0,1,0,1,0,1,24
204,1,0,0,0,1,0,1,27
533,1,0,0,0,1,0,1,29
344,0,1,0,0,1,0,0,38
616,0,1,0,0,0,1,1,29
736,1,0,0,0,1,0,0,27
737,0,1,0,0,1,0,1,21
418,1,0,0,0,1,0,0,45
421,0,0,1,0,1,0,1,21
869,1,0,0,0,1,0,1,50
1111,1,0,0,0,1,0,1,27
439,1,0,0,0,1,0,1,41
353,1,0,0,0,1,0,1,49
605,0,1,0,0,1,0,1,26
450,0,1,0,0,1,0,0,26
445,1,0,0,0,1,0,1,24
805,1,0,0,0,1,0,1,37
271,0,0,1,0,0,1,1,24
257,0,0,1,0,1,0,1,33
537,0,1,0,0,1,0,1,45
144,1,0,0,0,1,0,1,46
898,0,0,1,0,1,0,1,26
398,1,0,0,0,1,0,1,25
195,1,0,0,0,1,0,1,50
254,0,0,1,0,0,1,1,33
155,0,1,0,0,1,0,1,38
753,0,1,0,0,1,0,1,32
326,1,0,0,0,1,0,1,50
1203,1,0,0,0,1,0,1,22
587,1,0,0,0,1,0,0,39
437,0,0,1,0,1,0,1,49
402,1,0,0,0,1,0,1,29
412,0,1,0,0,0,1,1,48
1033,0,1,0,0,0,1,0,39
380,0,1,0,0,1,0,1,39
269,0,1,0,0,1,0,1,37
632,1,0,0,0,1,0,1,55
1690,0,0,1,0,1,0,1,30
417,0,0,0,1,1,0,1,36
484,0,0,1,0,1,0,1,26
587,0,1,0,0,1,0,0,29
464,0,1,0,0,1,0,1,53
133,1,0,0,0,1,0,1,21
507,0,1,0,0,1,0,1,31
321,1,0,0,0,1,0,0,29
672,0,1,0,0,1,0,1,45
303,0,1,0,0,1,0,1,23
848,1,0,0,0,1,0,1,41
584,0,0,1,0,1,0,1,20
121,0,1,0,0,0,1,0,47
415,1,0,0,0,1,0,1,29
659,0,0,1,0,1,0,1,20
612,1,0,0,0,1,0,0,38
527,0,0,1,0,0,1,1,29
208,1,0,0,0,1,0,1,30
1109,0,1,0,0,1,0,0,31
562,1,0,0,0,1,0,0,62
265,1,0,0,0,1,0,1,37
1006,1,0,0,0,1,0,1,57
1098,1,0,0,0,0,1,0,29
239,0,0,1,0,1,0,1,40
445,0,1,0,0,1,0,1,55
666,0,1,0,0,0,1,1,43
150,0,1,0,0,1,0,1,23
719,0,0,1,0,1,0,1,33
624,0,1,0,0,1,0,1,56
688,0,1,0,0,1,0,1,56
646,0,1,0,0,1,0,1,24
