seed,K_optclust,kmeans_k,true_k,score_optclust,score_kmeans_bestk,score_kmeans_kc,score_true,ari_optclust_kmeans,ari_true_kmeans,are_true_optclust,dataname,metric,method
2,2,2,-10,0.749652456,0.754179279,0.754179279,-10,0.962507687,-10,-10,Sales_Transactions_UCI,silhouette,localsearch
2,2,2,-10,0.735583974,0.754179279,0.754179279,-10,0.912323623,-10,-10,Sales_Transactions_UCI,silhouette,greedy
2,4,2,-10,0.293648703,0.242887833,0.201233012,-10,0.424092592,-10,-10,Sales_Transactions_UCI,dunnindex,localsearch
2,2,2,-10,0.187860211,0.242887833,0.242887833,-10,0.010646685,-10,-10,Sales_Transactions_UCI,dunnindex,greedy
2,2,2,-10,0.516646944,0.513077126,0.513077126,-10,0.985957133,-10,-10,DailyKos,silhouette,localsearch
2,2,2,-10,0.168700213,0.513077126,0.513077126,-10,0.001089387,-10,-10,DailyKos,silhouette,greedy
2,2,2,-10,0.649163291,0.355603237,0.355603237,-10,0.985957133,-10,-10,DailyKos,dunnindex,localsearch
2,2,2,-10,0.162230949,0.355603237,0.355603237,-10,0.001089387,-10,-10,DailyKos,dunnindex,greedy
2,2,7,-10,0.407668976,0.082733332,0.069656897,-10,-0.000864304,-10,-10,NasdaqReturns_mod,silhouette,localsearch
2,2,7,-10,0.312625665,0.082733332,0.069656897,-10,-0.000864304,-10,-10,NasdaqReturns_mod,silhouette,greedy
2,2,4,-10,0.692257357,0.360584584,0.360584584,-10,-0.000864304,-10,-10,NasdaqReturns_mod,dunnindex,localsearch
2,2,4,-10,0.562791829,0.360584584,0.360584584,-10,-0.000864304,-10,-10,NasdaqReturns_mod,dunnindex,greedy
2,2,2,-10,0.804139168,0.157810144,0.157810144,-10,-0.030608912,-10,-10,Wholesale_UCI,silhouette,localsearch
2,2,2,-10,0.804139168,0.157810144,0.157810144,-10,-0.030608912,-10,-10,Wholesale_UCI,silhouette,greedy
2,2,3,-10,0.65436721,0.015425847,0.013242577,-10,-0.030608912,-10,-10,Wholesale_UCI,dunnindex,localsearch
2,2,3,-10,0.65436721,0.015425847,0.013242577,-10,-0.030608912,-10,-10,Wholesale_UCI,dunnindex,greedy
