truth,icot,oct,kmeans_plus,hclust,gmm,dbscan
1,2,3,1,1,2,1
1,3,1,1,2,1,2
1,3,3,3,3,2,3
1,3,1,1,4,1,4
1,3,4,4,5,0,5
1,3,4,4,5,2,6
1,3,4,4,5,0,7
1,3,3,3,3,2,8
1,3,4,4,3,2,9
1,3,4,4,5,0,10
1,3,1,1,4,1,11
1,3,1,1,6,2,12
1,3,2,2,1,3,13
1,3,4,4,6,2,14
1,3,4,4,5,0,15
1,3,3,3,7,2,16
1,3,1,3,2,1,17
1,3,4,4,3,2,18
1,3,1,1,6,2,19
1,3,2,2,8,2,20
1,3,2,2,8,2,21
1,3,1,1,4,1,22
1,3,1,1,2,1,23
1,3,2,2,1,3,24
1,3,4,4,6,2,25
1,3,3,3,7,2,26
1,3,4,4,5,0,27
1,3,1,1,2,1,28
1,3,1,1,4,1,29
1,3,2,2,1,3,30
1,3,3,3,3,2,31
1,3,1,1,4,1,32
1,3,1,1,4,1,33
1,3,1,1,2,1,34
1,3,4,4,5,0,35
1,3,1,1,4,1,36
1,3,1,1,1,1,37
1,3,3,1,6,1,38
1,3,4,4,5,0,39
1,3,4,4,5,0,40
1,3,4,4,6,2,41
1,3,4,4,5,0,42
1,3,4,4,5,2,43
1,3,2,2,1,3,44
1,3,3,3,8,2,45
1,3,3,3,3,2,46
1,3,4,4,5,0,47
1,3,2,2,1,2,48
1,3,4,4,2,1,49
1,3,1,3,2,1,50
1,3,2,2,8,2,51
1,3,2,2,1,3,52
1,3,2,2,7,2,53
1,3,2,2,1,1,54
1,3,4,4,2,0,55
1,3,2,2,8,2,56
1,3,2,2,1,3,57
1,3,2,2,1,1,58
1,3,4,4,5,0,59
1,3,3,3,6,2,60
1,3,4,4,2,1,61
1,3,1,1,4,1,62
1,3,1,3,2,1,63
1,3,2,2,1,1,64
1,3,2,2,1,3,65
1,3,3,3,6,2,66
1,3,4,4,5,0,67
1,3,2,2,1,3,68
1,3,1,1,4,1,69
1,3,2,2,1,3,70
1,3,3,3,7,2,71
1,3,1,1,6,1,72
1,3,2,2,1,3,73
1,3,4,4,6,0,74
1,3,3,3,7,2,75
1,3,3,3,8,2,76
1,3,4,4,5,0,77
1,3,2,2,1,1,78
1,3,4,4,5,0,79
1,3,2,2,1,1,80
1,3,4,4,5,0,81
1,3,2,2,2,1,82
1,3,2,2,1,3,83
1,3,1,1,4,1,84
1,3,2,2,2,1,85
1,3,1,1,4,1,86
1,3,4,4,5,0,87
1,3,3,3,6,2,88
1,3,2,2,1,3,89
1,3,4,4,5,0,90
1,3,3,3,7,2,91
1,3,1,1,4,1,92
1,3,4,4,5,0,93
1,3,3,3,7,2,94
1,3,3,3,7,2,95
1,3,2,2,2,1,96
1,3,3,3,7,2,97
1,3,3,3,8,2,98
1,3,4,4,5,0,99
1,3,4,4,2,1,100
1,3,4,4,6,2,101
1,3,4,4,5,0,102
1,3,2,2,8,2,103
1,3,1,1,2,1,104
1,3,3,3,7,2,105
1,3,4,4,2,1,106
1,3,4,4,5,0,107
1,3,3,3,3,2,108
1,3,1,1,6,0,109
1,3,1,3,2,1,110
1,3,3,3,3,2,111
1,3,1,1,4,1,112
1,3,1,1,1,1,113
1,3,1,1,2,1,114
1,3,3,2,1,2,115
1,3,2,2,1,3,116
1,3,4,4,5,0,117
1,3,4,4,5,0,118
1,3,2,3,7,2,119
1,3,4,4,5,0,120
1,3,3,3,7,2,121
1,3,2,2,2,1,122
1,3,1,1,2,1,123
1,3,2,2,2,1,124
1,3,3,3,2,1,125
1,3,3,3,7,2,126
1,3,4,4,5,0,127
1,3,4,4,6,2,128
1,3,1,1,4,1,129
1,3,4,4,5,0,130
1,3,3,3,3,2,131
1,3,1,1,4,1,132
1,3,4,4,5,0,133
1,3,4,4,5,0,134
1,3,2,2,1,3,135
1,3,4,4,3,2,136
1,3,1,1,6,1,137
1,3,2,2,1,1,138
1,3,1,1,4,1,139
1,3,4,4,5,0,140
1,3,2,2,1,3,141
1,3,3,3,3,2,142
1,3,3,3,7,2,143
1,3,2,2,1,3,144
1,3,3,3,8,2,145
1,3,2,2,1,3,146
1,3,3,3,6,2,147
1,3,4,4,6,0,148
1,3,2,2,2,1,149
1,3,1,1,1,1,150
1,3,2,2,1,3,151
1,3,4,4,5,0,152
1,3,2,2,1,3,153
1,3,2,2,8,2,154
1,3,2,2,1,1,155
1,3,1,1,4,1,156
1,3,2,3,7,2,157
1,3,2,2,1,3,158
1,3,3,3,6,2,159
1,3,2,2,1,3,160
1,3,2,2,1,3,161
1,3,4,4,5,2,162
1,3,4,4,5,0,163
1,3,2,2,1,3,164
1,3,2,2,1,2,165
1,3,4,4,5,2,166
1,3,3,3,6,2,167
1,3,4,4,5,0,168
1,3,2,2,1,1,169
1,3,1,1,4,1,170
1,3,4,4,2,1,171
1,3,4,4,6,2,172
1,3,2,2,7,2,173
1,3,2,2,7,3,174
1,3,2,2,1,1,175
1,3,4,4,5,0,176
1,3,1,1,4,1,177
1,3,3,3,8,2,178
1,3,4,4,5,0,179
1,3,2,2,1,3,180
1,3,1,1,4,1,181
1,3,1,1,4,1,182
1,3,2,2,8,2,183
1,3,4,4,6,0,184
1,3,1,1,4,1,185
1,3,4,4,7,2,186
1,3,4,4,5,0,187
1,3,1,1,2,1,188
1,3,1,1,4,1,189
1,3,1,1,1,1,190
1,3,4,4,5,2,191
1,3,4,4,5,0,192
1,3,1,1,4,1,193
1,3,3,3,7,2,194
1,3,1,1,2,1,195
1,3,4,4,5,0,196
1,3,2,2,1,3,197
1,3,4,4,6,2,198
1,3,2,2,1,3,199
1,3,1,1,1,1,200
1,3,2,2,8,2,201
1,3,1,1,2,1,202
1,3,4,4,2,1,203
1,3,3,2,8,2,204
1,3,2,2,1,3,205
1,3,2,2,1,3,206
1,3,3,3,7,2,207
1,3,2,2,2,1,208
1,3,2,2,8,2,209
1,3,4,4,5,0,210
1,3,3,3,8,2,211
1,3,3,3,7,2,212
1,3,4,4,5,0,213
1,3,4,4,5,0,214
1,3,3,3,6,2,215
1,3,3,3,8,2,216
1,3,2,2,1,3,217
1,3,2,2,2,1,218
1,3,4,4,2,1,219
1,3,3,3,6,2,220
1,3,3,2,8,2,221
1,3,4,4,5,0,222
1,3,3,3,3,2,223
1,3,2,2,1,3,224
1,3,1,1,6,2,225
1,3,1,1,2,1,226
1,3,2,2,8,3,227
1,3,2,2,2,3,228
1,3,3,3,8,2,229
1,3,1,1,4,1,230
1,3,3,3,6,2,231
1,3,1,3,2,1,232
1,3,1,1,6,1,233
1,3,4,4,2,0,234
1,3,4,4,5,0,235
1,3,4,4,5,2,236
1,3,2,2,1,3,237
1,3,2,2,8,2,238
1,3,4,4,3,2,239
1,3,2,2,1,3,240
1,3,3,3,7,2,241
1,3,2,2,2,1,242
1,3,1,1,4,1,243
1,3,2,2,1,2,244
1,3,4,4,5,2,245
1,3,2,2,1,2,246
1,3,1,1,2,1,247
1,3,2,2,1,3,248
1,3,4,4,2,1,249
1,3,4,4,5,0,250
1,3,4,4,5,0,251
1,3,1,1,4,1,252
1,3,2,2,7,2,253
1,3,2,2,1,1,254
1,3,1,1,4,1,255
1,3,2,2,2,1,256
1,3,4,4,5,0,257
1,3,3,3,3,2,258
1,3,1,3,2,1,259
1,3,4,4,5,0,260
1,3,2,2,1,3,261
1,3,2,2,1,3,262
1,3,2,2,1,3,263
1,3,3,3,8,2,264
1,3,2,2,1,3,265
1,3,2,2,8,2,266
1,3,2,2,1,1,267
1,3,4,4,5,0,268
1,3,3,3,7,2,269
1,3,1,1,6,1,270
1,3,4,4,5,0,271
1,3,3,2,1,2,272
1,3,4,4,6,0,273
1,3,4,4,5,0,274
1,3,3,3,6,2,275
1,3,2,2,1,3,276
1,3,2,2,1,2,277
1,3,2,2,2,1,278
1,3,4,4,5,0,279
1,3,2,2,1,1,280
1,3,2,2,1,3,281
1,3,2,2,1,3,282
1,3,3,3,7,2,283
1,3,2,2,1,3,284
1,2,3,1,1,2,285
1,3,4,4,5,0,286
1,3,4,4,5,0,287
1,3,4,4,5,2,288
1,3,1,1,4,1,289
1,3,4,4,5,0,290
1,3,3,3,7,2,291
1,3,1,1,4,1,292
1,3,1,3,2,1,293
1,3,2,2,1,3,294
1,3,1,3,2,1,295
1,3,4,4,3,0,296
1,3,1,1,4,1,297
1,3,2,2,1,3,298
1,3,2,2,1,1,299
1,3,4,4,5,0,300
1,3,4,4,5,0,301
1,3,2,2,1,3,302
1,3,2,2,1,3,303
1,3,3,3,7,2,304
1,3,2,2,1,3,305
1,3,2,2,1,3,306
1,3,2,2,1,3,307
1,3,4,4,5,0,308
1,3,2,2,1,3,309
1,3,4,4,2,1,310
1,3,1,1,4,1,311
1,3,2,2,1,3,312
1,3,4,4,5,0,313
1,3,4,4,5,0,314
1,3,1,1,4,1,315
1,3,1,1,4,1,316
1,3,1,1,4,1,317
1,3,4,4,5,0,318
1,3,2,2,1,2,319
1,3,4,4,6,2,320
1,3,2,2,1,3,321
1,3,1,1,2,1,322
1,3,3,3,5,2,323
1,3,2,2,2,1,324
1,3,1,1,2,1,325
1,3,2,2,8,2,326
1,3,1,1,6,0,327
1,3,4,4,5,2,328
1,3,4,4,5,0,329
1,3,1,1,6,1,330
1,3,4,1,4,1,331
1,3,1,2,2,1,332
1,3,4,4,5,0,333
1,3,3,3,3,2,334
1,3,4,4,5,0,335
1,3,3,3,7,2,336
1,3,2,2,1,3,337
1,3,2,2,1,3,338
1,3,2,2,8,2,339
1,3,4,4,5,0,340
1,3,4,4,3,2,341
1,3,1,1,1,1,342
1,3,2,2,2,1,343
1,3,3,3,2,1,344
1,3,4,4,5,0,345
1,3,2,2,1,3,346
1,3,2,2,1,3,347
1,3,3,3,8,2,348
1,3,4,4,6,2,349
1,3,3,3,7,2,350
1,3,4,1,5,0,351
1,3,2,2,1,3,352
1,3,2,2,1,1,353
1,3,4,4,5,0,354
1,3,1,1,2,1,355
1,3,1,1,2,1,356
1,3,4,4,2,1,357
1,3,2,2,1,3,358
1,3,4,4,5,0,359
1,3,1,1,6,0,360
1,3,2,2,1,3,361
1,3,2,2,1,3,362
1,3,4,4,5,0,363
1,3,4,4,5,2,364
1,3,1,1,1,1,365
1,3,3,3,3,2,366
1,3,4,4,5,0,367
1,3,4,4,5,0,368
1,3,3,3,7,2,369
1,3,2,2,8,2,370
1,3,4,4,5,0,371
1,3,2,2,1,3,372
1,3,4,4,6,0,373
1,3,4,4,5,0,374
1,3,2,2,1,3,375
1,3,1,1,4,1,376
1,3,3,3,7,2,377
1,3,4,4,5,2,378
1,3,3,3,7,2,379
1,3,3,3,3,2,380
1,3,1,1,1,1,381
1,3,1,1,4,1,382
1,3,1,3,2,1,383
1,3,2,2,1,3,384
1,3,3,3,7,2,385
1,3,1,1,4,1,386
1,3,3,3,7,2,387
1,3,4,4,5,0,388
1,3,4,4,5,0,389
1,3,4,4,3,2,390
1,3,3,3,8,2,391
1,3,2,2,1,2,392
1,3,2,2,8,2,393
1,3,2,2,1,3,394
1,3,4,4,6,2,395
1,3,4,4,5,2,396
1,3,2,2,7,2,397
1,3,3,3,7,2,398
1,3,4,4,5,0,399
1,3,2,2,1,3,400
2,3,3,3,9,4,401
2,3,3,3,9,4,402
2,3,3,3,9,4,403
2,3,3,3,9,4,404
2,3,3,3,9,4,405
2,3,3,3,9,4,406
2,3,3,3,9,4,407
2,3,3,3,9,4,408
2,3,3,3,9,4,409
2,3,3,3,9,4,410
2,3,3,3,9,4,411
2,3,3,3,9,4,412
2,3,3,3,9,4,413
2,3,3,3,9,4,414
2,3,3,3,9,4,415
2,3,3,3,9,4,416
2,3,3,3,9,4,417
2,3,3,3,9,4,418
2,3,3,3,9,4,419
2,3,3,3,9,4,420
2,3,3,3,9,4,421
2,3,3,3,9,4,422
2,3,3,3,9,4,423
2,3,3,3,9,4,424
2,3,3,3,9,4,425
2,3,3,3,9,4,426
2,3,3,3,9,4,427
2,3,3,3,9,4,428
2,3,3,3,9,4,429
2,3,3,3,9,4,430
2,3,3,3,9,4,431
2,3,3,3,9,4,432
2,3,3,3,9,4,433
2,3,3,3,9,4,434
2,3,3,3,9,4,435
2,3,3,3,9,4,436
2,3,3,3,9,4,437
2,3,3,3,9,4,438
2,3,3,3,9,4,439
2,3,3,3,9,4,440
2,3,3,3,9,4,441
2,3,3,3,9,4,442
2,3,3,3,9,4,443
2,3,3,3,9,4,444
2,3,3,3,9,4,445
2,3,3,3,9,4,446
2,3,3,3,9,4,447
2,3,3,3,9,4,448
2,3,3,3,9,4,449
2,3,3,3,9,4,450
2,3,3,3,9,4,451
2,3,3,3,9,4,452
2,3,3,3,9,4,453
2,3,3,3,9,4,454
2,3,3,3,9,4,455
2,3,3,3,9,4,456
2,3,3,3,9,4,457
2,3,3,3,9,4,458
2,3,3,3,9,4,459
2,3,3,3,9,4,460
2,3,3,3,9,4,461
2,3,3,3,9,4,462
2,3,3,3,9,4,463
