"truth","icot","oct","kmeans_plus","hclust","gmm","dbscan"
1,8,5,5,1,4,2
1,12,9,4,2,2,3
1,14,2,1,3,3,4
1,7,8,8,4,2,5
1,14,2,2,5,6,6
1,15,2,1,5,0,7
1,14,2,2,5,6,8
1,14,2,1,3,3,9
1,14,2,1,3,3,10
1,14,2,2,5,6,11
1,7,8,8,4,4,12
1,8,5,5,6,4,13
1,11,7,7,7,5,14
1,8,5,5,6,4,15
1,14,2,2,5,6,16
1,12,9,6,8,0,17
1,12,9,4,2,0,18
1,8,5,5,3,3,19
1,8,5,5,6,4,20
1,5,10,10,9,4,21
1,5,10,10,9,4,22
1,14,2,8,4,2,23
1,14,2,8,2,2,24
1,11,7,7,7,5,25
1,8,5,5,6,4,26
1,15,6,6,8,0,27
1,14,2,2,5,6,28
1,14,2,8,2,2,29
1,7,8,8,4,2,30
1,4,3,7,7,5,31
1,12,9,1,3,3,32
1,4,3,8,4,2,33
1,7,8,8,4,2,34
1,15,2,4,2,2,35
1,14,2,2,5,6,36
1,7,8,8,4,2,37
1,4,3,3,1,4,38
1,7,5,5,6,4,39
1,14,2,2,5,6,40
1,14,2,2,5,6,41
1,8,5,5,6,4,42
1,15,2,2,5,0,43
1,15,6,1,5,3,44
1,11,7,7,7,5,45
1,5,10,10,9,4,46
1,12,9,1,3,3,47
1,7,5,2,5,6,48
1,4,3,3,1,4,49
1,15,6,6,2,0,50
1,12,9,6,2,0,51
1,5,10,10,9,4,52
1,4,3,3,7,5,53
1,11,7,7,8,0,54
1,4,3,3,1,4,55
1,15,6,6,2,0,56
1,5,10,10,9,4,57
1,5,10,7,7,5,58
1,4,3,3,1,2,59
1,8,5,5,5,4,60
1,8,5,5,6,4,61
1,15,6,6,2,0,62
1,12,9,8,4,2,63
1,12,9,4,2,0,64
1,4,3,3,1,2,65
1,11,7,7,7,5,66
1,8,5,5,6,4,67
1,14,2,2,5,6,68
1,11,7,7,7,5,69
1,4,3,3,4,2,70
1,11,7,7,7,5,71
1,12,9,1,8,0,72
1,7,5,5,6,4,73
1,11,7,7,7,5,74
1,8,5,5,6,4,75
1,11,9,1,8,3,76
1,5,10,10,9,3,77
1,14,2,2,5,6,78
1,11,7,3,1,2,79
1,14,2,2,5,6,80
1,4,3,3,1,4,81
1,14,2,2,5,6,82
1,11,9,4,2,0,83
1,11,7,7,7,5,84
1,11,9,8,4,2,85
1,11,9,4,2,2,86
1,7,8,8,4,4,87
1,15,2,2,5,6,88
1,8,5,5,6,4,89
1,4,3,3,1,5,90
1,14,2,2,5,6,91
1,12,9,6,8,0,92
1,7,8,8,4,2,93
1,14,2,2,5,6,94
1,12,9,1,8,0,95
1,15,6,6,8,0,96
1,11,9,4,2,2,97
1,11,9,1,8,3,98
1,5,10,10,9,3,99
1,14,2,2,5,6,100
1,15,6,6,2,0,101
1,8,5,5,6,4,102
1,14,2,2,5,6,103
