truth,icot,oct,kmeans_plus,hclust,gmm,dbscan
1,3,2,2,1,7,1
1,3,5,5,2,7,1
1,3,1,3,3,2,1
1,3,1,1,4,2,1
1,3,5,5,2,7,1
1,3,1,1,4,2,1
1,3,1,3,3,2,1
1,3,2,6,5,4,1
1,3,4,6,5,4,1
1,3,2,6,5,4,1
1,3,4,3,3,0,1
1,3,2,6,5,4,1
1,3,1,1,4,2,1
1,3,1,3,3,2,1
1,3,5,5,2,0,1
1,3,1,3,3,0,1
1,3,4,6,5,4,1
1,3,1,3,3,2,1
1,3,1,3,3,2,1
1,3,2,6,5,4,1
1,3,5,5,2,7,1
1,3,2,2,5,4,1
1,3,1,1,4,2,1
1,3,2,6,5,4,1
1,3,2,2,1,7,1
1,3,1,3,3,2,1
1,3,5,5,2,0,1
1,3,1,1,4,2,1
1,3,2,6,5,4,1
1,3,2,2,1,7,1
1,3,1,3,3,0,1
1,3,1,3,3,2,1
1,3,4,5,3,0,1
1,3,2,2,1,7,1
1,3,1,3,3,0,1
1,3,1,3,3,0,1
1,3,1,1,4,2,1
1,3,2,2,1,7,1
1,3,1,1,4,2,1
1,3,5,5,2,7,1
1,3,1,1,4,2,1
1,3,1,1,4,2,1
1,3,2,6,5,4,1
1,3,2,2,5,7,1
1,3,1,1,4,4,1
1,3,1,1,4,2,1
1,3,2,2,1,7,1
1,3,2,2,5,4,1
1,3,1,3,3,2,1
1,3,2,2,5,7,1
1,3,2,2,1,7,1
1,3,5,5,2,0,1
1,3,2,2,1,7,1
1,3,2,2,1,7,1
1,3,5,5,2,7,1
1,3,2,2,1,7,1
1,3,2,2,1,7,1
1,3,5,5,2,0,1
1,3,1,3,3,2,1
1,3,4,6,5,4,1
1,3,4,6,5,4,1
1,3,1,1,4,2,1
1,3,1,3,3,0,1
1,3,1,3,3,2,1
1,3,4,6,5,4,1
1,3,2,6,5,4,1
1,3,2,6,5,4,1
1,3,1,1,4,2,1
1,3,1,1,4,2,1
1,3,5,5,2,0,1
1,3,1,3,3,2,1
1,3,1,3,3,2,1
1,3,2,6,5,4,1
1,3,2,2,1,7,1
1,3,1,1,5,4,1
1,3,1,1,4,4,1
1,3,1,1,4,2,1
1,3,1,3,3,2,1
1,3,2,6,5,4,1
1,3,1,1,4,2,1
1,3,1,3,3,0,1
1,3,4,3,3,0,1
1,3,5,5,2,7,1
1,3,5,5,2,7,1
1,3,5,5,2,7,1
1,3,2,2,5,7,1
1,3,5,5,2,0,1
1,3,1,1,4,4,1
1,3,4,6,5,4,1
1,3,5,5,2,0,1
1,3,2,2,1,7,1
1,3,1,1,4,2,1
1,3,1,3,3,2,1
1,3,5,5,2,7,1
1,3,1,3,3,2,1
1,3,1,1,4,4,1
1,3,2,6,5,4,1
1,3,5,5,2,0,1
1,3,2,2,5,7,1
1,3,4,3,3,0,1
1,3,5,5,2,7,1
1,3,1,1,4,2,1
1,3,1,3,3,2,1
1,3,4,3,3,0,1
1,3,4,6,5,4,1
1,3,1,3,3,2,1
1,3,1,3,3,0,1
1,3,5,5,2,0,1
1,3,1,1,4,2,1
1,3,4,3,3,0,1
1,3,1,1,4,4,1
1,3,4,6,5,4,1
1,3,2,2,1,7,1
1,3,5,5,2,0,1
1,3,1,3,3,0,1
1,3,1,1,4,2,1
1,3,5,5,2,7,1
1,3,2,6,5,4,1
1,3,2,2,1,7,1
1,3,1,1,4,2,1
1,3,1,1,4,2,1
1,3,4,3,3,0,1
1,3,5,5,2,0,1
1,3,1,3,3,0,1
1,3,1,1,5,4,1
1,3,2,2,1,7,1
1,3,2,6,5,4,1
1,3,2,6,5,4,1
1,3,5,5,2,7,1
1,3,1,1,4,4,1
1,3,5,5,2,7,1
1,3,4,6,5,4,1
1,3,2,2,1,7,1
1,3,4,3,3,0,1
1,3,5,5,2,7,1
1,3,2,2,1,7,1
1,3,1,1,4,2,1
1,3,4,3,3,0,1
1,3,2,6,5,4,1
1,3,5,5,2,7,1
1,3,1,1,4,2,1
1,3,1,1,5,4,1
1,3,2,2,5,7,1
1,3,5,5,2,0,1
1,3,1,3,3,2,1
1,3,5,5,2,0,1
1,3,4,3,3,0,1
1,3,1,1,4,4,1
1,3,5,5,2,0,1
1,3,2,2,1,7,1
1,3,1,3,3,2,1
1,3,5,5,2,0,1
1,3,4,3,3,0,1
1,3,5,5,2,7,1
1,3,4,3,3,0,1
1,3,1,1,3,2,1
1,3,5,5,2,0,1
1,3,1,1,4,2,1
1,3,2,6,5,4,1
1,3,5,5,2,7,1
1,3,1,3,3,0,1
1,3,5,5,2,0,1
1,3,1,1,4,2,1
1,3,4,6,5,4,1
1,3,5,5,2,7,1
1,3,2,6,5,4,1
1,3,1,3,3,0,1
1,3,2,6,5,4,1
1,3,5,5,2,7,1
1,3,1,3,3,2,1
1,3,2,2,5,4,1
1,3,4,3,3,0,1
1,3,4,3,3,0,1
1,3,1,1,4,2,1
1,3,1,1,4,2,1
1,3,4,6,5,4,1
1,3,2,6,5,4,1
1,3,5,5,2,0,1
1,3,2,2,1,7,1
1,3,2,6,5,4,1
1,3,2,2,1,7,1
1,3,2,6,5,4,1
1,3,5,5,2,0,1
1,3,2,2,1,7,1
1,3,7,1,4,4,1
1,3,5,5,2,7,1
1,3,2,6,5,4,1
1,3,10,3,3,0,1
1,3,2,6,5,4,1
1,3,5,5,2,7,1
1,3,2,2,1,7,1
1,3,4,6,5,4,1
1,3,1,1,4,2,1
1,3,2,6,5,4,1
1,3,1,3,3,2,1
1,3,4,5,3,0,1
1,3,2,2,1,7,1
1,3,4,6,5,4,1
1,3,1,3,3,0,1
1,3,2,6,5,4,1
1,3,5,5,2,7,1
1,3,2,6,5,4,1
1,3,1,3,3,0,1
1,3,1,1,4,2,1
1,2,2,2,1,7,1
1,3,1,3,3,0,1
1,3,1,1,4,4,1
1,3,1,3,3,0,1
1,3,4,3,3,0,1
1,3,2,2,5,7,1
1,3,4,6,5,4,1
1,3,2,2,1,7,1
1,3,2,2,1,7,1
1,3,5,5,2,0,1
1,3,1,1,4,2,1
1,3,2,2,1,7,1
1,3,4,6,5,4,1
1,3,2,6,5,4,1
1,3,1,3,3,2,1
1,3,1,3,3,0,1
1,3,2,2,1,7,1
1,3,5,5,2,0,1
1,3,1,3,3,2,1
1,3,1,1,4,2,1
1,3,4,6,5,4,1
1,3,4,6,5,4,1
1,3,5,5,2,0,1
1,3,5,5,2,7,1
1,3,2,6,5,4,1
1,3,2,6,5,4,1
1,3,1,1,4,2,1
1,3,5,5,2,7,1
1,3,2,2,1,7,1
1,3,5,5,2,0,1
1,3,2,2,1,7,1
1,3,2,6,5,4,1
1,3,1,1,4,4,1
1,3,5,5,2,7,1
1,3,1,3,3,0,1
1,3,5,5,2,7,1
1,3,5,5,2,7,1
1,3,1,3,3,2,1
1,3,2,6,5,4,1
1,3,1,3,3,2,1
1,3,4,3,3,0,1
1,3,2,2,1,7,1
1,3,1,1,5,4,1
1,3,1,1,4,2,1
1,3,1,1,4,2,1
1,3,5,5,2,7,1
1,3,2,2,1,7,1
1,3,1,1,4,2,1
1,3,4,3,3,0,1
1,3,1,1,4,4,1
1,3,1,1,4,4,1
1,3,2,2,1,7,1
1,3,1,3,3,0,1
1,3,5,5,2,0,1
1,3,2,6,5,4,1
1,3,1,1,4,2,1
1,3,4,6,5,4,1
1,3,2,2,1,7,1
1,3,2,6,5,4,1
1,3,2,2,1,7,1
1,3,5,5,2,0,1
1,3,2,2,5,7,1
1,3,4,6,5,4,1
1,3,1,1,4,2,1
1,3,1,1,4,4,1
1,3,2,2,1,7,1
1,3,5,5,3,0,1
1,3,1,3,3,2,1
1,3,1,1,4,4,1
1,3,4,3,3,0,1
1,3,2,6,5,4,1
1,3,1,1,4,2,1
1,3,2,6,5,4,1
1,3,1,1,4,2,1
1,3,1,3,3,0,1
1,3,2,6,5,4,1
1,3,2,2,1,7,1
1,3,1,1,5,4,1
1,3,1,1,5,4,1
1,3,1,3,3,2,1
1,3,7,1,4,2,1
1,3,2,6,5,4,1
1,3,1,3,3,2,1
1,3,2,6,5,4,1
1,3,1,3,3,0,1
1,3,5,5,2,7,1
1,3,5,5,2,7,1
1,3,5,5,2,7,1
1,3,2,6,5,4,1
1,3,1,3,3,2,1
1,3,4,3,3,0,1
1,3,5,5,3,0,1
1,3,2,6,5,4,1
1,3,1,1,4,4,1
1,3,4,3,3,0,1
1,3,1,3,3,2,1
1,3,4,6,5,4,1
1,3,2,6,5,4,1
1,3,1,1,4,2,1
1,3,2,2,1,7,1
1,3,1,3,3,0,1
1,3,5,5,3,0,1
1,3,2,2,1,7,1
1,3,2,2,5,7,1
1,3,5,5,2,7,1
1,3,2,2,5,4,1
1,3,1,3,3,0,1
1,3,2,2,1,7,1
1,3,5,5,2,7,1
1,3,2,2,1,7,1
1,3,1,1,4,2,1
