truth,icot,oct,kmeans_plus,hclust,gmm,dbscan
1,4,3,3,1,1,1
1,5,1,1,2,1,1
1,14,8,8,3,7,1
1,14,2,2,4,7,1
1,5,1,1,2,1,1
1,14,2,2,4,7,1
1,14,8,8,3,7,1
1,4,3,3,5,2,1
1,4,3,3,5,2,1
1,4,3,3,5,2,1
1,8,7,8,3,8,1
1,4,3,3,5,2,1
1,14,2,2,4,7,1
1,14,8,8,3,7,1
1,5,1,1,2,8,1
1,8,7,8,3,8,1
1,8,7,3,5,2,1
1,14,8,8,3,7,1
1,14,8,8,3,7,1
1,4,3,3,5,2,1
1,5,1,1,2,1,1
1,4,3,3,5,2,1
1,14,2,2,4,7,1
1,4,3,3,5,2,1
1,5,1,1,1,1,1
1,14,8,8,3,7,1
1,5,1,1,2,8,1
1,14,2,2,4,7,1
1,4,3,3,5,2,1
1,5,1,1,1,1,1
1,8,7,8,3,8,1
1,14,8,8,3,7,1
1,5,1,8,3,8,1
1,5,1,1,1,1,1
1,8,8,8,3,8,1
1,14,8,8,3,8,1
1,14,2,2,4,7,1
1,4,3,3,1,1,1
1,14,6,2,4,7,1
1,5,1,1,2,1,1
1,14,2,2,4,7,1
1,14,2,2,4,7,1
1,4,3,3,5,2,1
1,4,3,3,5,1,1
1,14,2,2,4,7,1
1,14,2,2,4,7,1
1,4,3,3,1,1,1
1,4,3,3,5,2,1
1,14,8,8,3,7,1
1,4,3,3,5,1,1
1,5,1,1,1,1,1
1,5,1,1,2,8,1
1,4,3,3,1,1,1
1,5,1,1,1,1,1
1,5,1,1,2,1,1
1,5,1,1,1,1,1
1,5,1,1,1,1,1
1,5,1,1,2,8,1
1,14,8,8,3,7,1
1,4,3,3,5,2,1
1,8,7,3,5,2,1
1,14,2,2,4,7,1
1,14,8,8,3,8,1
1,14,8,8,3,7,1
1,8,7,3,5,2,1
1,4,3,3,5,2,1
1,4,3,3,5,2,1
1,14,2,2,4,7,1
1,14,2,2,4,7,1
1,5,1,1,2,8,1
1,14,8,8,3,7,1
1,14,8,8,3,7,1
1,4,3,3,5,2,1
1,5,1,1,1,1,1
1,8,7,2,5,2,1
1,14,2,2,4,2,1
1,14,2,2,4,7,1
1,14,8,8,3,7,1
1,4,3,3,5,2,1
1,14,2,2,4,7,1
1,8,7,8,3,8,1
1,8,7,8,3,8,1
1,5,1,1,2,1,1
1,5,1,1,2,1,1
1,5,1,1,2,1,1
1,4,3,3,5,1,1
1,5,1,1,2,8,1
1,14,2,2,4,7,1
1,4,3,3,5,2,1
1,5,1,1,2,8,1
1,5,1,1,1,1,1
1,14,2,2,4,7,1
1,14,8,8,3,7,1
1,5,1,1,2,1,1
1,14,8,8,3,7,1
1,14,2,2,4,7,1
1,4,3,3,5,2,1
1,5,1,1,2,8,1
1,4,3,3,5,1,1
1,8,7,8,3,8,1
1,5,1,1,2,1,1
1,14,2,2,4,7,1
1,14,8,8,3,7,1
1,8,7,8,3,8,1
1,4,3,3,5,2,1
1,14,8,8,3,7,1
1,8,8,8,3,8,1
1,5,1,1,2,8,1
1,14,2,2,4,7,1
1,8,7,8,3,8,1
1,14,2,2,4,2,1
1,8,7,2,5,2,1
1,4,3,3,1,1,1
1,5,1,1,2,8,1
1,14,8,8,3,7,1
1,14,2,2,4,7,1
1,5,1,1,2,1,1
1,4,3,3,5,2,1
1,5,1,1,1,1,1
1,14,2,2,4,7,1
1,14,2,2,4,7,1
1,8,7,8,3,8,1
1,5,1,1,2,8,1
1,8,7,8,3,8,1
1,8,7,2,5,2,1
1,5,1,1,1,1,1
1,4,3,3,5,2,1
1,4,3,3,5,2,1
1,5,1,1,2,1,1
1,14,2,2,4,7,1
1,5,1,1,2,1,1
1,8,7,3,5,2,1
1,5,1,1,1,1,1
1,5,1,8,3,8,1
1,5,1,1,2,1,1
1,5,1,1,1,1,1
1,14,2,2,4,7,1
1,8,7,8,3,8,1
1,4,3,3,5,2,1
1,5,1,1,2,1,1
1,14,2,2,4,7,1
1,8,2,2,5,2,1
1,4,3,3,5,1,1
1,5,1,1,2,8,1
1,14,8,8,3,7,1
1,5,1,1,2,8,1
1,8,7,8,3,8,1
1,14,2,2,4,2,1
1,5,1,1,2,8,1
1,4,3,3,1,1,1
1,14,8,8,3,7,1
1,5,1,1,2,8,1
1,8,7,8,3,8,1
1,5,1,1,2,1,1
1,8,7,8,3,8,1
1,14,2,2,3,7,1
1,5,1,1,2,8,1
1,14,2,2,4,7,1
1,4,3,3,5,2,1
1,5,1,1,2,1,1
1,8,7,8,3,8,1
1,5,1,1,2,8,1
1,14,2,2,4,7,1
1,8,7,3,5,2,1
1,5,1,1,2,1,1
1,4,3,3,5,2,1
1,8,7,8,3,8,1
1,4,3,3,5,2,1
1,5,1,1,2,1,1
1,14,8,8,3,7,1
1,4,3,3,5,2,1
1,8,7,8,3,8,1
1,8,7,8,3,8,1
1,14,2,2,4,7,1
1,14,2,2,4,7,1
1,4,3,3,5,2,1
1,4,3,3,5,2,1
1,5,1,1,2,8,1
1,5,1,1,1,1,1
1,4,3,3,5,2,1
1,5,1,1,1,1,1
1,4,3,3,5,2,1
1,5,1,1,2,8,1
1,5,1,1,1,1,1
1,11,2,2,4,2,1
1,5,1,1,2,1,1
1,4,3,3,5,2,1
1,8,7,8,3,8,1
1,4,3,3,5,2,1
1,5,1,1,2,1,1
1,4,3,3,1,1,1
1,4,3,3,5,2,1
1,14,2,2,4,7,1
1,4,3,3,5,2,1
1,14,8,8,3,7,1
1,5,1,8,3,8,1
1,5,1,1,1,1,1
1,8,7,3,5,2,1
1,8,8,8,3,8,1
1,4,3,3,5,2,1
1,5,1,1,2,1,1
1,4,3,3,5,2,1
1,14,8,8,3,8,1
1,14,2,2,4,7,1
1,5,1,1,1,1,1
1,8,7,8,3,8,1
1,14,2,2,4,2,1
1,8,7,8,3,8,1
1,8,7,8,3,8,1
1,4,3,3,5,1,1
1,4,3,3,5,2,1
1,4,3,3,1,1,1
1,4,3,3,1,1,1
1,5,1,1,2,8,1
1,14,2,2,4,7,1
1,5,1,1,1,1,1
1,8,7,3,5,2,1
1,4,3,3,5,2,1
1,14,8,8,3,7,1
1,14,8,8,3,8,1
1,5,1,1,1,1,1
1,5,1,1,2,8,1
1,14,8,8,3,7,1
1,14,2,2,4,7,1
1,4,3,3,5,2,1
1,8,7,3,5,2,1
1,5,1,1,2,8,1
1,5,1,1,2,1,1
1,4,3,3,5,2,1
1,4,3,3,5,2,1
1,14,2,2,4,7,1
1,5,1,1,2,1,1
1,4,3,3,1,1,1
1,5,1,1,2,8,1
1,4,3,3,1,1,1
1,4,3,3,5,2,1
1,14,2,2,4,7,1
1,5,1,1,2,1,1
1,14,8,8,3,8,1
1,5,1,1,2,1,1
1,5,1,1,2,1,1
