truth,icot,oct,kmeans_plus,hclust,gmm,dbscan
1,3,7,7,1,5,1
1,6,8,8,2,5,1
1,12,5,6,3,2,2
1,12,5,5,4,2,2
1,6,8,8,2,5,1
1,12,5,5,4,2,2
1,12,5,6,3,2,2
1,3,1,1,5,0,1
1,3,1,1,5,0,1
1,3,1,1,5,0,1
1,12,5,6,3,8,2
1,3,1,1,5,0,1
1,12,5,5,4,2,3
1,12,5,6,3,2,2
1,6,8,8,2,8,1
1,12,5,6,3,8,2
1,3,1,1,5,0,1
1,12,5,6,3,2,2
1,12,5,6,3,2,2
1,3,1,1,5,0,1
1,6,8,8,2,5,1
1,3,7,7,5,0,1
1,12,5,5,4,2,3
1,3,1,1,5,0,1
1,5,7,7,1,5,1
1,12,5,6,3,2,2
1,6,8,8,2,8,1
1,12,5,5,4,2,3
1,3,1,1,5,0,1
1,3,7,7,1,5,1
1,12,5,6,3,8,2
1,12,5,6,3,2,2
1,6,8,6,3,8,2
1,3,7,7,1,5,1
1,12,5,6,3,8,2
1,12,5,6,3,8,2
1,12,5,5,4,2,2
1,3,7,7,1,5,1
1,12,5,5,4,2,2
1,6,8,8,2,5,1
1,12,5,5,4,2,2
1,12,5,5,4,2,3
1,3,1,1,5,0,1
1,3,7,7,5,5,1
1,12,5,5,4,2,3
1,12,5,5,4,2,3
1,3,7,7,1,5,1
1,3,7,7,5,0,1
1,12,5,6,3,2,2
1,3,7,7,5,5,1
1,6,7,7,1,5,1
1,6,8,8,2,8,1
1,3,7,7,1,5,1
1,3,7,7,1,5,1
1,6,8,8,2,5,1
1,5,7,7,1,5,1
1,6,8,8,1,5,1
1,6,8,8,2,8,1
1,12,5,6,3,2,2
1,3,1,1,5,0,1
1,3,5,1,5,0,1
1,12,5,5,4,2,2
1,12,5,6,3,8,2
1,12,5,6,3,2,2
1,3,5,1,5,0,4
1,3,1,1,5,0,1
1,3,1,1,5,0,1
1,12,5,5,4,2,2
1,12,5,5,4,2,3
1,6,8,8,2,8,1
1,12,5,6,3,2,2
1,12,5,6,3,2,2
1,3,1,1,5,0,1
1,6,8,8,1,5,1
1,12,5,5,5,0,4
1,12,5,5,4,2,3
1,12,5,5,4,2,2
