truth,icot,oct,kmeans_plus,hclust,gmm,dbscan
1,3,2,2,1,5,1
1,6,9,9,2,0,1
1,6,3,10,3,1,2
1,5,3,3,4,1,2
1,6,9,9,2,0,1
1,5,3,3,4,1,2
1,6,3,10,3,1,2
1,3,5,5,5,4,1
1,3,5,5,5,4,1
1,3,5,5,5,4,1
1,6,3,10,3,7,2
1,3,5,5,5,4,1
1,3,3,3,4,1,3
1,6,3,10,3,1,2
1,6,9,9,2,7,1
1,6,3,10,3,7,2
1,3,5,5,5,4,1
1,6,3,10,3,1,2
1,6,3,10,3,1,2
1,3,5,5,5,4,1
1,6,9,9,2,0,1
1,3,2,2,5,4,1
1,3,3,3,4,1,3
1,3,5,5,5,4,1
1,5,2,2,1,5,1
1,6,3,10,3,1,2
1,6,9,9,2,7,1
1,3,3,3,4,1,3
1,3,5,5,5,4,1
1,5,2,2,1,5,1
1,6,3,10,3,7,2
1,6,3,10,3,7,2
1,6,9,10,3,7,2
1,3,2,2,1,5,1
1,6,3,10,3,7,2
1,6,3,10,3,7,2
1,5,3,3,4,1,2
1,3,2,2,1,5,1
1,5,3,3,4,1,2
1,6,9,9,2,0,1
1,3,3,3,4,1,2
1,3,3,3,4,9,3
1,3,5,5,5,4,1
1,3,2,2,5,5,1
1,3,3,3,4,9,3
1,3,3,3,4,9,3
1,3,2,2,1,5,1
1,3,2,2,5,4,1
1,6,3,10,3,1,2
1,3,2,2,5,5,1
1,6,2,2,1,5,1
1,6,9,9,2,7,1
1,3,2,2,1,5,1
1,3,2,2,1,5,1
1,6,9,9,2,5,1
1,5,2,2,1,5,1
1,6,2,2,1,5,1
1,6,9,9,2,7,1
1,6,3,10,3,1,2
1,3,5,5,5,4,1
1,3,3,5,5,4,1
1,5,3,3,4,1,2
1,6,3,10,3,7,2
1,6,3,10,3,1,2
1,3,3,5,5,4,4
1,3,5,5,5,4,1
1,3,5,5,5,4,1
1,5,3,3,4,1,2
1,3,3,3,4,9,3
1,6,9,9,2,7,1
1,6,3,10,3,1,2
1,6,3,10,3,1,2
1,3,5,5,5,4,1
1,6,2,2,1,5,1
1,3,3,3,5,4,4
1,3,3,3,4,9,3
1,5,3,3,4,1,2
1,6,3,10,3,1,2
1,3,5,5,5,4,1
1,3,3,3,4,9,3
1,6,3,10,3,7,2
1,6,3,10,3,7,2
1,6,9,9,2,0,1
1,6,9,9,2,5,1
1,6,9,9,2,0,1
1,3,2,2,5,5,1
1,6,9,9,2,7,1
1,3,3,3,4,9,3
1,3,5,5,5,4,1
1,6,9,9,2,7,1
1,3,2,2,1,5,1
1,5,3,3,4,1,2
1,6,3,10,3,1,2
1,6,9,9,2,0,1
1,6,3,10,3,1,2
1,3,3,3,4,9,3
1,3,5,5,5,4,1
1,6,9,9,2,7,1
1,3,2,2,5,5,1
1,6,3,10,3,7,2
1,6,9,9,2,0,1
1,3,3,3,4,9,3
1,6,3,10,3,1,2
1,6,3,10,3,7,2
1,3,5,5,5,4,1
1,6,3,10,3,1,2
1,6,3,10,3,7,2
1,6,9,9,2,7,1
1,3,3,3,4,1,2
1,6,3,10,3,7,2
1,3,3,3,4,9,3
1,3,3,5,5,4,4
1,3,2,2,1,5,1
1,6,9,9,2,7,1
1,6,3,10,3,7,2
1,5,3,3,4,1,2
1,6,9,9,2,0,1
1,3,5,5,5,4,1
1,6,2,2,1,5,1
1,3,3,3,4,9,3
1,3,3,3,4,1,2
1,6,3,10,3,7,2
1,6,9,9,2,7,1
1,6,3,10,3,7,2
1,3,3,3,5,4,4
1,6,2,2,1,5,1
1,3,5,5,5,4,1
1,3,5,5,5,4,1
1,6,9,9,2,5,1
1,3,3,3,4,9,3
1,6,9,9,2,5,1
1,3,5,5,5,4,1
1,3,2,2,1,5,1
1,6,9,10,3,7,2
1,6,9,9,2,0,1
1,5,2,2,1,5,1
1,3,3,3,4,1,2
1,6,3,10,3,7,2
1,3,5,5,5,4,1
1,6,9,9,2,0,1
1,3,3,3,4,1,2
1,3,3,3,5,4,3
1,3,2,2,5,5,1
1,6,9,9,2,7,1
1,6,3,10,3,1,2
1,6,9,9,2,7,1
1,6,3,10,3,7,2
1,3,3,3,4,9,3
1,6,9,9,2,7,1
1,3,2,2,1,5,1
1,6,3,10,3,1,2
1,6,9,9,2,7,1
1,6,3,10,3,7,2
1,6,9,9,2,0,1
1,6,3,10,3,7,2
1,6,3,10,3,1,2
1,6,9,9,2,7,1
1,3,3,3,4,1,3
1,3,5,5,5,4,1
1,6,9,9,2,0,1
1,6,3,10,3,7,2
1,6,9,9,2,7,1
1,5,3,3,4,1,2
1,3,3,5,5,4,4
1,6,9,9,2,0,1
1,3,5,5,5,4,1
1,6,3,10,3,7,2
1,3,5,5,5,4,1
1,6,9,9,2,0,1
1,6,3,10,3,1,2
1,3,5,5,5,4,1
1,6,3,10,3,7,2
1,6,9,10,3,7,2
1,3,3,3,4,1,3
1,3,3,3,4,9,3
1,3,5,5,5,4,1
1,3,5,5,5,4,1
1,6,9,9,2,7,1
1,5,2,2,1,5,1
1,3,5,5,5,4,1
1,5,2,2,1,5,1
1,3,5,5,5,4,1
1,6,9,9,2,7,1
1,5,2,2,1,5,1
1,3,3,3,4,9,3
1,6,9,9,2,0,1
1,3,5,5,5,4,1
1,6,3,10,3,7,2
1,3,5,5,5,4,1
1,6,9,9,2,0,1
1,3,2,2,1,5,1
1,3,5,5,5,4,1
1,3,3,3,4,1,3
1,3,5,5,5,4,1
1,6,3,10,3,1,2
1,6,9,10,3,7,2
1,3,2,2,1,5,1
1,3,3,5,5,4,4
1,6,3,10,3,7,2
1,3,5,5,5,4,1
1,6,9,9,2,0,1
1,3,5,5,5,4,1
1,6,3,10,3,7,2
1,3,3,3,4,1,3
1,6,2,2,1,5,1
1,6,3,10,3,7,2
1,3,3,3,4,9,3
1,6,3,10,3,7,2
1,6,9,10,3,7,2
1,3,2,2,5,5,1
1,3,5,5,5,4,1
1,3,2,2,1,5,1
1,3,2,2,1,5,1
1,6,9,9,2,7,1
1,5,3,3,4,1,2
1,3,2,2,1,5,1
1,3,3,5,5,4,4
1,3,5,5,5,4,1
1,6,3,10,3,1,2
1,6,3,10,3,7,2
1,5,2,2,1,5,1
1,6,9,9,2,7,1
1,6,3,10,3,1,2
1,5,3,3,4,1,2
1,3,5,5,5,4,1
1,3,3,5,5,4,1
1,6,9,9,2,0,1
1,6,9,9,2,0,1
1,3,5,5,5,4,1
1,3,5,5,5,4,1
1,3,3,3,4,9,3
1,6,9,9,2,0,1
1,3,2,2,1,5,1
1,6,9,9,2,7,1
1,3,2,2,1,5,1
1,3,5,5,5,4,1
1,3,3,3,4,9,3
1,6,9,9,2,0,1
1,6,3,10,3,7,2
1,6,9,9,2,0,1
1,6,9,9,2,0,1
1,6,3,10,3,1,2
1,3,5,5,5,4,1
1,6,3,10,3,1,2
1,6,3,10,3,7,2
1,3,2,2,1,5,1
1,3,3,3,5,4,4
1,3,3,3,4,1,3
1,5,3,3,4,1,2
1,6,9,9,2,0,1
1,6,2,2,1,5,1
1,5,3,3,4,1,2
1,6,3,10,3,7,2
1,3,3,3,4,9,3
1,3,3,3,4,9,3
1,5,2,2,1,5,1
1,6,3,10,3,7,2
1,6,9,9,2,7,1
1,3,5,5,5,4,1
1,3,3,3,4,9,3
1,3,3,5,5,4,4
1,6,2,2,1,5,1
1,3,5,5,5,4,1
1,5,2,2,1,5,1
1,6,9,9,2,7,1
1,3,2,2,5,5,1
1,3,3,5,5,4,4
1,6,3,3,4,1,2
1,3,3,3,4,9,3
1,3,2,2,1,5,1
1,6,9,9,3,7,2
1,6,3,10,3,1,2
1,3,3,3,4,9,3
1,6,3,10,3,7,2
1,3,5,5,5,4,1
1,3,3,3,4,1,3
1,3,5,5,5,4,1
1,3,3,3,4,1,2
1,6,3,10,3,7,2
1,3,5,5,5,4,1
1,3,2,2,1,5,1
1,3,3,3,5,4,4
1,3,3,3,5,4,4
1,6,3,10,3,1,2
1,3,3,3,4,1,3
1,3,5,5,5,4,1
1,6,3,10,3,1,2
1,3,5,5,5,4,1
1,6,3,10,3,7,2
1,6,9,9,2,0,1
1,6,9,9,2,0,1
1,6,9,9,2,0,1
1,3,5,5,5,4,1
1,6,3,10,3,1,2
1,6,3,10,3,7,2
1,6,9,9,3,7,2
1,3,5,5,5,4,1
1,3,3,3,4,9,3
1,6,3,10,3,7,2
1,6,3,10,3,1,2
1,3,5,5,5,4,1
1,3,5,5,5,4,1
1,5,3,3,4,1,2
1,5,2,2,1,5,1
1,6,3,10,3,7,2
1,6,9,9,3,7,2
1,3,2,2,1,5,1
1,3,2,2,5,5,1
1,6,9,9,2,0,1
1,3,5,2,5,4,1
1,6,3,10,3,7,2
1,5,2,2,1,5,1
1,6,9,9,2,0,1
1,3,2,2,1,5,1
1,3,3,3,4,1,3
1,3,3,3,4,9,3
1,3,2,2,1,5,1
1,6,9,9,2,0,1
1,6,9,9,2,0,1
1,6,3,10,3,1,2
1,6,9,9,2,0,1
1,6,9,9,2,5,1
1,6,9,9,2,0,1
1,6,3,10,3,7,2
1,6,3,10,3,1,2
1,6,3,10,3,1,2
1,3,3,3,4,9,3
1,6,3,10,3,7,2
1,6,9,9,2,7,1
1,3,2,2,5,5,1
1,3,3,3,4,9,3
1,6,3,10,3,1,2
1,3,2,2,1,5,1
1,3,3,3,5,4,4
1,6,3,3,4,1,2
1,6,9,9,2,7,1
1,6,9,9,2,0,1
1,6,3,3,4,1,2
1,3,3,3,4,1,3
1,3,5,5,5,4,1
1,3,3,3,5,4,4
1,3,5,5,5,4,1
1,5,2,2,1,5,1
1,6,9,9,2,7,1
1,3,5,5,5,4,1
1,3,3,5,5,4,4
1,6,3,10,3,7,2
1,6,3,10,3,7,2
1,6,3,3,4,1,2
1,5,2,2,1,5,1
1,3,3,3,4,1,2
1,6,3,10,3,7,2
1,3,5,5,5,4,1
1,3,3,5,5,4,4
1,6,3,10,3,7,2
1,3,2,2,5,5,1
1,6,9,9,2,7,1
1,3,3,3,4,9,3
1,6,3,10,3,1,2
1,6,3,10,3,7,2
1,3,2,2,1,5,1
1,6,9,9,2,7,1
1,6,3,3,3,1,2
1,3,3,3,4,9,3
1,3,3,3,4,1,3
1,3,2,2,1,5,1
1,6,2,2,1,5,1
1,6,2,2,1,5,1
1,6,2,2,1,5,1
1,3,5,5,5,4,1
1,6,9,9,2,7,1
1,6,9,9,2,7,1
1,6,9,9,2,0,1
1,6,9,9,2,0,1
1,6,9,9,2,5,1
1,6,9,10,3,7,2
1,3,5,5,5,4,1
1,6,9,9,2,5,1
1,3,3,3,4,9,3
1,6,9,9,2,7,1
1,6,3,10,3,1,2
1,5,2,2,1,5,1
1,3,3,3,4,1,2
1,5,3,3,4,1,2
1,3,3,3,4,1,3
1,3,3,3,4,1,3
1,6,9,9,2,0,1
1,6,9,9,2,0,1
1,3,2,2,5,5,1
1,3,2,2,1,5,1
1,3,3,3,4,1,2
1,6,9,9,2,7,1
1,3,5,5,5,4,1
1,5,2,2,1,5,1
1,6,9,9,2,7,1
1,3,2,2,1,5,1
1,5,3,3,4,1,2
1,3,5,5,5,4,1
1,3,3,3,4,9,3
1,3,2,2,1,5,1
1,3,2,2,1,5,1
1,3,3,3,4,9,3
1,6,3,10,3,1,2
1,3,3,3,4,1,2
1,5,2,2,1,5,1
1,6,9,9,2,7,1
1,6,3,10,3,1,2
1,6,9,9,2,7,1
1,6,3,10,3,7,2
1,3,3,5,5,4,4
1,3,5,5,5,4,1
1,3,3,3,4,9,3
1,3,3,3,4,9,3
1,3,2,2,1,5,1
1,3,3,3,4,1,3
1,6,9,9,2,7,1
1,3,2,2,1,5,1
1,3,5,5,5,4,1
1,3,5,5,5,4,1
1,3,2,2,1,5,1
1,6,3,10,3,1,2
1,3,3,3,4,1,2
1,3,5,5,5,4,1
1,3,5,5,5,4,1
1,5,3,3,4,1,2
1,3,5,5,5,4,1
1,6,3,10,3,7,2
1,3,2,2,5,5,1
1,3,5,5,5,4,1
1,6,3,10,3,7,2
1,3,3,3,4,9,3
1,6,9,9,2,0,1
1,3,5,5,5,4,1
1,6,3,10,3,7,2
1,6,3,10,3,7,2
1,6,9,9,2,7,1
1,6,9,10,3,7,2
1,3,2,2,1,5,1
1,6,9,9,2,0,1
1,3,5,5,5,4,1
1,3,2,2,5,5,1
1,3,5,5,5,4,1
1,3,5,5,5,4,1
1,6,3,10,3,7,2
1,6,3,10,3,7,2
1,3,3,3,4,9,3
1,6,9,9,2,0,1
1,6,3,10,3,7,2
1,6,9,9,2,0,1
1,3,2,2,1,5,1
1,6,9,9,2,7,1
1,3,5,5,5,4,1
1,3,3,3,4,9,3
1,6,9,9,2,7,1
1,6,9,9,2,7,1
1,3,5,5,5,4,1
1,3,2,2,1,5,1
1,6,9,9,2,0,1
1,6,3,10,3,1,2
1,3,2,2,1,5,1
1,6,9,9,2,7,1
1,3,5,5,5,4,1
1,3,3,3,4,9,3
1,3,5,5,5,4,1
1,6,9,9,2,0,1
1,6,9,9,2,0,1
1,6,9,9,2,0,1
1,6,3,10,3,1,2
1,3,2,2,5,5,1
1,3,3,3,4,1,3
1,6,9,9,2,7,1
1,6,9,9,2,0,1
1,6,2,2,1,5,1
1,3,2,2,1,5,1
1,3,3,5,5,4,4
1,3,5,5,5,4,1
1,6,3,10,3,7,2
1,5,3,3,4,1,2
1,5,3,3,4,1,2
1,5,2,2,1,5,1
1,3,5,5,5,4,1
1,3,3,3,4,9,3
1,6,3,10,3,7,2
1,5,3,3,4,1,2
1,6,9,9,2,7,1
1,3,5,5,5,4,1
1,6,3,10,3,1,2
1,6,9,9,2,0,1
1,3,5,5,5,4,1
1,3,3,3,4,9,3
1,6,9,9,2,5,1
1,3,3,3,5,4,4
1,3,5,5,5,4,1
1,6,9,9,2,0,1
1,6,3,10,3,7,2
1,3,2,2,1,5,1
1,6,9,9,2,7,1
1,3,3,3,5,4,4
1,6,9,9,2,7,1
1,3,5,5,5,4,1
2,5,3,6,6,3,5
