"truth","icot","oct","kmeans_plus","hclust","gmm","dbscan"
1,4,2,2,1,5,1
1,6,9,9,2,0,1
1,12,3,10,3,1,2
1,12,3,3,4,1,2
1,6,9,9,2,0,1
1,12,3,3,4,1,2
1,12,3,10,3,1,2
1,4,5,5,5,4,1
1,4,5,5,5,4,1
1,4,5,5,5,4,1
1,12,3,10,3,7,2
1,4,5,5,5,4,1
1,12,3,3,4,1,3
1,12,3,10,3,1,2
1,6,9,9,2,7,1
1,12,3,10,3,7,2
1,4,5,5,5,4,1
1,12,3,10,3,1,2
1,12,3,10,3,1,2
1,4,5,5,5,4,1
1,6,9,9,2,0,1
1,4,2,2,5,4,1
1,12,3,3,4,1,3
1,4,5,5,5,4,1
1,5,2,2,1,5,1
1,12,3,10,3,1,2
1,6,9,9,2,7,1
1,12,3,3,4,1,3
1,4,5,5,5,4,1
1,4,2,2,1,5,1
1,12,3,10,3,7,2
1,12,3,10,3,7,2
1,6,9,10,3,7,2
1,4,2,2,1,5,1
1,12,3,10,3,7,2
1,12,3,10,3,7,2
1,12,3,3,4,1,2
1,4,2,2,1,5,1
1,12,3,3,4,1,2
1,6,9,9,2,0,1
1,12,3,3,4,1,2
1,12,3,3,4,9,3
1,4,5,5,5,4,1
1,4,2,2,5,5,1
1,12,3,3,4,9,3
1,12,3,3,4,9,3
1,4,2,2,1,5,1
1,4,2,2,5,4,1
1,12,3,10,3,1,2
1,4,2,2,5,5,1
1,6,2,2,1,5,1
1,6,9,9,2,7,1
1,4,2,2,1,5,1
1,4,2,2,1,5,1
1,6,9,9,2,5,1
1,5,2,2,1,5,1
1,6,2,2,1,5,1
1,6,9,9,2,7,1
1,12,3,10,3,1,2
1,4,5,5,5,4,1
1,4,3,5,5,4,1
1,12,3,3,4,1,2
1,12,3,10,3,7,2
1,12,3,10,3,1,2
1,4,3,5,5,4,4
1,4,5,5,5,4,1
1,4,5,5,5,4,1
1,12,3,3,4,1,2
1,12,3,3,4,9,3
1,6,9,9,2,7,1
1,12,3,10,3,1,2
1,12,3,10,3,1,2
1,4,5,5,5,4,1
1,6,2,2,1,5,1
1,12,3,3,5,4,4
1,12,3,3,4,9,3
1,12,3,3,4,1,2
1,12,3,10,3,1,2
