truth,icot,oct,kmeans_plus,hclust,gmm,dbscan
1,3,9,9,1,0,1
1,3,2,2,1,0,1
1,3,8,3,1,7,1
1,3,5,5,1,3,1
1,3,2,2,1,0,1
1,3,2,8,1,4,1
1,3,8,8,1,7,1
1,3,2,2,1,4,1
1,3,5,5,1,0,1
1,3,9,2,1,0,1
1,3,5,5,1,0,1
1,3,2,2,1,0,1
1,3,8,8,1,4,1
1,3,1,1,1,3,1
1,3,8,3,1,7,1
1,3,8,8,1,4,1
1,3,2,5,1,0,1
1,3,5,5,1,0,1
1,3,5,1,1,3,1
1,3,2,2,1,4,1
1,3,8,3,1,7,1
1,3,8,3,1,7,1
1,3,8,8,1,4,1
1,3,5,5,1,0,1
1,3,8,3,1,7,1
1,3,8,8,1,7,1
1,3,2,2,1,4,1
1,3,5,5,1,0,1
1,3,5,5,1,0,1
1,3,2,2,1,4,1
1,3,2,2,1,0,1
1,3,1,1,1,3,1
1,3,2,2,1,0,1
1,3,2,5,1,0,1
1,3,2,2,1,4,1
1,3,5,5,1,0,1
1,3,2,2,1,4,1
1,3,8,3,1,7,1
1,3,2,2,1,4,1
1,3,5,1,1,3,1
1,3,2,2,1,0,1
1,3,5,5,1,3,1
1,3,2,2,1,0,1
1,3,8,8,1,4,1
1,3,5,5,1,0,1
1,3,2,2,1,0,1
1,3,8,8,1,4,1
1,3,5,5,1,0,1
1,3,2,5,1,0,1
1,3,8,8,1,4,1
1,3,9,9,1,1,1
1,3,5,5,1,3,1
1,3,2,2,1,0,1
1,3,9,2,1,0,1
1,3,8,8,1,4,1
1,3,8,8,1,4,1
1,3,5,1,1,3,1
1,3,8,8,1,7,1
1,3,8,8,1,4,1
1,3,2,8,1,4,1
1,3,2,2,1,4,1
1,3,8,8,1,4,1
1,3,9,2,1,0,1
1,3,8,3,1,7,1
1,3,9,2,1,0,1
1,3,5,5,1,0,1
1,3,8,3,1,7,1
1,3,2,2,1,4,1
1,3,5,5,1,3,1
1,3,8,8,1,7,1
1,3,2,2,1,4,1
1,3,2,2,1,0,1
1,3,8,2,1,4,1
1,3,2,8,1,4,1
1,3,8,8,1,4,1
1,3,2,2,1,4,1
1,3,5,5,1,0,1
1,3,2,2,1,4,1
1,3,2,8,1,4,1
1,3,8,2,1,4,1
1,3,5,5,1,0,1
1,3,9,2,1,0,1
1,3,2,2,1,0,1
1,3,9,9,1,5,1
1,3,2,2,1,4,1
1,3,5,1,1,3,1
1,3,2,2,1,0,1
1,3,8,8,1,4,1
1,3,5,2,1,0,1
1,3,2,2,1,0,1
1,3,8,8,1,4,1
1,3,2,2,1,0,1
1,3,8,8,1,4,1
1,3,5,5,1,3,1
1,3,8,3,1,7,1
1,3,5,5,1,3,1
1,3,5,1,1,3,1
1,3,5,1,2,3,1
1,3,8,8,1,4,1
1,3,5,1,1,3,1
1,3,5,5,1,0,1
1,3,5,5,1,0,1
1,3,5,5,1,0,1
1,3,8,8,1,4,1
1,3,2,8,1,4,1
1,3,9,9,1,5,1
1,3,8,3,1,7,1
1,3,2,2,1,4,1
1,3,1,1,1,3,1
1,3,8,8,1,4,1
1,3,8,8,1,4,1
1,3,5,1,1,3,1
1,3,5,1,1,3,1
1,3,9,2,1,0,1
1,3,5,5,1,0,1
1,3,2,2,1,0,1
1,3,2,2,1,4,1
1,3,5,1,2,3,1
1,3,2,2,1,4,1
1,3,9,5,1,0,1
1,3,5,5,1,0,1
1,3,2,8,1,4,1
1,3,1,1,2,3,1
1,3,5,2,1,0,1
1,3,1,1,1,3,1
1,3,5,5,1,0,1
1,3,2,2,1,4,1
1,3,2,2,1,4,1
1,3,8,8,1,4,1
1,3,8,8,1,4,1
1,3,9,2,1,4,1
1,3,5,5,1,3,1
1,3,2,2,1,4,1
1,3,2,2,1,4,1
1,3,9,9,1,0,1
1,3,8,8,1,4,1
1,3,8,8,1,4,1
1,3,8,8,1,4,1
1,3,8,8,1,4,1
1,3,2,2,1,0,1
1,3,5,5,1,0,1
1,3,8,3,1,7,1
1,3,2,2,1,4,1
1,3,2,2,1,0,1
1,3,8,8,1,4,1
1,3,2,2,1,0,1
1,3,1,1,2,3,1
1,3,8,3,1,7,1
1,3,5,5,1,0,1
1,3,2,2,1,0,1
1,3,8,8,1,4,1
1,3,9,2,1,0,1
1,3,5,5,1,3,1
1,3,5,5,1,0,1
1,3,8,8,1,4,1
1,3,2,8,1,4,1
1,3,2,8,1,4,1
1,3,1,1,2,3,1
1,3,8,3,1,7,1
1,3,2,2,1,4,1
1,3,5,5,1,0,1
1,3,8,8,1,4,1
1,3,2,2,1,4,1
1,3,5,5,1,0,1
1,3,8,3,1,7,1
1,3,2,5,1,0,1
1,3,5,5,1,3,1
1,3,8,8,1,4,1
1,3,8,3,1,7,1
1,3,5,2,1,0,1
1,3,8,2,1,4,1
1,3,2,2,1,4,1
1,3,2,2,1,4,1
1,3,2,2,1,4,1
1,3,8,3,1,7,1
1,3,2,2,1,0,1
1,3,8,2,1,4,1
1,3,5,5,1,0,1
1,3,8,8,1,4,1
1,3,8,3,1,7,1
1,3,8,8,1,4,1
1,3,5,1,1,3,1
1,3,8,2,1,4,1
1,3,5,1,1,3,1
1,3,8,8,1,4,1
1,3,2,5,1,3,1
1,3,1,1,1,3,1
1,3,2,2,1,4,1
1,3,5,5,1,0,1
1,3,8,8,1,4,1
1,3,2,2,1,0,1
1,3,2,2,1,0,1
1,3,5,5,1,0,1
1,3,5,1,1,3,1
1,3,8,8,1,4,1
1,3,5,5,1,3,1
1,3,5,5,1,0,1
1,3,2,2,1,4,1
1,3,8,2,1,4,1
1,3,9,2,1,0,1
1,3,2,2,1,4,1
1,3,5,5,1,3,1
1,3,8,8,1,4,1
1,3,5,5,1,0,1
1,3,5,5,1,0,1
1,3,5,5,1,0,1
1,3,5,5,1,0,1
1,3,5,1,1,3,1
1,3,8,3,1,7,1
1,3,5,5,1,0,1
1,3,2,5,1,0,1
1,3,9,9,1,1,1
1,3,5,1,1,3,1
1,3,2,2,1,0,1
1,3,8,3,1,7,1
1,3,8,8,1,4,1
1,3,2,8,1,4,1
1,3,5,5,1,0,1
1,3,5,1,1,3,1
1,3,1,1,2,3,1
1,3,8,8,1,4,1
1,3,9,2,1,0,1
1,3,9,9,1,1,1
1,3,8,8,1,4,1
1,3,2,2,1,4,1
1,3,2,2,1,4,1
1,3,8,2,1,4,1
1,3,5,5,1,0,1
1,3,5,5,1,0,1
1,3,2,2,1,4,1
1,3,8,8,1,4,1
1,3,2,2,1,4,1
1,3,9,9,1,5,1
1,3,2,8,1,4,1
1,3,5,5,1,0,1
1,3,8,8,1,4,1
1,3,2,2,1,4,1
1,3,2,2,1,4,1
1,3,8,3,1,7,1
1,3,8,8,1,7,1
1,3,8,3,1,7,1
1,3,2,2,1,0,1
1,3,9,9,1,0,1
1,3,8,8,1,4,1
1,3,5,5,1,0,1
1,3,5,1,1,3,1
1,3,8,3,1,7,1
1,3,8,8,1,4,1
1,3,2,2,1,4,1
1,3,8,8,1,4,1
1,3,8,3,1,7,1
1,3,8,8,1,4,1
1,3,2,2,1,4,1
1,3,2,8,1,4,1
1,3,5,1,1,3,1
1,3,5,2,1,0,1
1,3,9,2,1,4,1
1,3,2,2,1,4,1
1,3,5,1,1,3,1
1,3,2,2,1,0,1
1,3,2,2,1,4,1
1,3,5,1,2,3,1
1,3,2,5,1,0,1
1,3,2,2,1,0,1
1,3,5,5,1,3,1
1,3,2,2,1,4,1
1,3,2,5,1,0,1
1,3,8,8,1,4,1
1,3,2,2,1,4,1
1,3,2,2,1,0,1
1,3,9,9,1,4,1
1,3,2,2,1,4,1
1,3,2,2,1,4,1
1,3,2,8,1,4,1
1,3,8,8,1,4,1
1,3,5,5,1,3,1
1,3,8,8,1,4,1
1,3,8,3,1,7,1
1,3,9,2,1,0,1
1,3,8,8,1,4,1
1,3,9,9,1,5,1
1,3,8,2,1,4,1
1,3,2,2,1,0,1
1,3,2,2,1,0,1
1,3,8,3,1,7,1
1,3,8,8,1,4,1
1,3,9,2,1,4,1
1,3,2,5,1,0,1
1,3,2,8,1,4,1
1,3,1,1,1,3,1
1,3,9,2,1,0,1
1,3,2,5,1,0,1
1,3,8,2,1,4,1
1,3,8,8,1,4,1
1,3,2,2,1,4,1
1,3,8,3,1,7,1
1,3,1,1,2,3,2
1,3,8,3,1,7,1
1,3,8,3,1,7,1
1,3,8,3,1,7,1
1,3,2,5,1,0,1
1,3,5,1,1,3,1
1,3,2,2,1,0,1
