"truth","icot","oct","kmeans_plus","hclust","gmm","dbscan"
1,6,7,7,1,5,1
1,6,7,7,1,5,1
1,6,7,7,1,5,1
1,6,7,7,1,5,1
1,6,7,7,1,5,1
1,6,7,7,1,5,1
1,6,7,7,1,5,1
1,6,7,7,1,5,1
1,6,7,7,1,5,1
1,6,7,7,1,5,1
1,6,7,7,1,5,1
1,6,7,7,1,5,1
1,6,7,7,1,5,1
1,6,7,7,1,5,1
1,6,7,7,1,5,1
1,6,7,7,1,5,1
1,6,7,7,1,5,1
1,6,7,7,1,5,1
1,6,7,7,1,5,1
1,6,7,7,1,5,1
1,6,7,7,1,5,1
1,6,7,7,1,5,1
1,6,7,7,1,5,1
1,6,7,7,1,5,1
1,6,7,7,1,5,1
1,6,7,7,1,5,1
1,6,7,7,1,5,1
1,6,7,7,1,5,1
1,6,7,7,1,5,1
1,6,7,7,1,5,1
1,6,7,7,1,5,1
1,6,7,7,1,5,1
2,6,4,4,2,2,2
2,6,4,4,2,2,2
2,6,4,4,2,2,2
2,6,4,4,2,2,2
2,6,4,4,2,2,2
2,6,4,4,2,2,2
2,6,4,4,2,2,2
2,6,4,4,2,2,2
2,6,4,4,2,2,2
2,6,4,4,2,2,2
2,6,4,4,2,2,2
2,6,4,4,2,2,2
2,6,4,4,2,2,2
2,6,4,4,2,2,2
2,6,4,4,2,2,2
2,6,4,4,2,2,2
2,6,4,4,2,2,2
2,6,4,4,2,2,2
2,6,4,4,2,2,2
2,6,4,4,2,2,2
2,6,4,4,2,2,2
2,6,4,4,2,2,2
2,6,4,4,2,2,2
2,6,4,4,2,2,2
2,6,4,4,2,2,2
2,6,4,4,2,2,2
2,6,4,4,2,2,2
2,6,4,4,2,2,2
2,6,4,4,2,2,2
2,6,4,4,2,2,2
3,4,3,3,3,4,3
3,4,3,3,3,4,3
3,4,3,3,3,4,3
3,4,3,3,3,4,3
3,4,3,3,3,4,3
3,4,3,3,3,4,3
3,4,3,3,3,4,3
3,4,3,3,3,4,3
3,4,3,3,3,4,3
3,4,3,3,3,4,3
3,4,3,3,3,4,3
3,4,3,3,3,4,3
3,4,3,3,3,4,3
3,4,3,3,3,4,3
3,4,3,3,3,4,3
3,4,3,3,3,4,3
3,4,3,3,3,4,3
3,4,3,3,3,4,3
3,4,3,3,3,4,3
3,4,3,3,3,4,3
3,4,3,3,3,4,3
3,4,3,3,3,4,3
3,4,3,3,3,4,3
3,4,3,3,3,4,3
3,4,3,3,3,4,3
3,4,3,3,3,4,3
3,4,3,3,3,4,3
3,4,3,3,3,4,3
3,4,3,3,3,4,3
3,4,3,3,3,4,3
4,7,5,5,4,0,4
4,7,5,5,4,0,4
4,7,5,5,4,0,4
4,7,5,5,4,0,4
4,7,5,5,4,0,4
4,7,5,5,4,0,4
4,7,7,5,4,0,4
4,7,7,5,4,0,4
4,7,7,5,4,0,4
4,7,5,5,4,0,4
4,7,5,5,4,0,4
4,7,7,5,4,0,4
4,7,5,5,4,0,4
4,7,5,5,4,0,4
4,7,7,5,4,0,4
4,7,7,5,4,0,4
4,7,5,5,4,0,4
4,7,7,5,4,0,4
4,7,7,5,4,0,4
4,7,7,5,4,0,4
4,7,5,5,4,0,4
4,7,7,5,4,0,4
4,7,5,5,4,0,4
4,7,7,5,4,0,4
4,7,7,5,4,0,4
4,7,5,5,4,0,4
4,7,5,5,4,0,4
4,7,5,5,4,0,4
4,7,5,5,4,0,4
4,7,5,5,4,0,4
5,2,6,6,5,3,5
5,2,6,6,5,3,5
5,2,6,6,5,3,5
5,2,6,6,5,3,5
5,2,6,6,5,3,5
5,2,6,6,5,3,5
5,2,6,6,5,3,5
5,2,6,6,5,3,5
5,2,6,6,5,3,5
5,2,6,6,5,3,5
5,2,6,6,5,3,5
5,2,6,6,5,3,5
5,2,6,6,5,3,5
5,2,6,6,5,3,5
5,2,6,6,5,3,5
5,2,6,6,5,3,5
5,2,6,6,5,3,5
5,2,6,6,5,3,5
5,2,6,6,5,3,5
5,2,6,6,5,3,5
5,2,6,6,5,3,5
5,2,6,6,5,3,5
5,2,6,6,5,3,5
5,2,6,6,5,3,5
5,2,6,6,5,3,5
5,2,6,6,5,3,5
5,2,6,6,5,3,5
5,2,6,6,5,3,5
5,2,6,6,5,3,5
5,2,6,6,5,3,5
6,6,7,2,6,6,6
6,6,4,2,6,6,6
6,6,5,2,6,6,6
6,6,7,2,6,6,6
6,6,7,2,6,6,6
6,6,5,2,6,6,6
6,6,7,2,6,6,6
6,6,5,2,6,6,6
6,6,7,2,6,6,6
6,6,5,2,6,6,6
6,6,7,2,6,6,6
6,6,7,2,6,6,6
6,6,7,2,6,6,6
6,6,5,2,6,6,6
6,6,7,2,6,6,6
6,6,5,2,6,6,6
6,6,5,2,6,6,6
6,6,7,2,6,6,6
6,6,7,2,6,6,6
6,6,7,2,6,6,6
6,6,7,2,6,6,6
6,6,5,2,6,6,6
6,6,5,2,6,6,6
6,6,5,2,6,6,6
6,6,5,2,6,6,6
6,6,7,2,6,6,6
6,6,5,2,6,6,6
6,6,7,2,6,6,6
6,6,7,2,6,6,6
6,6,7,2,6,6,6
7,6,7,1,7,1,7
7,6,7,1,7,1,7
7,6,7,1,7,1,7
7,6,5,1,7,1,7
7,6,7,1,7,1,7
7,6,5,1,7,1,7
7,6,5,1,7,1,7
7,6,7,1,7,1,7
7,6,5,1,7,1,7
7,6,7,1,7,1,7
7,6,7,1,7,1,7
7,6,7,1,7,1,7
7,6,7,1,7,1,7
7,6,7,1,7,1,7
7,6,5,1,7,1,7
7,6,7,1,7,1,7
7,6,7,1,7,1,7
7,6,5,1,7,1,7
7,6,7,1,7,1,7
7,6,5,1,7,1,7
7,6,7,1,7,1,7
7,6,5,1,7,1,7
7,6,5,1,7,1,7
7,6,7,1,7,1,7
7,6,7,1,7,1,7
7,6,5,1,7,1,7
7,6,5,1,7,1,7
7,6,7,1,7,1,7
7,6,7,1,7,1,7
