truth,icot,oct,kmeans_plus,hclust,gmm,dbscan
1,7,5,5,1,0,1
1,7,5,5,1,0,1
1,7,5,5,1,0,1
1,7,5,5,1,0,1
1,7,5,5,1,0,1
1,7,5,5,1,0,1
1,7,5,5,1,0,1
1,7,5,5,1,0,1
1,7,5,5,1,0,1
1,7,5,5,1,0,1
1,7,5,5,1,0,1
1,7,5,5,1,0,1
1,7,5,5,1,0,1
1,7,5,5,1,0,1
1,7,5,5,1,0,1
1,7,5,5,1,0,1
1,7,5,5,1,0,1
1,7,5,5,1,0,1
1,7,5,5,1,0,1
1,7,5,5,1,0,1
1,7,5,5,1,0,1
1,7,5,5,1,0,1
1,7,5,5,1,0,1
1,7,5,5,1,0,1
1,7,5,5,1,0,1
1,7,5,5,1,0,1
1,7,5,5,1,0,1
1,7,5,5,1,0,1
1,7,5,5,1,0,1
1,7,5,5,1,0,1
1,7,5,5,1,0,1
1,7,5,5,1,0,1
2,7,3,3,2,1,2
2,7,3,3,2,1,2
2,7,3,3,2,1,2
2,7,3,3,2,1,2
2,7,3,3,2,1,2
2,7,3,3,2,1,2
2,7,3,3,2,1,2
2,7,3,3,2,1,2
2,7,3,3,2,1,2
2,7,3,3,2,1,2
2,7,3,3,2,1,2
2,7,3,3,2,1,2
2,7,3,3,2,1,2
2,7,3,3,2,1,2
2,7,3,3,2,1,2
2,7,3,3,2,1,2
2,7,3,3,2,1,2
2,7,3,3,2,1,2
2,7,3,3,2,1,2
2,7,3,3,2,1,2
2,7,3,3,2,1,2
2,7,3,3,2,1,2
2,7,3,3,2,1,2
2,7,3,3,2,1,2
2,7,3,3,2,1,2
2,7,3,3,2,1,2
2,7,3,3,2,1,2
2,7,3,3,2,1,2
2,7,3,3,2,1,2
2,7,3,3,2,1,2
3,4,2,2,3,1,3
3,4,2,2,3,1,3
3,4,2,2,3,1,3
3,4,2,2,3,1,3
3,4,2,2,3,1,3
3,4,2,2,3,1,3
3,4,2,2,3,1,3
3,4,2,2,3,1,3
3,4,2,2,3,1,3
3,4,2,2,3,1,3
3,4,2,2,3,1,3
3,4,2,2,3,1,3
3,4,2,2,3,1,3
3,4,2,2,3,1,3
3,4,2,2,3,1,3
3,4,2,2,3,1,3
3,4,2,2,3,1,3
3,4,2,2,3,1,3
3,4,2,2,3,1,3
3,4,2,2,3,1,3
3,4,2,2,3,1,3
3,4,2,2,3,1,3
3,4,2,2,3,1,3
3,4,2,2,3,1,3
3,4,2,2,3,1,3
3,4,2,2,3,1,3
3,4,2,2,3,1,3
3,4,2,2,3,1,3
3,4,2,2,3,1,3
3,4,2,2,3,1,3
4,7,1,1,4,0,4
4,7,1,1,4,0,4
4,7,1,1,4,0,4
4,7,1,1,4,0,4
4,7,1,1,4,0,4
4,7,1,1,4,0,4
4,7,5,1,4,0,4
4,7,5,1,4,0,4
4,7,5,1,4,0,4
4,7,1,1,4,0,4
4,7,1,1,4,0,4
4,7,5,1,4,0,4
4,7,1,1,4,0,4
4,7,1,1,4,0,4
4,7,5,1,4,0,4
4,7,5,1,4,0,4
4,7,1,1,4,0,4
4,7,5,1,4,0,4
4,7,5,1,4,0,4
4,7,5,1,4,0,4
4,7,1,1,4,0,4
4,7,5,1,4,0,4
4,7,1,1,4,0,4
4,7,5,1,4,0,4
4,7,5,1,4,0,4
4,7,1,1,4,0,4
4,7,1,1,4,0,4
4,7,1,1,4,0,4
4,7,1,1,4,0,4
4,7,1,1,4,0,4
5,2,7,7,5,0,5
5,2,7,7,5,0,5
5,2,7,7,5,0,5
5,2,7,7,5,0,5
5,2,7,7,5,0,5
5,2,7,7,5,0,5
5,2,7,7,5,0,5
5,2,7,7,5,0,5
5,2,7,7,5,0,5
5,2,7,7,5,0,5
5,2,7,7,5,0,5
5,2,7,7,5,0,5
5,2,7,7,5,0,5
5,2,7,7,5,0,5
5,2,7,7,5,0,5
5,2,7,7,5,0,5
5,2,7,7,5,0,5
5,2,7,7,5,0,5
5,2,7,7,5,0,5
5,2,7,7,5,0,5
5,2,7,7,5,0,5
5,2,7,7,5,0,5
5,2,7,7,5,0,5
5,2,7,7,5,0,5
5,2,7,7,5,0,5
5,2,7,7,5,0,5
5,2,7,7,5,0,5
5,2,7,7,5,0,5
5,2,7,7,5,0,5
5,2,7,7,5,0,5
6,7,5,4,6,1,6
6,7,3,4,6,1,6
