truth,icot,oct,kmeans_plus,hclust,gmm,dbscan
1,7,1,1,1,5,1
1,7,1,1,1,5,1
1,7,1,1,1,5,1
1,7,1,1,1,5,1
1,7,1,1,1,5,1
1,7,1,1,1,5,1
1,7,1,1,1,5,1
1,7,1,1,1,5,1
1,7,1,1,1,5,1
1,7,1,1,1,5,1
1,7,1,1,1,5,1
1,7,1,1,1,5,1
1,7,1,1,1,5,1
1,7,1,1,1,5,1
1,7,1,1,1,5,1
1,7,1,1,1,5,1
1,7,1,1,1,5,1
1,7,1,1,1,5,1
1,7,1,1,1,5,1
1,7,1,1,1,5,1
1,7,1,1,1,5,1
1,7,1,1,1,5,1
1,7,1,1,1,5,1
1,7,1,1,1,5,1
1,7,1,1,1,5,1
1,7,1,1,1,5,1
1,7,1,1,1,5,1
1,7,1,1,1,5,1
1,7,1,1,1,5,1
1,7,1,1,1,5,1
1,7,1,1,1,5,1
1,7,1,1,1,5,1
2,7,1,2,2,2,2
2,7,2,2,2,2,2
2,7,1,2,2,2,2
2,7,1,2,2,2,2
2,7,1,2,2,2,2
2,7,2,2,2,2,2
2,7,1,2,2,2,2
2,7,2,2,2,2,2
2,7,1,2,2,2,2
2,7,2,2,2,2,2
2,7,1,2,2,2,2
2,7,2,2,2,2,2
2,7,1,2,2,2,2
2,7,1,2,2,2,2
2,7,1,2,2,2,2
2,7,1,2,2,2,2
2,7,1,2,2,2,2
2,7,2,2,2,2,2
2,7,1,2,2,2,2
2,7,1,2,2,2,2
2,7,1,2,2,2,2
2,7,1,2,2,2,2
2,7,1,2,2,2,2
2,7,1,2,2,2,2
2,7,1,2,2,2,2
2,7,2,2,2,2,2
2,7,1,2,2,2,2
2,7,2,2,2,2,2
2,7,1,2,2,2,2
2,7,2,2,2,2,2
3,2,1,3,3,4,3
3,2,1,3,3,4,3
3,2,1,3,3,4,3
3,2,1,3,3,4,3
3,2,1,3,3,4,3
3,2,1,3,3,4,3
3,2,1,3,3,4,3
3,2,2,3,3,4,3
3,2,2,3,3,4,3
3,2,1,3,3,4,3
3,2,1,3,3,4,3
3,2,1,3,3,4,3
3,2,1,3,3,4,3
3,2,1,3,3,4,3
3,2,1,3,3,4,3
3,2,1,3,3,4,3
3,2,1,3,3,4,3
3,2,1,3,3,4,3
3,2,1,3,3,4,3
3,2,1,3,3,4,3
3,2,1,3,3,4,3
3,2,1,3,3,4,3
3,2,1,3,3,4,3
3,2,1,3,3,4,3
3,2,1,3,3,4,3
3,2,2,3,3,4,3
3,2,1,3,3,4,3
3,2,2,3,3,4,3
3,2,1,3,3,4,3
3,2,1,3,3,4,3
4,7,4,4,4,0,4
4,7,4,4,4,0,4
4,7,4,4,4,0,4
4,7,4,4,4,0,4
4,7,4,4,4,0,4
4,7,4,4,4,0,4
4,7,4,4,4,0,4
4,7,4,4,4,0,4
4,7,4,4,4,0,4
4,7,4,4,4,0,4
4,7,4,4,4,0,4
4,7,4,4,4,0,4
4,7,4,4,4,0,4
4,7,2,4,4,0,4
4,7,4,4,4,0,4
4,7,4,4,4,0,4
4,7,4,4,4,0,4
4,7,4,4,4,0,4
4,7,4,4,4,0,4
4,7,4,4,4,0,4
4,7,4,4,4,0,4
4,7,2,4,4,0,4
4,7,4,4,4,0,4
4,7,4,4,4,0,4
4,7,4,4,4,0,4
4,7,4,4,4,0,4
4,7,4,4,4,0,4
4,7,4,4,4,0,4
4,7,4,4,4,0,4
4,7,4,4,4,0,4
5,4,6,6,5,3,5
5,4,6,6,5,3,5
5,4,6,6,5,3,5
5,4,6,6,5,3,5
5,4,6,6,5,3,5
5,4,6,6,5,3,5
5,4,6,6,5,3,5
5,4,6,6,5,3,5
5,4,6,6,5,3,5
5,4,6,6,5,3,5
5,4,6,6,5,3,5
5,4,6,6,5,3,5
5,4,6,6,5,3,5
5,4,6,6,5,3,5
5,4,6,6,5,3,5
5,4,6,6,5,3,5
5,4,6,6,5,3,5
5,4,6,6,5,3,5
5,4,6,6,5,3,5
5,4,6,6,5,3,5
5,4,6,6,5,3,5
5,4,6,6,5,3,5
5,4,6,6,5,3,5
5,4,6,6,5,3,5
5,4,6,6,5,3,5
5,4,6,6,5,3,5
5,4,6,6,5,3,5
5,4,6,6,5,3,5
5,4,6,6,5,3,5
5,4,6,6,5,3,5
6,7,1,1,6,6,6
6,7,1,1,6,6,6
6,7,1,1,6,6,6
6,7,1,1,6,6,6
6,7,1,1,6,6,6
6,7,1,1,6,6,6
6,7,1,1,6,6,6
6,7,1,1,6,6,6
6,7,1,1,6,6,6
6,7,1,1,6,6,6
6,7,1,1,6,6,6
6,7,1,1,6,6,6
6,7,1,1,6,6,6
6,7,1,1,6,6,6
6,7,1,1,6,6,6
6,7,1,1,6,6,6
6,7,1,1,6,6,6
6,7,1,1,6,6,6
6,7,1,1,6,6,6
6,7,1,1,6,6,6
6,7,1,1,6,6,6
6,7,1,1,6,6,6
6,7,1,1,6,6,6
6,7,1,1,6,6,6
6,7,1,1,6,6,6
6,7,1,1,6,6,6
6,7,1,1,6,6,6
6,7,1,1,6,6,6
6,7,1,1,6,6,6
6,7,1,1,6,6,6
7,6,5,5,7,1,7
7,6,5,5,7,1,7
7,6,5,5,7,1,7
7,6,5,5,7,1,7
7,6,5,5,7,1,7
7,6,5,5,7,1,7
7,6,5,5,7,1,7
7,6,5,5,7,1,7
7,6,5,5,7,1,7
7,6,5,5,7,1,7
7,6,5,5,7,1,7
7,6,5,5,7,1,7
7,6,5,5,7,1,7
7,6,5,5,7,1,7
7,6,5,5,7,1,7
7,6,5,5,7,1,7
7,6,5,5,7,1,7
7,6,5,5,7,1,7
7,6,5,5,7,1,7
7,6,5,5,7,1,7
7,6,5,5,7,1,7
7,6,5,5,7,1,7
7,6,5,5,7,1,7
7,6,5,5,7,1,7
7,6,5,5,7,1,7
7,6,5,5,7,1,7
7,6,5,5,7,1,7
7,6,5,5,7,1,7
7,6,5,5,7,1,7
7,6,5,5,7,1,7
