truth,icot,oct,kmeans_plus,hclust,gmm,dbscan
1,7,7,7,1,3,1
1,7,7,7,1,3,1
1,7,7,7,1,3,1
1,7,7,7,1,3,1
1,7,7,7,1,3,1
1,7,7,7,1,3,1
1,7,7,7,1,3,1
1,7,7,7,1,3,1
1,7,7,7,1,3,1
1,7,7,7,1,3,1
1,7,7,7,1,3,1
1,7,7,7,1,3,1
1,7,7,7,1,3,1
1,7,7,7,1,3,1
1,7,7,7,1,3,1
1,7,7,7,1,3,1
1,7,7,7,1,3,1
1,7,7,7,1,3,1
1,7,7,7,1,3,1
1,7,7,7,1,3,1
1,7,7,7,1,3,1
1,7,7,7,1,3,1
1,7,7,7,1,3,1
1,7,7,7,1,3,1
1,7,7,7,1,3,1
1,7,7,7,1,3,1
1,7,7,7,1,3,1
1,7,7,7,1,3,1
1,7,7,7,1,3,1
1,7,7,7,1,3,1
1,7,7,7,1,3,1
1,7,7,7,1,3,1
2,7,1,1,2,1,2
2,7,1,1,2,1,2
2,7,1,1,2,1,2
2,7,1,1,2,1,2
2,7,1,1,2,1,2
2,7,1,1,2,1,2
2,7,1,1,2,1,2
2,7,1,1,2,1,2
2,7,1,1,2,1,2
2,7,1,1,2,1,2
2,7,1,1,2,1,2
2,7,1,1,2,1,2
2,7,1,1,2,1,2
2,7,1,1,2,1,2
2,7,1,1,2,1,2
2,7,1,1,2,1,2
2,7,1,1,2,1,2
2,7,1,1,2,1,2
2,7,1,1,2,1,2
2,7,1,1,2,1,2
2,7,1,1,2,1,2
2,7,1,1,2,1,2
2,7,1,1,2,1,2
2,7,1,1,2,1,2
2,7,1,1,2,1,2
2,7,1,1,2,1,2
2,7,1,1,2,1,2
2,7,1,1,2,1,2
2,7,1,1,2,1,2
2,7,1,1,2,1,2
3,6,3,3,3,3,3
3,6,3,3,3,3,3
3,6,3,3,3,3,3
3,6,3,3,3,3,3
3,6,3,3,3,3,3
3,6,3,3,3,3,3
3,6,3,3,3,3,3
3,6,3,3,3,3,3
3,6,3,3,3,3,3
3,6,3,3,3,3,3
3,6,3,3,3,3,3
3,6,3,3,3,3,3
3,6,3,3,3,3,3
3,6,3,3,3,3,3
3,6,3,3,3,3,3
3,6,3,3,3,3,3
3,6,3,3,3,3,3
3,6,3,3,3,3,3
3,6,3,3,3,3,3
3,6,3,3,3,3,3
3,6,3,3,3,3,3
3,6,3,3,3,3,3
3,6,3,3,3,3,3
3,6,3,3,3,3,3
3,6,3,3,3,3,3
3,6,3,3,3,3,3
3,6,3,3,3,3,3
3,6,3,3,3,3,3
3,6,3,3,3,3,3
3,6,3,3,3,3,3
4,7,4,4,4,3,4
4,7,4,4,4,3,4
4,7,4,4,4,3,4
4,7,4,4,4,3,4
4,7,4,4,4,3,4
4,7,4,4,4,3,4
4,7,7,4,4,3,4
4,7,7,4,4,3,4
4,7,7,4,4,3,4
4,7,4,4,4,3,4
4,7,4,4,4,3,4
4,7,7,4,4,3,4
4,7,4,4,4,3,4
4,7,4,4,4,3,4
4,7,7,4,4,3,4
4,7,7,4,4,3,4
4,7,4,4,4,3,4
4,7,7,4,4,3,4
4,7,7,4,4,3,4
4,7,7,4,4,3,4
4,7,4,4,4,3,4
4,7,7,4,4,3,4
4,7,4,4,4,3,4
4,7,7,4,4,3,4
4,7,7,4,4,3,4
4,7,4,4,4,3,4
4,7,4,4,4,3,4
4,7,4,4,4,3,4
4,7,4,4,4,3,4
4,7,4,4,4,3,4
5,4,2,2,5,2,5
5,4,2,2,5,2,5
5,4,2,2,5,2,5
5,4,2,2,5,2,5
5,4,2,2,5,2,5
5,4,2,2,5,2,5
5,4,2,2,5,2,5
5,4,2,2,5,2,5
5,4,2,2,5,2,5
5,4,2,2,5,2,5
5,4,2,2,5,2,5
5,4,2,2,5,2,5
5,4,2,2,5,2,5
5,4,2,2,5,2,5
5,4,2,2,5,2,5
5,4,2,2,5,2,5
5,4,2,2,5,2,5
5,4,2,2,5,2,5
5,4,2,2,5,2,5
5,4,2,2,5,2,5
5,4,2,2,5,2,5
5,4,2,2,5,2,5
5,4,2,2,5,2,5
5,4,2,2,5,2,5
5,4,2,2,5,2,5
5,4,2,2,5,2,5
5,4,2,2,5,2,5
5,4,2,2,5,2,5
5,4,2,2,5,2,5
5,4,2,2,5,2,5
6,7,7,6,6,3,6
6,7,4,6,6,3,6
6,7,4,6,6,3,6
6,7,7,6,6,3,6
6,7,7,6,6,3,6
6,7,4,6,6,3,6
6,7,7,6,6,3,6
6,7,4,6,6,3,6
6,7,7,6,6,3,6
6,7,4,6,6,3,6
6,7,7,6,6,3,6
6,7,7,6,6,3,6
6,7,7,6,6,3,6
6,7,4,6,6,3,6
6,7,7,6,6,3,6
6,7,4,6,6,3,6
6,7,4,6,6,3,6
6,7,7,6,6,3,6
6,7,7,6,6,3,6
6,7,7,6,6,3,6
6,7,7,6,6,3,6
6,7,4,6,6,3,6
6,7,4,6,6,3,6
6,7,7,6,6,3,6
6,7,4,6,6,3,6
6,7,7,6,6,3,6
6,7,4,6,6,3,6
6,7,7,6,6,3,6
6,7,7,6,6,3,6
6,7,7,6,6,3,6
7,2,7,5,7,0,7
7,2,7,5,7,0,7
7,2,7,5,7,0,7
7,2,4,5,7,0,7
7,2,7,5,7,0,7
7,2,4,5,7,0,7
7,2,4,5,7,0,7
7,2,7,5,7,0,7
7,2,4,5,7,0,7
7,2,7,5,7,0,7
7,2,7,5,7,0,7
7,2,7,5,7,0,7
7,2,7,5,7,0,7
7,2,7,5,7,0,7
7,2,4,5,7,0,7
7,2,7,5,7,0,7
7,2,7,5,7,0,7
7,2,4,5,7,0,7
7,2,7,5,7,0,7
7,2,4,5,7,0,7
7,2,7,5,7,0,7
7,2,4,5,7,0,7
7,2,4,5,7,0,7
7,2,7,5,7,0,7
7,2,7,5,7,0,7
7,2,4,5,7,0,7
7,2,4,5,7,0,7
7,2,7,5,7,0,7
7,2,7,5,7,0,7
7,2,7,5,7,0,7
