truth,icot,oct,kmeans_plus,hclust,gmm,dbscan
1,5,7,7,1,5,1
1,5,7,7,1,5,1
1,5,7,7,1,5,1
1,5,7,7,1,5,1
1,5,7,7,1,5,1
1,5,7,7,1,5,1
1,5,7,7,1,5,1
1,5,7,7,1,5,1
1,5,7,7,1,5,1
1,5,7,7,1,5,1
1,5,7,7,1,5,1
1,5,7,7,1,5,1
1,5,7,7,1,5,1
1,5,7,7,1,5,1
1,5,7,7,1,5,1
1,5,7,7,1,5,1
1,5,7,7,1,5,1
1,5,7,7,1,5,1
1,5,7,7,1,5,1
1,5,7,7,1,5,1
1,5,7,7,1,5,1
1,5,7,7,1,5,1
1,5,7,7,1,5,1
1,5,7,7,1,5,1
1,5,7,7,1,5,1
1,5,7,7,1,5,1
1,5,7,7,1,5,1
1,5,7,7,1,5,1
1,5,7,7,1,5,1
1,5,7,7,1,5,1
1,5,7,7,1,5,1
1,5,7,7,1,5,1
2,6,2,2,2,2,2
2,6,2,2,2,2,2
2,6,2,2,2,2,2
2,6,2,2,2,2,2
2,6,2,2,2,2,2
2,6,2,2,2,2,2
2,6,2,2,2,2,2
2,6,2,2,2,2,2
2,6,2,2,2,2,2
2,6,2,2,2,2,2
2,6,2,2,2,2,2
2,6,2,2,2,2,2
2,6,2,2,2,2,2
2,6,2,2,2,2,2
2,6,2,2,2,2,2
2,6,2,2,2,2,2
2,6,2,2,2,2,2
2,6,2,2,2,2,2
2,6,2,2,2,2,2
2,6,2,2,2,2,2
2,6,2,2,2,2,2
2,6,2,2,2,2,2
2,6,2,2,2,2,2
2,6,2,2,2,2,2
2,6,2,2,2,2,2
2,6,2,2,2,2,2
2,6,2,2,2,2,2
2,6,2,2,2,2,2
2,6,2,2,2,2,2
2,6,2,2,2,2,2
3,5,3,3,3,4,3
3,5,3,3,3,4,3
3,5,3,3,3,4,3
3,5,3,3,3,4,3
3,5,3,3,3,4,3
3,5,3,3,3,4,3
3,5,3,3,3,4,3
3,5,3,3,3,4,3
3,5,3,3,3,4,3
3,5,3,3,3,4,3
3,5,3,3,3,4,3
3,5,3,3,3,4,3
3,5,3,3,3,4,3
3,5,3,3,3,4,3
3,5,3,3,3,4,3
3,5,3,3,3,4,3
3,5,3,3,3,4,3
3,5,3,3,3,4,3
3,5,3,3,3,4,3
3,5,3,3,3,4,3
3,5,3,3,3,4,3
3,5,3,3,3,4,3
3,5,3,3,3,4,3
3,5,3,3,3,4,3
3,5,3,3,3,4,3
3,5,3,3,3,4,3
3,5,3,3,3,4,3
3,5,3,3,3,4,3
3,5,3,3,3,4,3
3,5,3,3,3,4,3
4,7,8,8,4,0,4
4,7,8,8,4,0,4
4,7,8,8,4,0,4
4,7,8,8,4,0,4
4,7,8,8,4,0,4
4,7,8,8,4,0,4
4,7,1,8,4,0,4
4,7,1,8,4,0,4
4,7,1,8,4,0,4
4,7,8,8,4,0,4
4,7,8,8,4,0,4
4,7,8,8,4,0,4
4,7,8,8,4,0,4
4,7,8,8,4,0,4
4,7,1,8,4,0,4
4,7,1,8,4,0,4
4,7,8,8,4,0,4
4,7,8,8,4,0,4
4,7,1,8,4,0,4
4,7,8,8,4,0,4
4,7,8,8,4,0,4
4,7,8,8,4,0,4
4,7,8,8,4,0,4
4,7,1,8,4,0,4
4,7,8,8,4,0,4
4,7,8,8,4,0,4
