truth,icot,oct,kmeans_plus,hclust,gmm,dbscan
1,5,6,6,1,2,1
1,5,6,6,1,2,1
1,5,6,6,1,2,1
1,5,6,6,1,2,1
1,5,6,6,1,2,1
1,5,6,6,1,2,1
1,5,6,6,1,2,1
1,5,6,6,1,2,1
1,5,6,6,1,2,1
1,5,6,6,1,2,1
1,5,6,6,1,2,1
1,5,6,6,1,2,1
1,5,6,6,1,2,1
1,5,6,6,1,2,1
1,5,6,6,1,2,1
1,5,6,6,1,2,1
1,5,6,6,1,2,1
1,5,6,6,1,2,1
1,5,6,6,1,2,1
1,5,6,6,1,2,1
1,5,6,6,1,2,1
1,5,6,6,1,2,1
1,5,6,6,1,2,1
1,5,6,6,1,2,1
1,5,6,6,1,2,1
1,5,6,6,1,2,1
1,5,6,6,1,2,1
1,5,6,6,1,2,1
1,5,6,6,1,2,1
1,5,6,6,1,2,1
1,5,6,6,1,2,1
1,5,6,6,1,2,1
2,6,7,7,2,1,2
2,6,7,7,2,1,2
2,6,7,7,2,1,2
2,6,7,7,2,1,2
2,6,7,7,2,1,2
2,6,7,7,2,1,2
2,6,7,7,2,1,2
2,6,7,7,2,1,2
2,6,7,7,2,1,2
2,6,7,7,2,1,2
2,6,7,7,2,1,2
2,6,7,7,2,1,2
2,6,7,7,2,1,2
2,6,7,7,2,1,2
2,6,7,7,2,1,2
2,6,7,7,2,1,2
2,6,7,7,2,1,2
2,6,7,7,2,1,2
2,6,7,7,2,1,2
2,6,7,7,2,1,2
2,6,7,7,2,1,2
2,6,7,7,2,1,2
2,6,7,7,2,1,2
2,6,7,7,2,1,2
2,6,7,7,2,1,2
2,6,7,7,2,1,2
2,6,7,7,2,1,2
2,6,7,7,2,1,2
2,6,7,7,2,1,2
2,6,7,7,2,1,2
3,5,5,5,3,8,3
3,5,5,5,3,8,3
3,5,5,5,3,8,3
3,5,5,5,3,8,3
3,5,5,5,3,8,3
3,5,5,5,3,8,3
3,5,5,5,3,8,3
3,5,5,5,3,8,3
3,5,5,5,3,8,3
3,5,5,5,3,8,3
3,5,5,5,3,8,3
3,5,5,5,3,8,3
