"truth","icot","oct","kmeans_plus","hclust","gmm","dbscan"
1,5,7,7,1,9,1
1,5,7,7,1,9,1
1,5,7,7,1,9,1
1,5,7,7,1,9,1
1,5,7,7,1,9,1
1,5,7,7,1,9,1
1,5,7,7,1,9,1
1,5,7,7,1,9,1
1,5,7,7,1,9,1
1,5,7,7,1,9,1
1,5,7,7,1,9,1
1,5,7,7,1,9,1
1,5,7,7,1,9,1
1,5,7,7,1,9,1
1,5,7,7,1,9,1
1,5,7,7,1,9,1
1,5,7,7,1,9,1
1,5,7,7,1,9,1
1,5,7,7,1,9,1
1,5,7,7,1,9,1
1,5,7,7,1,9,1
1,5,7,7,1,9,1
1,5,7,7,1,9,1
1,5,7,7,1,9,1
1,5,7,7,1,9,1
1,5,7,7,1,9,1
1,5,7,7,1,9,1
1,5,7,7,1,9,1
1,5,7,7,1,9,1
1,5,7,7,1,9,1
1,5,7,7,1,9,1
1,5,7,7,1,9,1
2,6,1,1,2,1,2
2,6,1,1,2,1,2
2,6,1,1,2,1,2
2,6,1,1,2,1,2
2,6,1,1,2,1,2
2,6,1,1,2,1,2
2,6,1,1,2,1,2
2,6,1,1,2,1,2
2,6,1,1,2,1,2
2,6,1,1,2,1,2
2,6,1,1,2,1,2
2,6,1,1,2,1,2
2,6,1,1,2,1,2
2,6,1,1,2,1,2
2,6,1,1,2,1,2
2,6,1,1,2,1,2
2,6,1,1,2,1,2
2,6,1,1,2,1,2
2,6,1,1,2,1,2
2,6,1,1,2,1,2
2,6,1,1,2,1,2
2,6,1,1,2,1,2
2,6,1,1,2,1,2
2,6,1,1,2,1,2
2,6,1,1,2,1,2
2,6,1,1,2,1,2
2,6,1,1,2,1,2
2,6,1,1,2,1,2
2,6,1,1,2,1,2
2,6,1,1,2,1,2
3,5,3,3,3,3,3
3,5,3,3,3,3,3
3,5,3,3,3,6,3
3,5,3,3,3,6,3
3,5,3,3,3,6,3
3,5,3,3,3,3,3
3,5,3,3,3,3,3
3,5,3,3,3,6,3
3,5,3,3,3,6,3
3,5,3,3,3,3,3
3,5,3,3,3,6,3
3,5,3,3,3,3,3
3,5,3,3,3,3,3
3,5,3,3,3,3,3
3,5,3,3,3,3,3
3,5,3,3,3,3,3
3,5,3,3,3,6,3
3,5,3,3,3,3,3
3,5,3,3,3,3,3
3,5,3,3,3,3,3
3,5,3,3,3,3,3
3,5,3,3,3,6,3
3,5,3,3,3,6,3
3,5,3,3,3,3,3
3,5,3,3,3,3,3
3,5,3,3,3,6,3
3,5,3,3,3,3,3
3,5,3,3,3,6,3
3,5,3,3,3,6,3
3,5,3,3,3,3,3
4,7,4,4,4,5,4
4,7,4,4,4,5,4
4,7,4,4,4,5,4
4,7,4,4,4,5,4
4,7,4,4,4,5,4
4,7,4,4,4,5,4
4,7,7,4,4,5,4
4,7,7,4,4,5,4
4,7,7,4,4,5,4
4,7,4,4,4,5,4
4,7,4,4,4,5,4
4,7,7,4,4,5,4
4,7,4,4,4,5,4
4,7,4,4,4,5,4
4,7,7,4,4,5,4
4,7,7,4,4,5,4
4,7,4,4,4,5,4
4,7,7,4,4,5,4
4,7,7,4,4,5,4
4,7,7,4,4,5,4
4,7,4,4,4,5,4
4,7,7,4,4,5,4
4,7,4,4,4,5,4
4,7,7,4,4,5,4
4,7,7,4,4,5,4
4,7,4,4,4,5,4
4,7,4,4,4,5,4
4,7,4,4,4,5,4
4,7,4,4,4,5,4
4,7,4,4,4,5,4
5,5,2,2,5,0,5
5,5,2,2,5,0,5
5,5,2,2,5,0,5
5,5,2,2,5,8,5
5,5,2,2,5,0,5
5,5,2,2,5,0,5
5,5,2,2,5,0,5
5,5,2,2,5,2,5
5,5,2,2,5,2,5
5,5,2,2,5,0,5
5,5,2,2,5,8,5
5,5,2,2,5,0,5
5,5,2,2,5,0,5
5,5,2,2,5,0,5
5,5,2,2,5,0,5
5,5,2,2,5,0,5
5,5,2,2,5,0,5
5,5,2,2,5,0,5
5,5,2,2,5,2,5
5,5,2,2,5,0,5
5,5,2,2,5,0,5
5,5,2,2,5,0,5
5,5,2,2,5,0,5
5,5,2,2,5,0,5
5,5,2,2,5,8,5
5,5,2,2,5,0,5
5,5,2,2,5,0,5
5,5,2,2,5,0,5
5,5,2,2,5,0,5
5,5,2,2,5,2,5
6,5,7,6,6,7,6
6,5,4,6,6,7,6
6,5,4,6,6,7,6
6,5,7,6,6,7,6
6,5,7,6,6,7,6
6,5,4,6,6,7,6
6,5,7,6,6,7,6
6,5,4,6,6,7,6
6,5,7,6,6,7,6
6,5,4,6,6,7,6
6,5,7,6,6,7,6
6,5,7,6,6,7,6
6,5,7,6,6,7,6
6,5,4,6,6,7,6
6,5,7,6,6,7,6
6,5,4,6,6,7,6
6,5,4,6,6,7,6
6,5,7,6,6,7,6
6,5,7,6,6,7,6
6,5,7,6,6,7,6
6,5,7,6,6,7,6
6,5,4,6,6,7,6
6,5,4,6,6,7,6
6,5,7,6,6,7,6
6,5,4,6,6,7,6
6,5,7,6,6,7,6
6,5,4,6,6,7,6
6,5,7,6,6,7,6
6,5,7,6,6,7,6
6,5,7,6,6,7,6
7,2,7,5,7,4,7
7,2,7,5,7,4,7
7,2,7,5,7,4,7
7,2,4,5,7,4,7
7,2,7,5,7,4,7
7,2,4,5,7,4,7
7,2,4,5,7,4,7
7,2,7,5,7,4,7
7,2,4,5,7,4,7
7,2,7,5,7,4,7
7,2,7,5,7,4,7
7,2,7,5,7,4,7
7,2,7,5,7,4,7
7,2,7,5,7,4,7
7,2,4,5,7,4,7
7,2,7,5,7,4,7
7,2,7,5,7,4,7
7,2,4,5,7,4,7
7,2,7,5,7,4,7
7,2,4,5,7,4,7
7,2,7,5,7,4,7
7,2,4,5,7,4,7
7,2,4,5,7,4,7
7,2,7,5,7,4,7
7,2,7,5,7,4,7
7,2,4,5,7,4,7
7,2,4,5,7,4,7
7,2,7,5,7,4,7
7,2,7,5,7,4,7
7,2,7,5,7,4,7
