truth,icot,oct,kmeans_plus,hclust,gmm,dbscan
1,2,1,1,1,0,1
1,2,5,5,2,0,1
1,2,5,5,2,0,1
1,2,3,3,3,0,1
1,2,5,5,2,0,1
1,2,1,1,1,0,1
1,2,3,3,3,0,1
1,2,1,1,1,0,1
1,2,1,1,1,0,1
1,2,3,3,4,0,1
1,2,3,3,4,0,1
1,2,1,1,1,0,1
1,2,1,1,1,0,1
1,2,5,5,2,0,1
1,2,3,3,4,0,1
1,2,1,1,1,0,1
1,2,3,3,4,0,1
1,2,3,3,3,0,1
1,2,3,3,4,0,1
1,2,3,3,3,0,1
1,2,5,5,2,0,1
1,2,1,1,1,0,1
1,2,3,3,4,0,1
1,2,3,3,4,0,1
1,2,5,5,4,0,1
1,2,5,5,4,0,1
1,2,1,1,1,0,1
1,2,1,1,1,0,1
1,2,1,1,1,0,1
1,2,1,1,1,0,1
1,2,1,1,1,0,1
1,2,1,1,1,0,1
1,2,5,5,4,0,1
1,2,1,1,1,0,1
1,2,3,3,3,0,1
1,2,1,1,1,0,1
1,2,5,5,2,0,1
1,2,5,5,2,0,1
1,2,1,1,1,0,1
1,2,3,3,4,0,1
1,2,1,1,1,0,1
1,2,5,5,4,0,1
1,2,5,5,2,0,1
1,2,1,1,1,0,1
1,2,3,3,4,0,1
1,2,5,5,4,0,1
1,2,3,3,4,0,1
1,2,1,1,3,0,1
1,2,3,3,3,0,1
1,2,3,3,3,0,1
1,2,5,5,2,0,1
1,2,3,3,3,0,1
1,2,1,1,1,0,1
1,2,3,3,3,0,1
1,2,3,3,3,0,1
1,2,1,1,1,0,1
1,2,3,3,4,0,1
1,2,3,3,3,0,1
1,2,3,3,4,0,1
1,2,5,5,2,0,1
1,2,3,3,3,0,1
1,2,3,3,4,0,1
1,2,1,1,1,0,1
1,2,3,3,4,0,1
1,2,1,1,1,0,1
1,2,5,5,2,0,1
1,2,5,5,4,0,1
1,2,5,5,4,0,1
1,2,5,5,2,0,1
1,2,5,5,2,0,1
1,2,5,5,4,0,1
1,2,5,5,2,0,1
1,2,3,3,3,0,1
1,2,1,1,1,0,1
1,2,3,3,4,0,1
1,2,1,1,1,0,1
1,2,1,1,1,0,1
1,2,5,5,2,0,1
