truth,icot,oct,kmeans_plus,hclust,gmm,dbscan
1,4,4,4,1,1,1
1,3,5,5,2,2,1
1,3,5,5,2,2,1
1,3,5,5,3,0,1
1,3,5,5,2,2,1
1,4,4,4,1,1,1
1,4,4,4,3,4,1
1,4,4,4,1,1,1
1,4,4,4,1,1,1
1,3,5,5,4,0,1
1,3,5,5,4,0,1
1,4,4,4,1,1,1
1,4,4,4,1,1,1
1,3,5,5,2,2,1
1,3,5,5,4,0,1
1,4,4,4,1,4,1
1,3,5,5,4,0,1
1,3,5,5,3,0,1
1,3,5,5,4,0,1
1,3,5,5,3,0,1
1,3,5,5,2,2,1
1,4,4,4,1,4,1
1,3,5,5,4,0,1
1,3,5,5,4,0,1
1,3,5,5,4,2,1
1,3,5,5,4,2,1
1,4,4,4,1,1,1
1,4,4,4,1,1,1
1,4,4,4,1,1,1
1,4,4,4,1,4,1
1,4,4,4,1,1,1
1,4,4,4,1,1,1
1,3,5,5,4,2,1
1,4,4,4,1,1,1
1,4,4,4,3,4,1
1,4,4,4,1,4,1
1,3,5,5,2,2,1
1,3,5,5,2,2,1
1,4,4,4,1,1,1
1,3,5,5,4,0,1
1,4,4,4,1,1,1
1,3,5,5,4,2,1
1,3,5,5,2,2,1
1,4,4,4,1,1,1
1,3,5,5,4,0,1
1,3,5,5,4,2,1
1,3,5,5,4,0,1
1,4,4,4,3,4,1
1,4,4,4,3,4,1
1,4,4,4,3,4,1
1,3,5,5,2,2,1
1,4,4,4,3,4,1
1,4,4,4,1,4,1
1,3,5,5,3,0,1
1,3,5,5,3,0,1
1,4,4,4,1,1,1
1,3,5,5,4,0,1
1,4,4,4,3,4,1
1,3,5,5,4,0,1
1,3,5,5,2,2,1
1,4,4,4,3,0,1
1,3,5,5,4,0,1
1,4,4,4,1,1,1
1,3,5,5,4,0,1
1,4,4,4,1,4,1
1,3,5,5,2,2,1
1,3,5,5,4,2,1
1,3,5,5,4,2,1
1,3,5,5,2,2,1
1,3,5,5,2,2,1
1,3,5,5,4,2,1
1,3,5,5,2,2,1
1,3,5,5,3,0,1
1,4,4,4,1,1,1
1,3,5,5,4,0,1
1,4,4,4,1,4,1
1,4,4,4,1,1,1
1,3,5,5,2,2,1
1,3,5,5,4,0,1
1,3,5,5,3,0,1
1,4,4,4,3,4,1
1,3,5,5,4,2,1
1,3,5,5,4,2,1
1,3,5,5,4,0,1
1,4,4,4,1,4,1
1,4,4,4,1,4,1
1,4,4,4,1,1,1
1,3,5,5,4,0,1
1,4,4,4,1,1,1
1,3,5,5,2,2,1
1,3,5,5,4,2,1
1,4,4,4,1,4,1
1,3,5,5,4,0,1
