truth,icot,oct,kmeans_plus,hclust,gmm,dbscan
1,4,4,4,1,0,1
1,3,3,3,2,0,1
1,3,3,3,2,0,1
1,3,3,3,3,0,1
1,3,3,3,2,0,1
1,4,4,4,1,0,1
1,4,4,4,3,0,1
1,4,4,4,1,0,1
1,4,4,4,1,0,1
1,3,3,3,4,0,1
1,3,3,3,4,0,1
1,4,4,4,1,0,1
1,4,4,4,1,0,1
1,3,3,3,2,0,1
1,3,3,3,4,0,1
1,4,4,4,1,0,1
1,3,3,3,4,0,1
1,3,3,3,3,0,1
1,3,3,3,4,0,1
1,3,3,3,3,0,1
1,3,3,3,2,0,1
1,4,4,4,1,0,1
1,3,3,3,4,0,1
1,3,3,3,4,0,1
1,3,3,3,4,0,1
1,3,3,3,4,0,1
1,4,4,4,1,0,1
1,4,4,4,1,0,1
1,4,4,4,1,0,1
1,4,4,4,1,0,1
1,4,4,4,1,0,1
1,4,4,4,1,0,1
1,3,3,3,4,0,1
1,4,4,4,1,0,1
1,4,4,4,3,0,1
1,4,4,4,1,0,1
1,3,3,3,2,0,1
1,3,3,3,2,0,1
1,4,4,4,1,0,1
1,3,3,3,4,0,1
1,4,4,4,1,0,1
1,3,3,3,4,0,1
1,3,3,3,2,0,1
1,4,4,4,1,0,1
1,3,3,3,4,0,1
1,3,3,3,4,0,1
1,3,3,3,4,0,1
1,4,4,4,3,0,1
1,4,4,4,3,0,1
1,4,4,4,3,0,1
1,3,3,3,2,0,1
1,4,4,4,3,0,1
1,4,4,4,1,0,1
1,3,3,3,3,0,1
1,3,3,3,3,0,1
1,4,4,4,1,0,1
1,3,3,3,4,0,1
1,4,4,4,3,0,1
1,3,3,3,4,0,1
1,3,3,3,2,0,1
1,4,4,4,3,0,1
1,3,3,3,4,0,1
1,4,4,4,1,0,1
1,3,3,3,4,0,1
1,4,4,4,1,0,1
1,3,3,3,2,0,1
1,3,3,3,4,0,1
1,3,3,3,4,0,1
1,3,3,3,2,0,1
1,3,3,3,2,0,1
1,3,3,3,4,0,1
1,3,3,3,2,0,1
1,3,3,3,3,0,1
1,4,4,4,1,0,1
1,3,3,3,4,0,1
1,4,4,4,1,0,1
1,4,4,4,1,0,1
1,3,3,3,2,0,1
1,3,3,3,4,0,1
1,3,3,3,3,0,1
1,4,4,4,3,0,1
1,3,3,3,4,0,1
1,3,3,3,4,0,1
1,3,3,3,4,0,1
1,4,4,4,1,0,1
1,4,4,4,1,0,1
1,4,4,4,1,0,1
1,3,3,3,4,0,1
1,4,4,4,1,0,1
1,3,3,3,2,0,1
1,3,3,3,4,0,1
1,4,4,4,1,0,1
1,3,3,3,4,0,1
1,3,3,3,2,0,1
1,3,3,3,4,0,1
1,4,4,4,1,0,1
1,3,3,3,4,0,1
1,3,3,3,3,0,1
1,4,4,4,1,0,1
1,4,4,4,1,0,1
1,4,4,4,1,0,1
1,4,4,4,1,0,1
1,3,3,3,2,0,1
1,4,4,4,1,0,1
1,3,3,3,3,0,1
1,4,4,4,1,0,1
1,3,3,3,4,0,1
1,3,3,3,4,0,1
1,4,4,4,1,0,1
1,4,4,4,1,0,1
1,3,3,3,2,0,1
1,3,3,3,3,0,1
1,3,3,3,4,0,1
1,4,4,4,1,0,1
1,3,3,3,2,0,1
1,3,3,3,4,0,1
1,3,3,3,3,0,1
1,4,4,4,3,0,1
1,3,3,3,2,0,1
1,3,3,3,4,0,1
1,4,4,4,1,0,1
1,3,3,3,2,0,1
1,3,3,3,4,0,1
1,3,3,3,3,0,1
1,4,4,4,1,0,1
1,3,3,3,4,0,1
1,3,3,3,3,0,1
1,3,3,3,2,0,1
1,3,3,3,2,0,1
1,3,3,3,4,0,1
1,3,3,3,4,0,1
1,4,4,4,1,0,1
1,3,3,3,3,0,1
1,3,3,3,3,0,1
1,3,3,3,4,0,1
1,3,3,3,2,0,1
1,3,3,3,4,0,1
1,4,4,4,1,0,1
1,4,4,4,1,0,1
1,4,4,4,1,0,1
1,4,4,4,1,0,1
1,3,3,3,2,0,1
1,3,3,3,3,0,1
1,4,4,4,1,0,1
1,4,4,4,3,0,1
1,3,3,3,3,0,1
1,3,3,3,3,0,1
1,4,4,4,1,0,1
1,4,4,4,1,0,1
1,3,3,3,4,0,1
1,4,4,4,3,0,1
1,4,4,4,1,0,1
1,3,3,3,2,0,1
1,3,3,3,4,0,1
1,3,3,3,4,0,1
1,3,3,3,2,0,1
1,3,3,3,2,0,1
1,4,4,4,1,0,1
1,3,3,3,4,0,1
1,3,3,3,4,0,1
1,3,3,3,4,0,1
1,3,3,3,2,0,1
1,3,3,3,4,0,1
1,4,4,4,1,0,1
1,4,4,4,3,0,1
1,3,3,3,4,0,1
1,4,4,4,1,0,1
1,4,4,4,1,0,1
1,4,4,4,1,0,1
1,3,3,3,4,0,1
1,3,3,3,4,0,1
1,4,4,4,1,0,1
1,3,3,3,4,0,1
1,3,3,3,4,0,1
1,4,4,4,1,0,1
1,3,3,3,2,0,1
1,3,3,3,3,0,1
1,4,4,4,1,0,1
1,4,4,4,1,0,1
1,3,3,3,3,0,1
1,4,4,4,1,0,1
1,4,4,4,1,0,1
1,3,3,3,4,0,1
1,4,4,4,1,0,1
1,3,3,3,4,0,1
1,4,4,4,1,0,1
1,3,3,3,4,0,1
1,3,3,3,4,0,1
1,3,3,3,4,0,1
1,3,3,3,2,0,1
1,4,4,4,1,0,1
1,4,4,4,1,0,1
1,3,3,3,4,0,1
1,3,3,3,2,0,1
1,3,3,3,4,0,1
1,4,4,4,1,0,1
1,3,3,3,4,0,1
1,3,3,3,2,0,1
1,4,4,4,3,0,1
1,3,3,3,4,0,1
2,8,2,2,5,1,2
2,7,5,5,6,1,2
2,7,5,5,6,1,2
2,8,2,2,5,1,2
2,7,5,5,6,1,2
2,7,5,5,5,1,2
2,7,5,5,6,1,2
2,8,2,2,7,1,2
2,8,2,2,5,1,2
2,8,2,2,7,1,2
2,8,2,2,5,1,2
2,7,5,5,6,1,2
2,8,2,2,5,1,2
2,8,2,2,7,1,2
2,8,2,2,7,1,2
2,8,2,2,5,1,2
2,8,2,2,5,1,2
2,7,5,5,6,1,2
2,8,2,2,7,1,2
2,7,5,5,5,1,2
2,7,5,5,6,1,2
2,8,2,2,5,1,2
2,8,2,2,7,1,2
2,7,5,5,5,1,2
2,7,5,5,5,1,2
2,8,2,2,7,1,2
2,8,2,2,7,1,2
2,8,2,2,5,1,2
2,7,5,5,6,1,2
2,8,2,2,7,1,2
2,7,5,5,6,1,2
2,7,5,5,6,1,2
2,8,2,2,5,1,2
2,8,2,2,5,1,2
2,8,2,2,7,1,2
2,8,2,2,5,1,2
2,8,2,2,7,1,2
2,8,2,2,7,1,2
2,7,5,5,6,1,2
2,8,2,2,7,1,2
2,7,5,5,6,1,2
2,7,5,5,6,1,2
2,8,2,2,5,1,2
2,8,2,2,7,1,2
2,8,2,2,5,1,2
2,8,2,2,7,1,2
2,7,5,5,5,1,2
2,8,2,2,5,1,2
2,8,2,2,7,1,2
2,8,2,2,5,1,2
2,7,5,5,6,1,2
2,8,2,2,7,1,2
2,8,2,2,5,1,2
2,7,5,5,6,1,2
2,8,2,2,7,1,2
2,8,2,2,5,1,2
2,7,5,5,6,1,2
2,8,2,2,7,1,2
2,7,5,5,6,1,2
2,8,2,2,5,1,2
2,7,5,5,6,1,2
2,7,5,5,6,1,2
2,8,2,2,5,1,2
2,8,2,2,7,1,2
2,7,5,5,6,1,2
2,7,5,5,6,1,2
2,7,5,5,6,1,2
2,7,5,5,6,1,2
2,7,5,5,6,1,2
2,7,5,5,6,1,2
2,7,5,5,5,1,2
2,8,2,2,7,1,2
2,7,5,5,6,1,2
2,8,2,2,7,1,2
2,8,2,2,5,1,2
2,8,2,2,7,1,2
2,8,2,2,5,1,2
2,7,5,5,6,1,2
2,8,2,2,7,1,2
2,7,5,5,6,1,2
2,8,2,2,5,1,2
2,7,5,5,6,1,2
2,7,5,5,6,1,2
2,8,2,2,5,1,2
2,8,2,2,7,1,2
2,8,2,2,5,1,2
2,7,5,5,6,1,2
2,8,2,2,7,1,2
2,8,2,2,7,1,2
2,8,2,2,7,1,2
2,8,2,2,5,1,2
2,8,2,2,5,1,2
2,8,2,2,5,1,2
2,7,5,5,6,1,2
2,8,2,2,5,1,2
2,8,2,2,5,1,2
2,8,2,2,5,1,2
2,7,5,5,6,1,2
2,7,5,5,6,1,2
2,8,2,2,5,1,2
3,11,1,1,8,2,3
3,10,1,1,9,2,3
3,10,1,1,9,2,3
3,10,1,1,9,2,3
3,10,1,1,10,2,3
3,11,1,1,8,2,3
3,10,1,1,9,2,3
3,10,1,1,9,2,3
3,10,1,1,9,2,3
3,10,1,1,9,2,3
3,10,1,1,9,2,3
3,10,1,1,9,2,3
3,10,1,1,9,2,3
3,10,1,1,9,2,3
3,10,1,1,9,2,3
3,10,1,1,9,2,3
3,10,1,1,9,2,3
3,10,1,1,9,2,3
3,11,1,1,9,2,3
3,10,1,1,9,2,3
3,10,1,1,9,2,3
3,11,1,1,8,2,3
3,10,1,1,9,2,3
3,11,1,1,8,2,3
3,10,1,1,9,2,3
3,10,1,1,9,2,3
3,10,1,1,9,2,3
3,10,1,1,9,2,3
3,11,1,1,8,2,3
3,10,1,1,9,2,3
3,10,1,1,9,2,3
3,10,1,1,9,2,3
3,11,1,1,8,2,3
3,10,1,1,9,2,3
3,10,1,1,9,2,3
3,10,1,1,9,2,3
3,10,1,1,10,2,3
3,10,1,1,9,2,3
3,10,1,1,9,2,3
3,10,1,1,9,2,3
3,10,1,1,9,2,3
3,10,1,1,9,2,3
3,10,1,1,9,2,3
3,10,1,1,9,2,3
3,10,1,1,9,2,3
3,10,1,1,9,2,3
3,10,1,1,9,2,3
3,10,1,1,9,2,3
3,10,1,1,9,2,3
3,10,1,1,9,2,3
3,10,1,1,9,2,3
3,10,1,1,9,2,3
3,10,1,1,9,2,3
3,11,1,1,8,2,3
3,10,1,1,9,2,3
3,10,1,1,9,2,3
3,10,1,1,9,2,3
3,10,1,1,9,2,3
3,10,1,1,9,2,3
3,10,1,1,9,2,3
3,10,1,1,9,2,3
3,10,1,1,9,2,3
3,10,1,1,9,2,3
3,10,1,1,9,2,3
3,10,1,1,9,2,3
