truth,icot,oct,kmeans_plus,hclust,gmm,dbscan
1,6,4,4,1,1,1
1,3,3,3,2,2,1
1,3,3,3,2,2,1
1,3,4,4,2,0,1
1,3,3,3,2,2,1
1,6,4,4,1,1,1
1,6,4,4,2,0,1
1,6,4,4,1,1,1
1,6,4,4,1,1,1
1,3,3,3,2,0,1
1,3,3,3,2,0,1
1,6,4,4,1,1,1
1,6,4,4,1,1,1
1,3,3,3,2,2,1
1,3,3,3,2,0,1
1,6,4,4,1,1,1
1,3,3,3,2,0,1
1,3,3,3,2,0,1
1,3,3,3,2,0,1
1,3,3,3,2,0,1
1,3,3,3,2,2,1
1,6,4,4,1,1,1
1,3,3,3,2,0,1
1,3,3,3,2,0,1
1,3,3,3,2,2,1
1,3,3,3,2,0,1
1,6,4,4,1,1,1
1,6,4,4,1,1,1
1,6,4,4,1,1,1
1,6,4,4,1,1,1
1,6,4,4,1,1,1
1,6,4,4,1,1,1
1,3,3,3,2,0,1
1,6,4,4,1,1,1
1,6,4,4,2,0,1
1,6,4,4,1,1,1
1,3,3,3,2,2,1
1,3,3,3,2,2,1
1,6,4,4,1,1,1
1,3,3,3,2,0,1
1,6,4,4,1,1,1
1,3,3,3,2,0,1
1,3,3,3,2,2,1
1,6,4,4,1,1,1
1,3,3,3,2,0,1
1,3,3,3,2,0,1
1,3,3,3,2,0,1
1,6,4,4,2,1,1
1,6,4,4,2,0,1
1,6,4,4,2,0,1
1,3,3,3,2,2,1
1,6,4,4,2,0,1
1,6,4,4,1,1,1
1,3,3,3,2,0,1
1,3,3,3,2,0,1
1,6,4,4,1,1,1
1,3,3,3,2,0,1
1,6,4,4,2,0,1
1,3,3,3,2,0,1
1,3,3,3,2,2,1
1,3,4,4,2,0,1
1,3,3,3,2,0,1
1,6,4,4,1,1,1
1,3,3,3,2,0,1
1,6,4,4,1,1,1
1,3,3,3,2,2,1
1,3,3,3,2,0,1
1,3,3,3,2,2,1
1,3,3,3,2,2,1
1,3,3,3,2,2,1
1,3,3,3,2,2,1
1,3,3,3,2,2,1
1,3,3,3,2,0,1
1,6,4,4,1,1,1
1,3,3,3,2,0,1
1,6,4,4,1,1,1
1,6,4,4,1,1,1
1,3,3,3,2,2,1
1,3,3,3,2,0,1
1,3,3,3,2,0,1
1,6,4,4,2,0,1
1,3,3,3,2,2,1
1,3,3,3,2,2,1
1,3,3,3,2,0,1
1,6,4,4,1,1,1
1,6,4,4,1,1,1
1,6,4,4,1,1,1
1,3,3,3,2,0,1
1,6,4,4,1,1,1
1,3,3,3,2,2,1
1,3,3,3,2,0,1
1,6,4,4,1,1,1
1,3,3,3,2,0,1
1,3,3,3,2,2,1
1,3,3,3,2,2,1
1,6,4,4,1,1,1
1,3,3,3,2,2,1
1,3,3,3,2,0,1
1,6,4,4,1,1,1
1,6,4,4,1,1,1
1,6,4,4,1,1,1
1,6,4,4,1,1,1
1,3,3,3,2,2,1
1,6,4,4,1,1,1
1,3,3,3,2,0,1
1,6,4,4,1,1,1
1,3,3,3,2,0,1
1,3,3,3,2,2,1
1,6,4,4,1,1,1
1,6,4,4,1,1,1
1,3,3,3,2,2,1
1,3,3,3,2,0,1
1,3,3,3,2,0,1
