truth,icot,oct,kmeans_plus,hclust,gmm,dbscan
1,6,3,3,1,1,1
1,3,2,2,2,0,1
1,3,2,2,2,0,1
1,3,3,3,2,4,1
1,3,2,2,2,0,1
1,6,3,3,1,1,1
1,6,3,3,2,4,1
1,6,3,3,1,1,1
1,6,3,3,1,1,1
1,3,2,2,2,4,1
1,3,2,2,2,4,1
1,6,3,3,1,1,1
1,6,3,3,1,1,1
1,3,2,2,2,0,1
1,3,2,2,2,4,1
1,6,3,3,1,1,1
1,3,2,2,2,4,1
1,3,2,2,2,4,1
1,3,2,2,2,4,1
1,3,2,2,2,4,1
1,3,2,2,2,0,1
1,6,3,3,1,1,1
1,3,2,2,2,4,1
1,3,2,2,2,4,1
1,3,2,2,2,0,1
1,3,2,2,2,4,1
1,6,3,3,1,1,1
1,6,3,3,1,1,1
1,6,3,3,1,1,1
1,6,3,3,1,1,1
1,6,3,3,1,1,1
1,6,3,3,1,1,1
1,3,2,2,2,4,1
1,6,3,3,1,1,1
1,3,3,3,2,4,1
1,6,3,3,1,1,1
1,3,2,2,2,0,1
1,3,2,2,2,0,1
1,6,3,3,1,1,1
1,3,2,2,2,4,1
1,6,3,3,1,1,1
1,3,2,2,2,4,1
1,3,2,2,2,0,1
1,6,3,3,1,1,1
1,3,2,2,2,4,1
1,3,2,2,2,4,1
1,3,2,2,2,4,1
1,6,3,3,2,1,1
1,6,3,3,2,4,1
1,3,3,3,2,4,1
1,3,2,2,2,0,1
1,3,3,3,2,4,1
1,6,3,3,1,1,1
1,3,2,2,2,4,1
1,3,2,2,2,4,1
1,6,3,3,1,1,1
1,3,2,2,2,4,1
1,6,3,3,2,4,1
1,3,2,2,2,4,1
1,3,2,2,2,0,1
1,3,3,3,2,4,1
1,3,2,2,2,4,1
1,6,3,3,1,1,1
1,3,2,2,2,4,1
1,6,3,3,1,1,1
1,3,2,2,2,0,1
1,3,2,2,2,4,1
1,3,2,2,2,0,1
1,3,2,2,2,0,1
1,3,2,2,2,0,1
1,3,2,2,2,0,1
1,3,2,2,2,0,1
1,3,2,2,2,4,1
1,6,3,3,1,1,1
1,3,2,2,2,4,1
1,6,3,3,1,1,1
1,6,3,3,1,1,1
1,3,2,2,2,0,1
1,3,2,2,2,4,1
1,3,2,2,2,4,1
1,6,3,3,2,4,1
1,3,2,2,2,0,1
1,3,2,2,2,0,1
1,3,2,2,2,4,1
1,6,3,3,1,1,1
1,6,3,3,1,1,1
1,6,3,3,1,1,1
1,3,2,2,2,4,1
1,6,3,3,1,1,1
1,3,2,2,2,0,1
1,3,2,2,2,4,1
1,6,3,3,1,1,1
1,3,2,2,2,4,1
1,3,2,2,2,0,1
1,3,2,2,2,0,1
1,6,3,3,1,1,1
1,3,2,2,2,0,1
1,3,2,2,2,4,1
1,6,3,3,1,1,1
1,6,3,3,1,1,1
1,6,3,3,1,1,1
1,6,3,3,1,1,1
1,3,2,2,2,0,1
1,6,3,3,1,1,1
1,3,2,2,2,4,1
1,6,3,3,1,1,1
1,3,2,2,2,4,1
1,3,2,2,2,0,1
1,6,3,3,1,1,1
1,6,3,3,1,1,1
1,3,2,2,2,0,1
1,3,2,2,2,4,1
1,3,2,2,2,4,1
1,6,3,3,1,1,1
1,3,2,2,2,0,1
1,3,2,2,2,4,1
1,3,2,2,2,4,1
1,3,3,3,2,4,1
1,3,2,2,2,0,1
1,3,2,2,2,4,1
1,6,3,3,1,1,1
1,3,2,2,2,0,1
1,3,2,2,2,4,1
1,3,2,2,2,4,1
1,6,3,3,1,1,1
1,3,2,2,2,4,1
1,3,2,2,2,4,1
1,3,2,2,2,0,1
1,3,2,2,2,0,1
1,3,2,2,2,4,1
1,3,2,2,2,4,1
1,6,3,3,1,1,1
1,3,2,2,2,4,1
1,3,2,2,2,4,1
1,3,2,2,2,0,1
1,3,2,2,2,0,1
1,3,2,2,2,4,1
1,6,3,3,1,1,1
1,6,3,3,1,1,1
1,6,3,3,1,1,1
1,6,3,3,1,1,1
1,3,2,2,2,0,1
1,3,2,2,2,4,1
1,6,3,3,1,1,1
1,6,3,3,2,4,1
1,3,2,2,2,4,1
1,3,2,2,2,4,1
1,6,3,3,1,1,1
1,6,3,3,1,1,1
1,3,2,2,2,4,1
1,3,3,3,2,4,1
1,6,3,3,1,1,1
1,3,2,2,2,0,1
1,3,2,2,2,4,1
1,3,2,2,2,0,1
