truth,icot,oct,kmeans_plus,hclust,gmm,dbscan
5,3,6,6,1,2,7
4,7,5,5,2,2,8
6,4,3,3,3,3,9
3,9,4,4,4,3,10
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
1,8,7,7,5,1,1
5,3,6,6,1,2,11
4,7,5,5,2,2,12
6,4,3,3,3,3,13
3,9,4,4,4,3,14
2,8,6,6,5,2,2
2,8,2,2,5,0,5
2,8,3,3,5,2,3
2,8,3,3,5,3,3
2,8,6,6,5,2,2
2,8,7,5,5,2,4
2,8,6,6,5,2,2
2,8,3,1,5,3,3
2,8,7,6,5,2,2
2,8,1,1,5,3,3
2,8,6,6,5,2,2
2,8,3,3,5,3,3
2,8,7,5,5,2,4
2,8,1,1,5,3,3
2,8,5,5,5,2,4
2,8,6,6,5,2,3
2,8,5,5,5,2,4
2,8,7,6,5,2,2
2,8,1,1,5,3,3
2,8,5,5,5,0,4
2,8,5,5,5,2,4
