"truth","icot","oct","kmeans_plus","hclust","gmm","dbscan"
5,3,1,1,1,1,2
4,7,4,4,2,1,2
6,4,2,2,3,1,2
3,9,7,7,4,1,2
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
1,8,5,5,5,0,1
