truth,icot,oct,kmeans_plus,hclust,gmm,dbscan
5,3,4,4,1,0,2
4,6,1,1,2,0,2
6,4,7,5,3,0,2
3,9,2,2,4,0,2
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
1,8,6,6,5,1,1
