truth,icot,oct,kmeans_plus,hclust,gmm,dbscan
5,4,3,3,1,0,2
4,12,2,2,2,0,4
6,8,5,5,2,0,3
3,15,4,4,2,0,3
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
1,11,6,6,2,1,1
