truth,icot,oct,kmeans_plus,hclust,gmm,dbscan
5,4,6,6,1,4,18
4,12,5,5,2,0,19
6,8,3,3,2,4,20
3,15,4,4,2,0,21
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
1,11,7,7,2,1,1
5,4,6,6,1,4,22
4,12,5,5,2,0,23
6,8,3,3,2,4,24
3,15,4,4,2,0,25
2,5,6,6,2,2,26
2,12,2,2,2,0,27
2,7,3,3,2,4,28
2,7,3,3,2,4,29
2,5,6,6,2,4,30
2,11,7,5,2,2,2
2,5,6,6,2,2,31
2,7,3,1,2,3,4
2,11,7,6,2,2,32
2,14,1,1,2,3,3
2,5,6,6,2,2,33
2,7,3,3,2,4,34
2,11,7,5,2,2,35
2,14,1,1,2,3,3
2,12,5,5,2,0,9
2,5,6,6,2,4,36
2,12,5,5,2,2,37
2,5,7,6,2,2,38
2,14,1,1,2,3,3
2,12,5,5,2,0,39
2,12,5,5,2,2,40
2,12,2,2,2,0,41
2,14,1,1,2,3,42
2,12,5,5,2,2,43
2,7,3,3,2,4,44
2,12,5,5,2,2,45
2,12,5,5,2,2,46
2,14,4,4,2,3,47
2,12,2,2,2,0,48
2,7,3,3,2,4,49
2,5,6,6,2,4,50
2,12,5,5,2,0,51
2,12,5,5,2,2,16
2,7,3,1,2,3,4
2,7,3,3,2,4,52
2,12,5,5,2,2,53
2,5,6,6,2,2,54
2,11,7,5,2,2,2
2,12,2,2,2,0,55
2,5,6,6,2,2,56
2,11,7,5,2,2,57
2,14,1,1,2,3,58
2,11,7,6,2,2,59
2,12,2,2,2,0,60
2,5,6,6,2,4,5
2,7,3,3,2,4,61
2,7,3,1,2,3,62
2,12,2,2,2,0,8
2,14,4,4,2,0,63
2,14,1,1,2,3,3
2,14,4,4,2,3,64
2,7,3,3,2,4,65
2,12,2,2,2,0,66
2,14,1,1,2,3,3
2,12,2,2,2,0,67
2,12,5,5,2,2,6
2,14,4,4,2,0,68
2,14,4,4,2,0,69
2,14,4,4,2,3,70
2,5,6,6,2,2,71
2,7,3,3,2,4,72
2,5,6,6,2,4,5
2,7,3,3,2,4,73
2,5,6,6,2,4,74
2,12,2,2,2,0,12
2,7,3,3,2,4,75
2,12,5,5,2,2,9
2,11,7,5,2,2,76
2,14,4,4,2,3,77
2,7,1,1,2,3,7
