truth,icot,oct,kmeans_plus,hclust,gmm,dbscan
1,6,4,4,1,2,1
1,6,4,4,1,2,2
1,6,4,4,1,2,3
1,6,4,4,1,2,4
1,6,4,4,1,2,5
1,6,4,4,1,2,6
1,6,4,4,1,2,7
1,6,4,4,1,2,8
1,6,4,4,1,2,9
1,6,4,4,1,2,10
1,6,4,4,1,2,11
1,6,4,4,1,2,12
1,6,4,4,1,2,13
1,6,4,4,1,2,14
1,6,4,4,1,2,15
1,6,4,4,1,2,16
1,6,4,4,1,2,17
1,6,4,4,1,2,18
1,6,4,4,1,2,19
1,6,4,4,1,2,20
1,6,4,4,1,2,21
1,6,4,4,1,2,22
1,6,4,4,1,2,23
1,6,4,4,1,2,24
1,6,4,4,1,2,25
1,6,4,4,1,2,26
1,6,4,4,1,2,27
1,6,4,4,1,2,28
1,6,4,4,1,2,29
1,6,4,4,1,2,30
1,6,4,4,1,2,31
1,6,4,4,1,2,32
1,6,4,4,1,2,33
1,6,4,4,1,2,34
1,6,4,4,1,2,35
1,6,4,4,1,2,36
1,6,4,4,1,2,37
1,6,4,4,1,2,38
1,6,4,4,1,2,39
1,6,4,4,1,2,40
1,6,4,4,1,2,41
1,6,4,4,1,2,42
1,6,4,4,1,2,43
1,6,4,4,1,2,44
1,6,4,4,1,2,45
1,6,4,4,1,2,46
1,6,4,4,1,2,47
1,6,4,4,1,2,48
1,6,4,4,1,2,49
1,6,4,4,1,2,50
1,6,4,4,1,2,51
1,6,4,4,1,2,52
1,6,4,4,1,2,53
1,6,4,4,1,2,54
1,6,4,4,1,2,55
1,6,4,4,1,2,56
1,6,4,4,1,2,57
1,6,4,4,1,2,58
1,6,4,4,1,2,59
1,6,4,4,1,2,60
1,6,4,4,1,2,61
1,6,4,4,1,2,62
1,6,4,4,1,2,63
1,6,4,4,1,2,64
1,6,4,4,1,2,65
1,6,4,4,1,2,66
1,6,4,4,1,2,67
1,6,4,4,1,2,68
1,6,4,4,1,2,69
1,6,4,4,1,2,70
1,6,4,4,1,2,71
1,6,4,4,1,2,72
1,6,4,4,1,2,73
1,6,4,4,1,2,74
1,6,4,4,1,2,75
1,6,4,4,1,2,76
1,6,4,4,1,2,77
1,6,4,4,1,2,78
1,6,4,4,1,2,79
1,6,4,4,1,2,80
1,6,4,4,1,2,81
1,6,4,4,1,2,82
1,6,4,4,1,2,83
1,6,4,4,1,2,84
1,6,4,4,1,2,85
1,6,4,4,1,2,86
1,6,4,4,1,2,87
1,6,4,4,1,2,88
1,6,4,4,1,2,89
1,6,4,4,1,2,90
1,6,4,4,1,2,91
1,6,4,4,1,2,92
1,6,4,4,1,2,93
1,6,4,4,1,2,94
1,6,4,4,1,2,95
1,6,4,4,1,2,96
1,6,4,4,1,2,97
1,6,4,4,1,2,98
1,6,4,4,1,2,99
1,6,4,4,1,2,100
2,5,2,2,2,0,101
2,5,2,2,2,0,102
2,5,2,2,2,0,103
2,5,2,2,2,0,104
2,5,2,2,2,0,105
2,5,2,2,2,0,106
2,5,2,2,2,0,107
2,5,2,2,2,0,108
2,5,2,2,2,0,109
2,5,2,2,2,0,110
2,5,2,2,2,0,111
2,5,2,2,2,0,112
2,5,2,2,2,0,113
2,5,2,2,2,0,114
2,5,2,2,2,0,115
2,5,2,2,2,0,116
2,5,2,2,2,0,117
2,5,2,2,2,0,118
2,5,2,2,2,0,119
2,5,2,2,2,0,120
2,5,2,2,2,0,121
2,5,2,2,2,0,122
2,5,2,2,2,0,123
2,5,2,2,2,0,124
2,5,2,2,2,0,125
2,5,2,2,2,0,126
2,5,2,2,2,0,127
2,5,2,2,2,0,128
2,5,2,2,2,0,129
2,5,2,2,2,0,130
2,5,2,2,2,0,131
2,5,2,2,2,0,132
2,5,2,2,2,0,133
2,5,2,2,2,0,134
2,5,2,2,2,0,135
2,5,2,2,2,0,136
2,5,2,2,2,0,137
2,5,2,2,2,0,138
2,5,2,2,2,0,139
2,5,2,2,2,0,140
2,5,2,2,2,0,141
2,5,2,2,2,0,142
2,5,2,2,2,0,143
2,5,2,2,2,0,144
2,5,2,2,2,0,145
