truth,icot,oct,kmeans_plus,hclust,gmm,dbscan
1,5,6,5,1,1,1
1,5,6,5,1,1,1
1,5,6,5,1,1,1
1,5,6,5,1,1,1
1,5,6,5,1,1,15
1,5,6,1,1,1,2
1,5,6,1,2,1,2
1,4,6,1,2,1,2
1,4,6,1,2,1,3
1,4,6,1,2,1,3
1,4,6,1,2,1,3
1,5,6,5,1,1,1
1,5,6,5,1,1,1
1,5,6,5,1,1,1
1,5,6,5,1,1,1
1,5,6,5,1,1,16
1,5,6,6,1,1,2
1,5,6,1,1,1,2
1,5,6,1,2,1,2
1,4,6,1,2,1,3
1,4,6,1,2,1,3
1,4,6,1,2,1,17
1,6,6,5,3,1,18
1,5,6,5,1,1,1
1,5,6,5,1,1,19
1,5,6,5,1,1,20
1,5,6,6,1,1,2
1,5,6,6,1,1,2
1,5,6,1,1,1,2
1,5,6,1,2,1,4
1,5,6,1,2,1,3
1,4,6,1,2,1,3
1,4,6,1,2,1,4
1,6,3,5,3,1,1
1,6,6,5,3,1,1
1,5,6,5,1,1,21
1,5,6,5,1,1,2
1,5,6,6,1,1,2
1,5,6,6,1,1,2
1,5,6,6,1,1,2
1,5,6,1,1,1,4
1,5,6,1,2,1,4
1,5,6,1,2,1,4
1,4,7,1,2,1,4
1,6,3,5,3,1,1
1,6,3,5,3,1,1
1,6,6,5,3,1,1
1,5,6,6,1,1,2
1,5,6,6,1,1,2
1,5,6,6,1,1,2
1,5,6,6,1,1,2
1,5,6,6,1,1,2
1,5,6,1,2,1,4
1,5,7,1,2,1,22
1,5,7,1,2,1,23
1,6,3,5,3,1,1
1,6,3,5,3,1,1
1,6,3,6,3,1,1
1,6,6,6,4,1,2
1,5,6,6,1,1,2
1,5,6,6,1,1,2
1,5,6,6,5,1,2
1,5,6,6,5,1,24
1,5,7,7,5,1,2
1,5,7,7,5,1,2
1,5,7,7,2,1,2
1,6,3,3,3,1,2
1,6,3,3,3,1,25
1,6,3,3,3,1,2
1,6,3,3,3,1,2
1,6,6,6,4,1,2
1,5,6,6,4,1,2
1,5,6,6,4,1,2
1,5,7,7,5,1,2
1,5,7,7,5,1,2
1,5,7,7,5,1,2
1,5,7,7,5,1,26
1,6,3,3,3,1,2
1,6,3,3,3,1,2
1,6,3,3,3,1,2
1,6,3,3,3,1,2
1,6,3,3,4,1,2
1,6,6,3,4,1,2
1,5,7,7,4,1,2
1,5,7,7,5,1,2
1,5,7,7,5,1,2
1,5,7,7,5,1,2
1,5,7,7,5,1,2
1,6,3,3,3,1,27
1,6,3,3,3,1,2
1,6,3,3,3,1,2
1,6,3,3,3,1,2
1,6,3,3,3,1,2
1,6,7,3,4,1,2
1,6,7,7,4,1,2
1,5,7,7,4,1,2
1,5,7,7,4,1,2
1,5,7,7,5,1,2
1,5,7,7,5,1,2
1,6,3,3,3,1,2
1,6,3,3,3,1,2
1,6,3,3,3,1,2
1,6,3,3,3,1,2
1,6,7,3,4,1,2
1,6,7,3,4,1,2
1,6,7,7,4,1,2
1,6,7,7,4,1,2
1,5,7,7,4,1,28
1,5,7,7,5,1,5
1,5,7,7,5,1,29
1,6,3,3,3,1,2
1,6,3,3,3,1,2
1,6,3,3,3,1,30
1,6,7,3,3,1,31
1,6,7,3,3,1,32
