"truth","icot","oct","kmeans_plus","hclust","gmm","dbscan"
1,5,5,5,1,4,1
1,5,9,5,1,4,1
1,5,9,5,1,4,1
1,5,9,5,1,4,1
1,5,9,9,1,4,1
1,5,8,9,1,4,2
1,5,8,8,2,3,2
1,4,8,8,2,3,2
1,4,8,8,2,3,3
1,4,8,8,2,3,3
1,4,8,8,2,3,3
1,5,5,5,1,4,1
1,5,5,5,1,4,1
1,5,9,5,1,4,1
1,5,9,5,1,4,1
1,5,9,9,1,4,2
1,5,9,9,1,4,2
1,5,8,9,1,4,2
1,5,8,8,2,3,2
1,4,8,8,2,3,3
1,4,8,8,2,3,3
1,4,8,8,2,3,3
1,6,5,5,3,4,1
1,5,5,5,1,4,1
1,5,5,5,1,4,1
1,5,9,5,1,4,1
1,5,9,9,1,4,2
1,5,9,9,1,4,2
1,5,9,9,1,4,2
1,5,8,8,2,3,4
1,5,8,8,2,3,3
1,4,8,8,2,3,3
1,4,8,8,2,3,4
1,6,5,5,3,4,1
1,6,5,5,3,4,1
1,5,5,5,1,4,1
1,5,5,5,1,4,2
1,5,9,9,1,4,2
1,5,9,9,1,4,2
1,5,9,9,1,4,2
1,5,9,8,1,4,4
1,5,8,8,2,3,4
1,5,8,8,2,3,4
1,4,8,8,2,3,4
1,6,5,5,3,4,1
1,6,5,5,3,4,1
1,6,5,5,3,4,1
1,5,1,9,1,4,2
1,5,1,9,1,4,2
1,5,9,9,1,4,2
1,5,9,9,1,4,2
1,5,9,9,1,4,2
1,5,9,8,2,4,4
1,5,8,8,2,4,4
1,5,3,8,2,4,4
1,6,5,5,3,6,1
1,6,5,5,3,4,1
1,6,1,1,3,4,1
1,6,1,9,4,4,2
1,5,1,9,1,4,2
1,5,1,9,1,4,2
1,5,9,9,5,4,2
1,5,9,3,5,4,2
1,5,9,3,5,4,2
1,5,3,3,5,4,2
1,5,3,3,2,4,2
1,6,5,1,3,6,2
1,6,1,1,3,6,2
1,6,1,1,3,6,2
1,6,1,1,3,4,2
1,6,1,1,4,4,2
1,5,1,9,4,4,2
1,5,1,3,4,4,2
1,5,9,3,5,4,2
1,5,3,3,5,4,2
1,5,3,3,5,4,2
1,5,3,3,5,4,2
1,6,1,1,3,6,2
1,6,1,1,3,6,2
1,6,1,1,3,6,2
1,6,1,1,3,6,2
1,6,1,1,4,4,2
1,6,1,1,4,4,2
1,5,1,3,4,4,2
1,5,3,3,5,4,2
1,5,3,3,5,4,2
1,5,3,3,5,4,2
1,5,3,3,5,4,2
1,6,1,1,3,6,2
1,6,1,1,3,6,2
1,6,1,1,3,6,2
1,6,1,1,3,6,2
1,6,1,1,3,6,2
1,6,1,1,4,4,2
1,6,3,3,4,4,2
1,5,3,3,4,4,2
1,5,3,3,4,4,2
1,5,3,3,5,4,2
1,5,3,3,5,4,2
1,6,1,1,3,6,2
1,6,1,1,3,6,2
1,6,1,1,3,6,2
1,6,1,1,3,6,2
1,6,1,1,4,6,2
1,6,3,1,4,4,2
1,6,3,3,4,4,2
1,6,3,3,4,4,2
1,5,3,3,4,4,5
1,5,3,3,5,4,5
1,5,3,3,5,4,2
1,6,1,1,3,6,2
1,6,1,1,3,6,2
1,6,1,1,3,6,2
1,6,1,1,3,6,2
1,6,3,1,3,6,2
1,6,3,1,4,6,2
1,6,3,3,4,4,2
1,6,3,3,4,4,2
1,6,3,3,4,4,5
1,5,3,3,5,4,5
1,10,3,3,5,4,5
1,5,9,5,1,4,1
1,5,3,3,5,4,2
1,5,3,3,5,4,2
1,6,1,1,4,4,2
1,5,8,8,2,3,2
1,6,1,1,3,6,2
1,5,9,5,1,4,1
1,5,8,8,2,3,2
1,5,9,8,2,3,4
1,5,3,3,5,4,2
1,5,5,5,1,4,1
1,5,9,9,1,4,2
1,6,5,5,3,4,1
1,4,8,8,2,3,3
1,5,3,3,5,4,5
1,4,8,8,2,3,4
1,6,1,1,3,6,2
1,6,3,3,4,4,2
1,6,1,1,3,6,2
1,5,3,3,5,4,2
1,5,3,3,5,4,2
1,6,1,1,4,4,2
1,5,3,3,5,4,2
1,6,5,1,3,6,2
1,5,1,3,4,4,2
1,6,1,1,3,6,2
1,5,3,3,5,4,2
1,5,9,9,1,4,2
1,4,8,8,2,3,3
1,6,3,3,4,4,5
1,5,9,9,5,4,2
1,6,1,1,3,6,2
1,5,8,8,2,3,3
1,6,1,1,3,6,2
1,6,3,3,4,4,2
1,5,5,5,1,4,1
1,6,5,5,3,4,1
1,6,1,1,3,6,2
1,5,5,5,1,4,1
1,6,1,1,3,6,2
1,5,9,9,1,4,2
1,6,5,5,3,4,1
1,6,1,1,3,6,2
1,5,9,9,1,4,2
1,5,9,9,5,4,2
1,6,1,1,3,6,2
1,6,1,1,4,4,2
1,6,3,1,4,6,2
1,5,9,9,1,4,2
