truth,icot,oct,kmeans_plus,hclust,gmm,dbscan
1,2,1,1,1,1,1
1,2,1,1,1,1,1
1,2,1,1,1,1,1
1,2,1,1,1,1,1
1,2,1,1,1,1,15
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,3
1,2,1,1,1,1,3
1,2,1,1,1,1,3
1,2,1,1,1,1,1
1,2,1,1,1,1,1
1,2,1,1,1,1,1
1,2,1,1,1,1,1
1,2,1,1,1,1,16
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,3
1,2,1,1,1,1,3
1,2,1,1,1,1,17
1,2,1,1,1,1,18
1,2,1,1,1,1,1
1,2,1,1,1,1,19
1,2,1,1,1,1,20
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,4
1,2,1,1,1,1,3
1,2,1,1,1,1,3
1,2,1,1,1,1,4
1,2,1,1,1,1,1
1,2,1,1,1,1,1
1,2,1,1,1,1,21
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,4
1,2,1,1,1,1,4
1,2,1,1,1,1,4
1,2,1,1,1,1,4
1,2,1,1,1,1,1
1,2,1,1,1,1,1
1,2,1,1,1,1,1
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,4
1,2,1,1,1,1,22
1,2,1,1,1,1,23
1,2,1,1,1,1,1
1,2,1,1,1,1,1
1,2,1,1,1,1,1
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,24
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,25
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,26
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,27
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,28
1,2,1,1,1,1,5
1,2,1,1,1,1,29
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,30
1,2,1,1,1,1,31
1,2,1,1,1,1,32
1,2,1,1,1,1,33
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,5
1,2,1,1,1,1,5
1,2,1,1,1,1,34
1,2,1,1,1,1,1
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,1
1,2,1,1,1,1,2
1,2,1,1,1,1,4
1,2,1,1,1,1,2
1,2,1,1,1,1,1
1,2,1,1,1,1,2
1,2,1,1,1,1,1
1,2,1,1,1,1,3
1,2,1,1,1,1,5
1,2,1,1,1,1,4
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,35
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,3
1,2,1,1,1,1,5
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,3
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,1
1,2,1,1,1,1,1
1,2,1,1,1,1,2
1,2,1,1,1,1,36
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,1
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,37
1,2,1,1,1,1,2
1,2,1,1,1,1,38
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,4
1,2,1,1,1,1,2
1,2,1,1,1,1,39
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,40
1,2,1,1,1,1,4
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,1
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,3
1,2,1,1,1,1,1
1,2,1,1,1,1,1
1,2,1,1,1,1,1
1,2,1,1,1,1,3
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,4
1,2,1,1,1,1,1
1,2,1,1,1,1,1
1,2,1,1,1,1,1
1,2,1,1,1,1,2
1,2,1,1,1,1,4
1,2,1,1,1,1,2
1,2,1,1,1,1,1
1,2,1,1,1,1,5
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,41
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,1
1,2,1,1,1,1,42
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,4
1,2,1,1,1,1,1
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,4
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,5
1,2,1,1,1,1,2
1,2,1,1,1,1,1
1,2,1,1,1,1,2
1,2,1,1,1,1,43
1,2,1,1,1,1,1
1,2,1,1,1,1,2
1,2,1,1,1,1,3
1,2,1,1,1,1,3
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,44
1,2,1,1,1,1,45
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,4
1,2,1,1,1,1,3
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,1
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,1
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,4
1,2,1,1,1,1,1
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,3
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,46
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,1
1,2,1,1,1,1,2
1,2,1,1,1,1,1
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,47
1,2,1,1,1,1,1
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,3
1,2,1,1,1,1,1
1,2,1,1,1,1,2
1,2,1,1,1,1,4
1,2,1,1,1,1,3
1,2,1,1,1,1,3
1,2,1,1,1,1,2
1,2,1,1,1,1,1
1,2,1,1,1,1,2
1,2,1,1,1,1,3
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,3
1,2,1,1,1,1,2
1,2,1,1,1,1,3
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,3
1,2,1,1,1,1,1
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,1
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,4
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,1
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,1
1,2,1,1,1,1,5
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,1
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,4
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,1
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,48
1,2,1,1,1,1,1
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,3
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,4
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,2
1,2,1,1,1,1,1
1,2,1,1,1,1,4
1,2,1,1,1,1,4
2,3,2,2,1,0,49
2,3,2,2,2,0,6
2,3,2,2,2,0,6
2,3,2,2,2,0,50
2,3,2,2,2,0,7
2,3,2,2,2,0,51
2,3,2,2,2,0,7
2,3,2,2,2,0,7
2,3,2,2,2,0,7
2,3,2,2,2,0,8
2,3,2,2,2,0,8
2,3,2,2,2,0,52
2,3,2,2,2,0,6
2,3,2,2,2,0,6
2,3,2,2,2,0,7
2,3,2,2,2,0,7
2,3,2,2,2,0,7
2,3,2,2,2,0,7
2,3,2,2,2,0,7
2,3,2,2,2,0,53
2,3,2,2,2,0,8
2,3,2,2,2,0,8
2,3,2,2,2,0,13
2,3,2,2,2,0,7
2,3,2,2,2,0,7
2,3,2,2,2,0,7
2,3,2,2,2,0,7
2,3,2,2,2,0,7
2,3,2,2,2,0,7
2,3,2,2,2,0,10
2,3,2,2,2,0,54
2,3,2,2,2,0,8
2,3,2,2,2,0,8
2,3,2,2,2,0,13
2,3,2,2,2,0,55
2,3,2,2,2,0,7
2,3,2,2,2,0,7
2,3,2,2,2,0,7
2,3,2,2,2,0,7
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,56
2,3,2,2,2,0,8
2,3,2,2,2,0,8
2,3,2,2,2,0,14
2,3,2,2,2,0,9
2,3,2,2,2,0,9
2,3,2,2,2,0,7
2,3,2,2,2,0,57
2,3,2,2,2,0,58
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,9
2,3,2,2,2,0,9
2,3,2,2,2,0,9
2,3,2,2,2,0,9
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,59
2,3,2,2,2,0,9
2,3,2,2,2,0,9
2,3,2,2,2,0,9
2,3,2,2,2,0,9
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,60
2,3,2,2,2,0,61
2,3,2,2,2,0,62
2,3,2,2,2,0,9
2,3,2,2,2,0,9
2,3,2,2,2,0,9
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,63
2,3,2,2,2,0,9
2,3,2,2,2,0,9
2,3,2,2,2,0,9
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,64
2,3,2,2,2,0,11
2,3,2,2,2,0,11
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,65
2,3,2,2,2,0,10
2,3,2,2,2,0,66
2,3,2,2,2,0,67
2,3,2,2,2,0,11
2,3,2,2,2,0,11
2,3,2,2,2,0,12
2,3,2,2,2,0,12
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,68
2,3,2,2,2,0,10
2,3,2,2,2,0,6
2,3,2,2,2,0,10
2,3,2,2,2,0,7
2,3,2,2,2,0,10
2,3,2,2,2,0,9
2,3,2,2,2,0,7
2,3,2,2,2,0,7
2,3,2,2,2,0,10
2,3,2,2,2,0,12
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,7
2,3,2,2,2,0,7
2,3,2,2,2,0,69
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,6
2,3,2,2,2,0,11
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,6
2,3,2,2,2,0,9
2,3,2,2,2,0,10
2,3,2,2,2,0,7
2,3,2,2,2,0,10
2,3,2,2,2,0,7
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,7
2,3,2,2,2,0,10
2,3,2,2,2,0,11
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,8
2,3,2,2,2,0,7
2,3,2,2,2,0,8
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,9
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,13
2,3,2,2,2,0,7
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,70
2,3,2,2,2,0,12
2,3,2,2,2,0,11
2,3,2,2,2,0,9
2,3,2,2,2,0,7
2,3,2,2,2,0,7
2,3,2,2,2,0,7
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,8
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,7
2,3,2,2,2,0,9
2,3,2,2,2,0,7
2,3,2,2,2,0,10
2,3,2,2,2,0,9
2,3,2,2,2,0,10
2,3,2,2,2,0,7
2,3,2,2,2,0,10
2,3,2,2,2,0,9
2,3,2,2,2,0,10
2,3,2,2,2,0,9
2,3,2,2,2,0,10
2,3,2,2,2,0,6
2,3,2,2,2,0,7
2,3,2,2,2,0,7
2,3,2,2,2,0,7
2,3,2,2,2,0,9
2,3,2,2,2,0,8
2,3,2,2,2,0,10
2,3,2,2,2,0,7
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,7
2,3,2,2,2,0,10
2,3,2,2,2,0,9
2,3,2,2,2,0,7
2,3,2,2,2,0,10
2,3,2,2,2,0,7
2,3,2,2,2,0,10
2,3,2,2,2,0,7
2,3,2,2,2,0,7
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,9
2,3,2,2,2,0,10
2,3,2,2,2,0,71
2,3,2,2,2,0,11
2,3,2,2,2,0,10
2,3,2,2,2,0,7
2,3,2,2,2,0,9
2,3,2,2,2,0,7
2,3,2,2,2,0,6
2,3,2,2,2,0,72
2,3,2,2,2,0,9
2,3,2,2,2,0,9
2,3,2,2,2,0,73
2,3,2,2,2,0,7
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,7
2,3,2,2,2,0,10
2,3,2,2,2,0,9
2,3,2,2,2,0,10
2,3,2,2,2,0,8
2,3,2,2,2,0,13
2,3,2,2,2,0,74
2,3,2,2,2,0,7
2,3,2,2,2,0,8
2,3,2,2,2,0,9
2,3,2,2,2,0,7
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,7
2,3,2,2,2,0,8
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,9
2,3,2,2,2,0,10
2,3,2,2,2,0,9
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,9
2,3,2,2,2,0,10
2,3,2,2,2,0,75
2,3,2,2,2,0,7
2,3,2,2,2,0,10
2,3,2,2,2,0,8
2,3,2,2,2,0,10
2,3,2,2,2,0,7
2,3,2,2,2,0,10
2,3,2,2,2,0,76
2,3,2,2,2,0,9
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,9
2,3,2,2,2,0,9
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,7
2,3,2,2,2,0,10
2,3,2,2,2,0,8
2,3,2,2,2,0,9
2,3,2,2,2,0,7
2,3,2,2,2,0,7
2,3,2,2,2,0,8
2,3,2,2,2,0,77
2,3,2,2,2,0,8
2,3,2,2,2,0,10
2,3,2,2,2,0,9
2,3,2,2,2,0,8
2,3,2,2,2,0,9
2,3,2,2,2,0,9
2,3,2,2,2,0,6
2,3,2,2,2,0,78
2,3,2,2,2,0,7
2,3,2,2,2,0,10
2,3,2,2,2,0,7
2,3,2,2,2,0,7
2,3,2,2,2,0,7
2,3,2,2,2,0,9
2,3,2,2,2,0,7
2,3,2,2,2,0,10
2,3,2,2,2,0,9
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,9
2,3,2,2,2,0,9
2,3,2,2,2,0,10
2,3,2,2,2,0,79
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,7
2,3,2,2,2,0,11
2,3,2,2,2,0,7
2,3,2,2,2,0,7
2,3,2,2,2,0,80
2,3,2,2,2,0,9
2,3,2,2,2,0,11
2,3,2,2,2,0,14
2,3,2,2,2,0,8
2,3,2,2,2,0,10
2,3,2,2,2,0,7
2,3,2,2,2,0,10
2,3,2,2,2,0,7
2,3,2,2,2,0,7
2,3,2,2,2,0,10
2,3,2,2,2,0,7
2,3,2,2,2,0,11
2,3,2,2,2,0,11
2,3,2,2,2,0,7
2,3,2,2,2,0,9
2,3,2,2,2,0,9
2,3,2,2,2,0,6
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,7
2,3,2,2,2,0,10
2,3,2,2,2,0,12
2,3,2,2,2,0,10
2,3,2,2,1,0,81
2,3,2,2,2,0,10
2,3,2,2,2,0,9
2,3,2,2,2,0,9
2,3,2,2,2,0,11
2,3,2,2,2,0,6
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,13
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,9
2,3,2,2,2,0,10
2,3,2,2,2,0,8
2,3,2,2,2,0,12
2,3,2,2,2,0,7
2,3,2,2,2,0,10
2,3,2,2,2,0,82
2,3,2,2,2,0,11
2,3,2,2,2,0,7
2,3,2,2,2,0,8
2,3,2,2,2,0,9
2,3,2,2,2,0,8
2,3,2,2,2,0,10
2,3,2,2,2,0,6
2,3,2,2,2,0,9
2,3,2,2,2,0,9
2,3,2,2,2,0,7
2,3,2,2,2,0,10
2,3,2,2,2,0,7
2,3,2,2,2,0,10
2,3,2,2,2,0,7
2,3,2,2,2,0,7
2,3,2,2,2,0,10
2,3,2,2,2,0,9
2,3,2,2,2,0,10
2,3,2,2,2,0,9
2,3,2,2,2,0,83
2,3,2,2,1,0,84
2,3,2,2,2,0,10
2,3,2,2,2,0,10
2,3,2,2,2,0,7
2,3,2,2,2,0,9
2,3,2,2,2,0,10
2,3,2,2,2,0,8
2,3,2,2,2,0,7
2,3,2,2,2,0,10
2,3,2,2,2,0,14
2,3,2,2,2,0,14
2,3,2,2,2,0,10
2,3,2,2,2,0,7
