truth,icot,oct,kmeans_plus,hclust,gmm,dbscan
1,3,1,1,1,2,25
1,3,1,1,1,2,26
1,3,1,1,1,2,1
1,3,1,1,1,2,27
1,3,1,1,1,2,1
1,3,1,1,1,4,1
1,3,2,1,2,4,1
1,3,2,2,2,4,3
1,3,2,2,2,4,28
1,3,2,2,3,6,29
1,3,2,2,3,6,30
1,3,2,2,3,6,31
1,3,2,2,3,6,32
2,2,2,2,4,6,33
2,2,2,2,4,6,34
2,2,2,2,4,6,2
2,2,2,2,4,6,35
2,2,2,2,4,4,2
2,2,2,2,4,4,2
2,2,2,2,5,4,2
2,2,1,1,5,4,4
2,2,1,1,5,4,36
2,2,1,1,6,2,37
2,2,1,1,6,2,38
2,2,1,1,6,2,39
2,2,1,1,6,2,40
1,3,1,1,1,2,1
2,2,2,2,4,6,2
1,3,1,1,1,2,41
2,2,2,2,4,6,42
1,3,2,2,2,4,3
2,2,1,1,5,4,4
1,3,1,1,1,2,43
2,2,2,2,4,6,44
1,3,1,1,1,2,1
2,2,2,2,4,6,2
1,3,2,2,2,4,3
2,2,1,1,5,4,4
1,3,1,1,1,4,1
2,2,2,2,4,4,2
1,3,1,1,1,2,1
2,2,2,2,4,6,2
1,3,1,1,1,4,1
2,2,2,2,4,4,2
1,3,1,1,1,4,1
2,2,2,2,4,4,2
1,3,2,2,2,4,3
2,2,1,1,5,4,4
1,3,1,1,1,4,1
2,2,2,2,4,4,2
1,3,1,1,1,4,1
2,2,2,2,4,4,2
1,3,1,1,1,2,1
2,2,2,2,4,4,2
1,3,2,2,3,6,45
2,2,1,1,6,2,46
1,3,1,1,1,2,1
2,2,2,2,4,6,2
1,3,1,1,1,4,1
2,2,2,2,4,4,2
1,3,2,2,3,6,47
2,2,1,1,6,2,48
1,3,1,1,1,2,5
2,2,2,2,4,6,6
1,3,1,1,1,2,5
2,2,2,2,4,6,6
1,3,1,1,1,2,1
2,2,2,2,4,6,2
1,3,1,1,1,2,1
2,2,2,2,4,6,2
1,3,2,2,2,4,49
