"truth","icot","oct","kmeans_plus","hclust","gmm","dbscan"
1,6,3,3,1,0,1
1,6,3,3,1,0,1
1,6,3,3,1,0,1
1,6,3,3,1,0,1
1,6,3,3,1,2,1
1,6,3,3,1,2,1
1,7,2,2,2,2,1
1,7,2,2,2,2,1
1,7,2,2,2,2,1
1,7,2,2,2,2,1
1,7,2,1,2,1,1
1,7,2,1,2,1,1
1,7,2,1,2,1,1
2,4,1,1,3,1,2
2,4,1,1,3,1,2
2,4,1,1,3,1,2
2,4,1,1,3,1,2
2,4,1,1,3,2,2
2,4,1,1,3,3,2
2,3,4,4,4,3,2
2,3,4,4,4,3,2
2,3,4,4,4,3,2
2,3,4,4,4,3,2
2,3,4,3,4,0,2
2,3,4,3,4,0,2
2,3,4,3,4,0,2
1,6,3,3,1,0,1
2,4,1,1,3,1,2
1,6,3,3,1,0,1
2,4,1,1,3,1,2
1,7,2,2,2,2,1
2,3,4,4,4,3,2
1,6,3,3,1,0,1
2,4,1,1,3,1,2
1,6,3,3,1,0,1
2,4,1,1,3,1,2
1,7,2,2,2,2,1
2,3,4,4,4,3,2
1,6,3,3,1,2,1
2,4,1,1,3,3,2
1,6,3,3,1,0,1
2,4,1,1,3,1,2
1,7,2,3,1,2,1
2,3,4,1,3,3,2
1,7,2,3,1,2,1
2,3,4,1,3,3,2
1,7,2,2,2,2,1
2,3,4,4,4,3,2
1,6,3,3,1,2,1
2,4,1,1,3,3,2
1,6,3,3,1,2,1
2,4,1,1,3,3,2
1,6,3,3,1,2,1
2,4,1,1,3,1,2
1,7,2,1,2,1,1
2,3,4,3,4,0,2
1,6,3,3,1,0,1
2,4,1,1,3,1,2
1,7,2,3,1,2,1
2,3,4,1,3,3,2
1,7,2,2,2,2,1
2,3,4,4,4,3,2
1,6,3,3,1,0,1
2,4,1,1,3,1,2
1,6,3,3,1,0,1
2,4,1,1,3,1,2
1,6,3,3,1,0,1
2,4,1,1,3,1,2
1,6,3,3,1,0,1
2,4,1,1,3,1,2
1,7,2,2,2,2,1
2,3,4,4,4,3,2
1,6,3,3,1,0,1
2,4,1,1,3,1,2
1,7,2,2,2,2,1
2,3,4,4,4,3,2
1,7,2,3,1,2,1
2,3,4,1,3,3,2
1,6,3,3,1,0,1
2,4,1,1,3,1,2
1,6,3,3,1,2,1
2,4,1,1,3,1,2
1,7,2,2,2,1,1
2,3,4,4,4,0,2
1,6,3,3,1,2,1
2,4,1,1,3,3,2
1,7,2,2,2,1,1
2,3,4,4,4,0,2
1,6,3,3,1,0,1
2,4,1,1,3,1,2
1,6,3,3,1,0,1
2,4,1,1,3,1,2
1,7,2,2,2,1,1
2,3,4,4,4,0,2
1,6,3,3,1,0,1
2,4,1,1,3,1,2
1,6,3,3,1,0,1
2,4,1,1,3,1,2
1,6,2,3,1,2,1
2,4,4,1,3,3,2
1,6,2,3,1,2,1
2,4,4,1,3,3,2
1,6,3,3,1,0,1
2,4,1,1,3,1,2
1,7,2,2,2,2,1
2,3,4,4,4,3,2
1,6,3,3,1,2,1
2,4,1,1,3,3,2
1,7,2,2,2,2,1
2,3,4,4,4,3,2
1,7,2,2,2,2,1
2,3,4,4,4,3,2
1,6,3,3,1,0,1
2,4,1,1,3,1,2
1,7,2,2,2,2,1
2,3,4,4,4,3,2
1,6,3,3,1,0,1
2,4,1,1,3,1,2
1,7,2,2,2,2,1
2,3,4,4,4,3,2
1,6,3,3,1,0,1
2,4,1,1,3,1,2
1,7,2,2,2,2,1
2,3,4,4,4,3,2
1,6,3,3,1,2,1
2,4,1,1,3,3,2
1,6,3,3,1,0,1
2,4,1,1,3,1,2
1,6,3,3,1,2,1
2,4,1,1,3,3,2
1,6,3,3,1,0,1
2,4,1,1,3,1,2
1,6,3,3,1,0,1
2,4,1,1,3,1,2
1,6,3,3,1,0,1
2,4,1,1,3,1,2
1,6,3,3,1,2,1
2,4,1,1,3,3,2
1,6,3,3,1,0,1
2,4,1,1,3,1,2
1,7,2,2,2,2,1
2,3,4,4,4,3,2
1,7,2,2,2,2,1
2,3,4,4,4,3,2
1,7,2,2,2,2,1
2,3,4,4,4,3,2
