truth,icot,oct,kmeans_plus,hclust,gmm,dbscan
1,6,4,4,1,1,1
1,6,4,4,1,1,1
1,6,4,4,1,1,1
1,6,4,4,1,1,1
1,6,4,4,1,1,1
1,6,4,4,1,1,1
1,7,1,1,2,1,1
1,7,1,1,2,1,1
1,7,1,1,2,1,1
1,7,1,1,2,0,1
1,7,1,3,2,0,1
1,7,1,3,2,0,1
1,7,1,3,2,0,1
2,4,3,3,3,0,2
2,4,3,3,3,0,2
2,4,3,3,3,0,2
2,4,3,3,3,0,2
2,4,3,3,3,0,2
2,4,3,3,3,0,2
2,3,2,2,4,0,2
2,3,2,2,4,0,2
2,3,2,2,4,0,2
2,3,2,2,4,1,2
2,3,2,4,4,1,2
2,3,2,4,4,1,2
2,3,2,4,4,1,2
1,6,4,4,1,1,1
2,4,3,3,3,0,2
1,6,4,4,1,1,1
2,4,3,3,3,0,2
1,7,1,1,2,1,1
2,3,2,2,4,0,2
1,6,4,4,1,1,1
2,4,3,3,3,0,2
1,6,4,4,1,1,1
2,4,3,3,3,0,2
1,7,1,1,2,1,1
2,3,2,2,4,0,2
1,6,4,4,1,1,1
2,4,3,3,3,0,2
1,6,4,4,1,1,1
2,4,3,3,3,0,2
1,7,1,4,1,1,1
2,3,2,3,3,0,2
1,7,1,4,1,1,1
2,3,2,3,3,0,2
1,7,1,1,2,1,1
2,3,2,2,4,0,2
1,6,4,4,1,1,1
2,4,3,3,3,0,2
1,6,4,4,1,1,1
2,4,3,3,3,0,2
1,6,4,4,1,1,1
2,4,3,3,3,0,2
1,7,1,3,2,0,1
2,3,2,4,4,1,2
1,6,4,4,1,1,1
2,4,3,3,3,0,2
1,7,1,4,1,1,1
2,3,2,3,3,0,2
1,7,1,1,2,1,1
2,3,2,2,4,0,2
1,6,4,4,1,1,1
2,4,3,3,3,0,2
1,6,4,4,1,1,1
2,4,3,3,3,0,2
1,6,4,4,1,1,1
2,4,3,3,3,0,2
1,6,4,4,1,1,1
2,4,3,3,3,0,2
1,7,1,1,2,1,1
2,3,2,2,4,0,2
1,6,4,4,1,1,1
2,4,3,3,3,0,2
1,7,1,1,2,1,1
2,3,2,2,4,0,2
1,6,1,4,1,1,1
2,4,2,3,3,0,2
1,6,4,4,1,1,1
2,4,3,3,3,0,2
1,6,4,4,1,1,1
2,4,3,3,3,0,2
1,7,1,1,2,0,1
2,3,2,2,4,1,2
1,6,4,4,1,1,1
2,4,3,3,3,0,2
1,7,1,1,2,0,1
2,3,2,2,4,1,2
1,6,4,4,1,1,1
2,4,3,3,3,0,2
1,6,4,4,1,1,1
2,4,3,3,3,0,2
1,7,1,1,2,0,1
2,3,2,2,4,1,2
1,6,4,4,1,1,1
2,4,3,3,3,0,2
1,6,4,4,1,1,1
2,4,3,3,3,0,2
1,6,1,4,1,1,1
2,4,2,3,3,0,2
1,6,1,4,1,1,1
2,4,2,3,3,0,2
1,6,4,4,1,1,1
2,4,3,3,3,0,2
1,7,1,1,2,1,1
2,3,2,2,4,0,2
1,6,4,4,1,1,1
2,4,3,3,3,0,2
1,7,1,1,2,1,1
2,3,2,2,4,0,2
1,7,1,1,2,1,1
2,3,2,2,4,0,2
1,6,4,4,1,1,1
2,4,3,3,3,0,2
1,7,1,1,2,1,1
2,3,2,2,4,0,2
1,6,4,4,1,1,1
2,4,3,3,3,0,2
1,7,1,1,2,1,1
2,3,2,2,4,0,2
1,6,4,4,1,1,1
2,4,3,3,3,0,2
1,7,1,1,2,1,1
2,3,2,2,4,0,2
1,6,4,4,1,1,1
2,4,3,3,3,0,2
1,6,4,4,1,1,1
2,4,3,3,3,0,2
1,6,4,4,1,1,1
2,4,3,3,3,0,2
1,6,4,4,1,1,1
2,4,3,3,3,0,2
1,6,4,4,1,1,1
2,4,3,3,3,0,2
1,6,4,4,1,1,1
2,4,3,3,3,0,2
1,6,4,4,1,1,1
