truth,icot,oct,kmeans_plus,hclust,gmm,dbscan
1,11,3,3,1,3,1
1,11,3,3,1,3,1
1,11,3,3,1,3,1
1,11,3,3,1,3,1
1,11,3,3,1,3,1
1,11,3,3,1,3,1
1,12,4,4,2,1,1
1,12,4,4,2,1,1
1,12,4,4,2,1,1
1,12,4,4,2,1,1
1,12,4,2,2,1,1
1,12,4,2,2,1,1
1,12,4,2,2,1,9
2,8,2,2,3,1,2
2,8,2,2,3,1,2
2,8,2,2,3,1,2
2,8,2,2,3,1,2
2,8,2,2,3,1,2
2,8,2,2,3,1,2
2,7,1,1,4,1,2
2,7,1,1,4,2,2
2,7,1,1,4,2,2
2,7,1,1,4,2,2
2,7,1,3,4,2,2
2,7,1,3,4,3,2
2,7,1,3,4,3,10
1,11,3,3,1,3,1
2,8,2,2,3,1,2
1,11,3,3,1,3,1
2,8,2,2,3,1,2
1,12,4,4,2,1,1
2,7,1,1,4,1,2
1,11,3,3,1,3,1
2,8,2,2,3,1,2
1,11,3,3,1,3,1
2,8,2,2,3,1,2
1,12,4,4,2,1,1
2,7,1,1,4,2,2
1,11,3,3,1,3,1
2,8,2,2,3,1,2
1,11,3,3,1,3,1
2,8,2,2,3,1,2
1,12,4,3,1,2,1
2,8,1,2,3,1,2
1,11,4,3,1,3,1
2,8,1,2,3,1,2
1,12,4,4,2,1,1
2,7,1,1,4,2,2
1,11,3,3,1,3,1
2,8,2,2,3,1,2
1,11,3,3,1,3,1
2,8,2,2,3,1,2
1,11,3,3,1,3,1
2,8,2,2,3,1,2
1,12,4,2,2,1,1
2,7,1,3,4,2,2
1,11,3,3,1,3,1
2,8,2,2,3,1,2
1,11,4,3,1,3,1
2,8,1,2,3,1,2
1,12,4,4,2,1,1
2,7,1,1,4,2,2
1,11,3,3,1,3,1
2,8,2,2,3,1,2
1,11,3,3,1,3,1
2,8,2,2,3,1,2
1,11,3,3,1,3,1
2,8,2,2,3,1,2
1,11,3,3,1,3,1
2,8,2,2,3,1,2
1,12,4,4,2,1,1
2,7,1,1,4,2,2
1,11,3,3,1,3,1
2,8,2,2,3,1,2
1,12,4,4,2,1,1
2,7,1,1,4,2,2
1,11,4,3,1,3,1
2,8,1,2,3,1,2
1,11,3,3,1,3,1
2,8,2,2,3,1,2
1,11,3,3,1,3,1
2,8,2,2,3,1,2
1,12,4,4,2,1,1
2,7,1,1,4,2,2
1,11,3,3,1,3,1
2,8,2,2,3,1,2
1,12,4,4,2,1,1
2,7,1,1,4,2,2
1,11,3,3,1,3,1
2,8,2,2,3,1,2
1,11,3,3,1,3,1
2,8,2,2,3,1,2
1,12,4,4,2,1,1
2,7,1,1,4,2,2
1,11,3,3,1,3,1
2,8,2,2,3,1,2
1,11,3,3,1,3,1
2,8,2,2,3,1,2
1,11,4,3,1,3,1
2,8,1,2,3,1,2
1,11,4,3,1,3,1
2,8,1,2,3,1,2
1,11,3,3,1,3,1
