data,criterion,geom_threshold,warm_start,seed,runtime
Atom,dunnindex,0,none,5,NA
Atom,dunnindex,0,oct,3,NA
Atom,dunnindex,0,oct,4,NA
Atom,dunnindex,0,oct,5,NA
Atom,dunnindex,0.9,none,3,NA
Atom,dunnindex,0.9,oct,2,NA
Atom,dunnindex,0.9,oct,3,NA
Atom,silhouette,0,oct,3,NA
Atom,silhouette,0,oct,4,NA
Atom,silhouette,0,oct,5,NA
Atom,silhouette,0.9,oct,3,NA
Atom,silhouette,0.9,oct,4,NA
Atom,silhouette,0.9,oct,5,NA
Atom,silhouette,0.99,none,2,NA
Chainlink,dunnindex,0,oct,4,NA
Chainlink,dunnindex,0,oct,5,NA
Chainlink,dunnindex,0.9,none,3,NA
Chainlink,dunnindex,0.9,oct,3,NA
Chainlink,silhouette,0,oct,3,NA
Chainlink,silhouette,0,oct,4,NA
Chainlink,silhouette,0,oct,5,NA
Chainlink,silhouette,0.9,oct,3,NA
Chainlink,silhouette,0.9,oct,4,NA
Chainlink,silhouette,0.9,oct,5,NA
Chainlink,silhouette,0.99,none,3,NA
Hepta,dunnindex,0.9,oct,4,NA
Hepta,dunnindex,0.99,none,4,NA
Hepta,silhouette,0,oct,5,NA
Hepta,silhouette,0.9,oct,3,NA
Hepta,silhouette,0.9,oct,5,NA
Hepta,silhouette,0.99,none,5,NA
Lsun,dunnindex,0,oct,4,NA
Lsun,dunnindex,0.9,oct,3,NA
Lsun,dunnindex,0.9,oct,4,NA
Lsun,dunnindex,0.9,oct,5,NA
Lsun,silhouette,0,oct,3,NA
Lsun,silhouette,0,oct,4,NA
Lsun,silhouette,0.9,none,3,NA
Lsun,silhouette,0.9,none,4,NA
Lsun,silhouette,0.9,oct,5,NA
Target,dunnindex,0,oct,4,NA
Target,dunnindex,0.9,none,3,NA
Target,dunnindex,0.9,none,4,NA
Target,dunnindex,0.9,oct,3,NA
Target,dunnindex,0.9,oct,4,NA
Target,dunnindex,0.9,oct,5,NA
Target,dunnindex,0.99,none,4,NA
Target,silhouette,0,oct,3,NA
Target,silhouette,0,oct,4,NA
Target,silhouette,0,oct,5,NA
Target,silhouette,0.9,none,5,NA
Target,silhouette,0.9,oct,4,NA
Target,silhouette,0.99,none,5,NA
Tetra,dunnindex,0,oct,4,NA
Tetra,dunnindex,0.9,none,4,NA
Tetra,dunnindex,0.9,none,5,NA
Tetra,dunnindex,0.9,oct,2,NA
Tetra,dunnindex,0.9,oct,3,NA
Tetra,dunnindex,0.9,oct,5,NA
Tetra,silhouette,0,oct,3,NA
Tetra,silhouette,0,oct,4,NA
Tetra,silhouette,0,oct,5,NA
Tetra,silhouette,0.9,oct,2,NA
Tetra,silhouette,0.9,oct,3,NA
Tetra,silhouette,0.9,oct,4,NA
Tetra,silhouette,0.9,oct,5,NA
TwoDiamonds,dunnindex,0,oct,3,NA
TwoDiamonds,dunnindex,0.9,oct,2,NA
TwoDiamonds,dunnindex,0.9,oct,4,NA
TwoDiamonds,silhouette,0,oct,3,NA
TwoDiamonds,silhouette,0,oct,5,NA
TwoDiamonds,silhouette,0.9,oct,2,NA
TwoDiamonds,silhouette,0.9,oct,3,NA
TwoDiamonds,silhouette,0.9,oct,4,NA
TwoDiamonds,silhouette,0.9,oct,5,NA
TwoDiamonds,silhouette,0.99,none,2,NA
WingNut,dunnindex,0,oct,2,NA
WingNut,dunnindex,0,oct,3,NA
WingNut,dunnindex,0,oct,4,NA
WingNut,dunnindex,0,oct,5,NA
WingNut,dunnindex,0.9,oct,3,NA
WingNut,dunnindex,0.9,oct,4,NA
WingNut,dunnindex,0.9,oct,5,NA
WingNut,dunnindex,0.99,none,5,NA
WingNut,silhouette,0,oct,3,NA
WingNut,silhouette,0.9,oct,2,NA
WingNut,silhouette,0.9,oct,3,NA
WingNut,silhouette,0.9,oct,5,NA
WingNut,silhouette,0.99,none,2,NA
