"data","criterion","geom_threshold","warm_start","seed","runtime"
"EngyTime","dunnindex",0,"none",1,NA
"EngyTime","dunnindex",0,"none",2,NA
"EngyTime","dunnindex",0,"none",3,NA
"EngyTime","dunnindex",0,"none",4,NA
"EngyTime","dunnindex",0,"none",5,NA
"EngyTime","dunnindex",0,"oct",1,NA
"EngyTime","dunnindex",0,"oct",2,NA
"EngyTime","dunnindex",0,"oct",3,NA
"EngyTime","dunnindex",0,"oct",4,NA
"EngyTime","dunnindex",0,"oct",5,NA
"EngyTime","dunnindex",0.9,"none",1,NA
"EngyTime","dunnindex",0.9,"none",2,NA
"EngyTime","dunnindex",0.9,"none",3,NA
"EngyTime","dunnindex",0.9,"none",4,NA
"EngyTime","dunnindex",0.9,"none",5,NA
"EngyTime","dunnindex",0.9,"oct",1,NA
"EngyTime","dunnindex",0.9,"oct",2,NA
"EngyTime","dunnindex",0.9,"oct",3,NA
"EngyTime","dunnindex",0.9,"oct",4,NA
"EngyTime","dunnindex",0.9,"oct",5,NA
"EngyTime","dunnindex",0.99,"none",1,NA
"EngyTime","dunnindex",0.99,"none",2,NA
"EngyTime","dunnindex",0.99,"none",3,NA
"EngyTime","dunnindex",0.99,"none",4,NA
"EngyTime","dunnindex",0.99,"none",5,NA
"EngyTime","silhouette",0,"none",1,NA
"EngyTime","silhouette",0,"none",2,NA
"EngyTime","silhouette",0,"none",3,NA
"EngyTime","silhouette",0,"none",4,NA
"EngyTime","silhouette",0,"none",5,NA
"EngyTime","silhouette",0,"oct",1,NA
"EngyTime","silhouette",0,"oct",2,NA
"EngyTime","silhouette",0,"oct",3,NA
"EngyTime","silhouette",0,"oct",4,NA
"EngyTime","silhouette",0,"oct",5,NA
"EngyTime","silhouette",0.9,"none",1,NA
"EngyTime","silhouette",0.9,"none",2,NA
"EngyTime","silhouette",0.9,"none",3,NA
"EngyTime","silhouette",0.9,"none",4,NA
"EngyTime","silhouette",0.9,"none",5,NA
"EngyTime","silhouette",0.9,"oct",2,NA
"EngyTime","silhouette",0.9,"oct",3,NA
"EngyTime","silhouette",0.9,"oct",5,NA
"EngyTime","silhouette",0.99,"none",1,NA
"EngyTime","silhouette",0.99,"none",2,NA
"EngyTime","silhouette",0.99,"none",3,NA
"EngyTime","silhouette",0.99,"none",4,NA
"EngyTime","silhouette",0.99,"none",5,NA
