seed,data,criterion,method,K,silhouette,dunn,ari_true,runtime
1,Atom,silhouette,dbscan,0.8,-0.01197589418642084,0.015198613375968707,-10,0.501498124
1,Atom,dunnindex,dbscan,1,-0.05972494349353041,0.01762149317622028,-10,0.851947041
1,Chainlink,silhouette,dbscan,0.1,0.16840106299246999,0.027391540377160826,-10,0.460857562
1,Chainlink,dunnindex,dbscan,0.4,0.1576347849842609,0.26492048403569285,-10,0.51409687
1,EngyTime,silhouette,dbscan,0.3,0.16050865500025896,0.010487179189725322,-10,2.281054816
1,EngyTime,dunnindex,dbscan,0.3,0.16050865500025896,0.010487179189725322,-10,3.229693045
1,Hepta,silhouette,dbscan,1,0.7017012208742636,1.0761834076521397,-10,0.134932751
1,Hepta,dunnindex,dbscan,1,0.7017012208742636,1.0761834076521397,-10,0.180467674
1,Lsun,silhouette,dbscan,0.4,0.43936196984910525,0.11705239553975084,-10,0.200820385
1,Lsun,dunnindex,dbscan,0.4,0.43936196984910525,0.11705239553975084,-10,0.225925295
1,Target,silhouette,dbscan,0.2,0.41608979392492595,0.031862524354839106,-10,0.36690529
1,Target,dunnindex,dbscan,0.4,0.27378431592522895,0.1168989585578307,-10,0.414418462
1,Tetra,silhouette,dbscan,0.4,0.5035416208491038,0.19966220595159145,-10,0.212170954
1,Tetra,dunnindex,dbscan,0.4,0.5035416208491038,0.19966220595159145,-10,0.211132806
1,TwoDiamonds,silhouette,dbscan,0.1,0.04731615677264487,0.01194496039691997,-10,0.364679882
1,TwoDiamonds,dunnindex,dbscan,0.1,0.04731615677264487,0.01194496039691997,-10,0.363609912
1,WingNut,silhouette,dbscan,0.2,0.02659132501838592,0.019078869592893594,-10,0.453678971
1,WingNut,dunnindex,dbscan,0.2,0.02659132501838592,0.019078869592893594,-10,0.500395034
2,Atom,silhouette,dbscan,0.8,-0.01197589418642084,0.015198613375968707,-10,0.480993784
2,Atom,dunnindex,dbscan,1,-0.05972494349353041,0.01762149317622028,-10,0.774865736
2,Chainlink,silhouette,dbscan,0.1,0.16840106299246999,0.027391540377160826,-10,0.448649334
2,Chainlink,dunnindex,dbscan,0.4,0.1576347849842609,0.26492048403569285,-10,0.481736961
2,EngyTime,silhouette,dbscan,0.3,0.16050865500025896,0.010487179189725322,-10,2.226468395
2,EngyTime,dunnindex,dbscan,0.3,0.16050865500025896,0.010487179189725322,-10,3.023024497
2,Hepta,silhouette,dbscan,1,0.7017012208742636,1.0761834076521397,-10,0.134077094
2,Hepta,dunnindex,dbscan,1,0.7017012208742636,1.0761834076521397,-10,0.174199971
2,Lsun,silhouette,dbscan,0.4,0.43936196984910525,0.11705239553975084,-10,0.19348055
2,Lsun,dunnindex,dbscan,0.4,0.43936196984910525,0.11705239553975084,-10,0.22456223
2,Target,silhouette,dbscan,0.2,0.41608979392492595,0.031862524354839106,-10,0.360165889
2,Target,dunnindex,dbscan,0.4,0.27378431592522895,0.1168989585578307,-10,0.397549277
2,Tetra,silhouette,dbscan,0.4,0.5035416208491038,0.19966220595159145,-10,0.203741439
2,Tetra,dunnindex,dbscan,0.4,0.5035416208491038,0.19966220595159145,-10,0.207093537
2,TwoDiamonds,silhouette,dbscan,0.1,0.04731615677264487,0.01194496039691997,-10,0.455900516
2,TwoDiamonds,dunnindex,dbscan,0.1,0.04731615677264487,0.01194496039691997,-10,0.332423897
2,WingNut,silhouette,dbscan,0.2,0.02659132501838592,0.019078869592893594,-10,0.433790344
2,WingNut,dunnindex,dbscan,0.2,0.02659132501838592,0.019078869592893594,-10,0.449715851
3,Atom,silhouette,dbscan,0.8,-0.01197589418642084,0.015198613375968707,-10,0.458132048
3,Atom,dunnindex,dbscan,1,-0.05972494349353041,0.01762149317622028,-10,0.740566188
3,Chainlink,silhouette,dbscan,0.1,0.16840106299246999,0.027391540377160826,-10,0.431363423
3,Chainlink,dunnindex,dbscan,0.4,0.1576347849842609,0.26492048403569285,-10,0.479342297
3,EngyTime,silhouette,dbscan,0.3,0.16050865500025896,0.010487179189725322,-10,2.238653892
3,EngyTime,dunnindex,dbscan,0.3,0.16050865500025896,0.010487179189725322,-10,3.121628978
3,Hepta,silhouette,dbscan,1,0.7017012208742636,1.0761834076521397,-10,0.133564394
3,Hepta,dunnindex,dbscan,1,0.7017012208742636,1.0761834076521397,-10,0.1873157
3,Lsun,silhouette,dbscan,0.4,0.43936196984910525,0.11705239553975084,-10,0.210417412
3,Lsun,dunnindex,dbscan,0.4,0.43936196984910525,0.11705239553975084,-10,0.239184021
3,Target,silhouette,dbscan,0.2,0.41608979392492595,0.031862524354839106,-10,0.399192087
3,Target,dunnindex,dbscan,0.4,0.27378431592522895,0.1168989585578307,-10,0.414464921
3,Tetra,silhouette,dbscan,0.4,0.5035416208491038,0.19966220595159145,-10,0.22285149
3,Tetra,dunnindex,dbscan,0.4,0.5035416208491038,0.19966220595159145,-10,0.218472769
3,TwoDiamonds,silhouette,dbscan,0.1,0.04731615677264487,0.01194496039691997,-10,0.369568205
3,TwoDiamonds,dunnindex,dbscan,0.1,0.04731615677264487,0.01194496039691997,-10,0.36960168
3,WingNut,silhouette,dbscan,0.2,0.02659132501838592,0.019078869592893594,-10,0.475004582
