truth,kmeans_plus,hclust,gmm,dbscan
1,5,1,1,1
1,4,2,1,1
1,2,3,1,1
1,3,4,1,1
1,3,5,1,1
1,2,5,1,1
1,3,5,1,1
1,2,3,1,1
1,2,3,1,1
1,2,5,1,1
1,3,4,1,1
1,5,6,1,1
1,4,1,0,1
1,5,6,1,1
1,3,5,1,1
1,2,7,1,1
1,2,2,1,1
1,5,3,1,1
1,5,6,1,1
1,5,8,1,1
1,5,8,1,1
1,3,4,1,1
1,3,2,1,1
1,4,1,0,1
1,5,6,1,1
1,2,7,1,1
1,3,5,1,1
1,3,2,1,1
1,3,4,1,1
1,4,1,0,1
1,5,3,1,1
1,3,4,1,1
1,3,4,1,1
1,3,2,1,1
1,3,5,1,1
1,3,4,1,1
1,5,1,1,1
1,5,6,1,1
1,3,5,1,1
1,3,5,1,1
1,5,6,1,1
1,2,5,1,1
1,2,5,1,1
1,4,1,0,1
1,5,8,1,1
1,5,3,1,1
1,3,5,1,1
1,5,1,1,1
1,2,2,1,1
1,2,2,1,1
1,5,8,1,1
1,4,1,0,1
1,4,7,1,1
1,5,1,1,1
1,2,2,1,1
1,5,8,1,1
1,4,1,0,1
1,4,1,1,1
1,3,5,1,1
1,5,6,1,1
1,2,2,1,1
1,3,4,1,1
1,3,2,1,1
1,4,1,1,1
1,4,1,0,1
1,5,6,1,1
1,3,5,1,1
1,4,1,0,1
1,4,4,1,1
1,4,1,0,1
1,2,7,1,1
1,5,6,1,1
1,4,1,0,1
1,5,6,1,1
1,2,7,1,1
1,5,8,1,1
1,3,5,1,1
1,4,1,1,1
1,3,5,1,1
1,4,1,1,1
1,3,5,1,1
1,4,2,1,1
1,4,1,0,1
1,4,4,1,1
1,4,2,1,1
1,3,4,1,1
1,2,5,1,1
1,5,6,1,1
1,4,1,1,1
1,2,5,1,1
1,2,7,1,1
1,3,4,1,1
1,2,5,1,1
1,2,7,1,1
1,2,7,1,1
1,4,2,1,1
1,2,7,1,1
1,5,8,1,1
1,3,5,1,1
1,3,2,1,1
1,5,6,1,1
1,3,5,1,1
1,5,8,1,1
1,3,2,1,1
1,2,7,1,1
1,3,2,1,1
1,3,5,1,1
1,2,3,1,1
1,3,6,1,1
1,4,2,1,1
1,5,3,1,1
1,3,4,1,1
1,5,1,1,1
1,3,2,1,1
1,5,1,1,1
1,4,1,0,1
1,3,5,1,1
1,3,5,1,1
1,2,7,1,1
1,3,5,1,1
1,2,7,1,1
1,4,2,1,1
1,4,2,1,1
1,4,2,1,1
1,2,2,1,1
1,2,7,1,1
1,3,5,1,1
1,5,6,1,1
1,3,4,1,1
1,2,5,1,1
1,5,3,1,1
1,3,4,1,1
1,3,5,1,1
1,3,5,1,1
1,4,1,0,1
1,2,3,1,1
1,5,6,1,1
1,4,1,1,1
1,3,4,1,1
1,3,5,1,1
1,4,1,0,1
1,5,3,1,1
1,2,7,1,1
1,4,1,0,1
1,5,8,1,1
1,4,1,0,1
1,5,6,1,1
1,5,6,1,1
1,4,2,1,1
1,5,1,1,1
1,4,1,0,1
1,2,5,1,1
1,4,1,0,1
1,5,8,1,1
1,4,1,1,1
1,5,4,1,1
1,2,7,1,1
1,4,1,0,1
1,5,6,1,1
1,4,1,0,1
1,4,1,0,1
1,2,5,1,1
1,3,5,1,1
1,4,1,0,1
1,1,1,1,1
1,2,5,1,1
1,5,6,1,1
1,3,5,1,1
1,4,1,1,1
1,3,4,1,1
1,3,2,1,1
1,5,6,1,1
1,4,7,1,1
1,4,7,1,1
1,4,1,1,1
1,3,5,1,1
1,3,4,1,1
1,5,8,1,1
1,1,5,1,1
1,4,1,0,1
1,3,4,1,1
1,3,4,1,1
1,5,8,1,1
1,5,6,1,1
1,3,4,1,1
1,2,7,1,1
1,3,5,1,1
1,3,2,1,1
1,3,4,1,1
1,5,1,1,1
1,2,5,1,1
1,3,5,1,1
1,3,4,1,1
1,2,7,1,1
1,3,2,1,1
1,2,5,1,1
1,4,1,0,1
1,5,6,1,1
1,4,1,0,1
1,5,1,1,1
1,5,8,1,1
1,4,2,1,1
1,3,2,1,1
1,5,8,1,1
1,4,1,1,1
1,4,1,0,1
1,2,7,1,1
1,4,2,1,1
1,5,8,1,1
1,3,5,1,1
1,5,8,1,1
1,2,7,1,1
1,3,5,1,1
1,3,5,1,1
1,5,6,1,1
1,5,8,1,1
1,4,1,0,1
1,4,2,1,1
1,3,2,1,1
1,5,6,1,1
1,5,8,1,1
1,3,5,1,1
1,2,3,1,1
1,4,1,1,1
1,5,6,1,1
1,4,2,1,1
1,5,8,1,1
1,4,2,1,1
1,5,8,1,1
1,3,4,1,1
1,5,6,1,1
1,2,2,1,1
1,3,6,1,1
1,2,2,1,1
1,3,5,1,1
1,2,5,1,1
1,4,1,0,1
1,5,8,1,1
1,2,3,1,1
1,4,1,0,1
1,2,7,1,1
1,4,2,1,1
1,3,4,1,1
1,1,1,1,1
1,2,5,1,1
1,5,1,1,1
1,3,2,1,1
1,4,1,0,1
1,2,2,1,1
1,3,5,1,1
1,3,5,1,1
1,3,4,1,1
1,2,7,1,1
1,4,1,1,1
1,3,4,1,1
1,4,2,1,1
1,3,5,1,1
1,2,3,1,1
1,4,2,1,1
1,3,5,1,1
1,4,1,0,1
1,4,1,1,1
1,4,1,0,1
1,5,8,1,1
1,4,1,0,1
1,5,8,1,1
1,4,1,1,1
1,3,5,1,1
1,2,7,1,1
1,3,6,1,1
1,3,5,1,1
1,5,1,1,1
1,5,6,1,1
1,3,5,1,1
1,5,6,1,1
1,4,1,0,1
1,5,1,1,1
1,4,2,1,1
1,3,5,1,1
1,4,1,1,1
1,4,1,0,1
1,4,1,0,1
1,2,7,1,1
1,4,1,0,1
1,5,1,1,1
1,3,5,1,1
1,2,5,1,1
1,2,5,1,1
1,3,4,1,1
1,3,5,1,1
1,2,7,1,1
1,3,4,1,1
1,4,2,1,1
1,4,1,0,1
1,2,2,1,1
1,2,3,1,1
1,3,4,1,1
1,4,1,1,1
1,4,1,1,1
1,3,5,1,1
1,3,5,1,1
1,4,1,0,1
1,4,1,0,1
1,2,7,1,1
1,4,1,0,1
1,4,1,0,1
1,4,1,0,1
1,3,5,1,1
1,4,1,0,1
1,2,2,1,1
1,3,4,1,1
1,4,1,0,1
1,3,5,1,1
1,3,5,1,1
1,3,4,1,1
1,3,4,1,1
1,3,4,1,1
1,3,5,1,1
1,4,1,1,1
1,5,6,1,1
1,4,1,0,1
1,3,2,1,1
1,2,5,1,1
1,4,2,1,1
1,3,2,1,1
1,5,8,1,1
1,3,6,1,1
1,2,5,1,1
1,3,5,1,1
1,3,6,1,1
1,3,4,1,1
1,4,2,1,1
1,3,5,1,1
1,2,3,1,1
1,3,5,1,1
1,2,7,1,1
1,4,1,0,1
1,4,1,0,1
1,5,8,1,1
1,2,5,1,1
1,2,3,1,1
1,5,1,1,1
1,4,2,1,1
1,2,2,1,1
1,2,5,1,1
1,4,1,0,1
1,4,1,0,1
1,5,8,1,1
1,5,6,1,1
1,2,7,1,1
1,3,5,1,1
1,4,1,0,1
1,4,1,1,1
1,3,5,1,1
1,3,2,1,1
1,3,2,1,1
1,3,2,1,1
1,4,1,0,1
1,3,5,1,1
1,3,6,1,1
1,4,1,0,1
1,4,1,0,1
1,2,5,1,1
1,2,5,1,1
1,5,1,1,1
1,2,3,1,1
1,3,5,1,1
1,3,5,1,1
1,2,7,1,1
1,5,8,1,1
1,3,5,1,1
1,4,1,0,1
1,5,6,1,1
1,3,5,1,1
1,4,1,0,1
1,3,4,1,1
1,2,7,1,1
1,2,5,1,1
1,2,7,1,1
1,2,3,1,1
1,5,1,1,1
1,3,4,1,1
1,4,2,1,1
1,4,1,0,1
1,2,7,1,1
1,3,4,1,1
1,2,7,1,1
1,3,5,1,1
1,2,5,1,1
1,2,3,1,1
