truth,kmeans_plus,hclust,gmm,dbscan
1,7,1,0,11
1,6,2,9,1
1,3,3,8,2
1,1,4,2,3
1,5,5,6,4
1,9,5,1,4
1,5,5,6,4
1,3,3,8,2
1,3,3,8,2
1,5,5,6,4
1,1,4,0,3
1,7,6,0,6
1,8,7,7,5
1,7,6,0,6
1,5,5,6,4
1,9,8,1,13
1,6,2,1,5
1,3,3,8,2
1,7,6,0,11
1,4,9,5,7
1,4,9,5,7
1,1,4,4,3
1,6,2,4,8
1,8,7,7,5
1,7,6,0,6
1,9,8,1,15
1,5,5,6,4
1,6,2,4,8
1,1,4,2,3
1,8,7,7,5
1,3,3,8,2
1,1,4,2,3
1,1,4,2,3
1,6,2,4,8
1,5,5,6,4
1,1,4,2,3
1,2,1,0,9
1,7,6,0,11
1,5,5,6,4
1,5,5,6,4
1,7,6,0,6
1,9,5,1,4
1,9,5,8,4
1,8,7,7,5
1,4,9,0,7
1,3,3,8,2
1,5,5,6,4
1,2,1,0,7
1,6,2,1,10
1,6,2,1,10
1,4,9,5,7
1,8,7,7,5
1,8,8,1,5
1,2,1,5,5
1,9,2,1,10
1,4,9,5,7
1,8,7,7,5
1,2,1,2,5
1,7,5,0,4
1,7,6,0,6
1,6,2,1,10
1,1,4,2,3
1,6,2,1,10
1,2,1,2,5
1,8,7,7,5
1,7,6,0,6
1,5,5,6,4
1,8,7,7,5
1,2,4,2,3
1,8,7,7,5
1,9,8,1,15
1,7,6,0,11
1,8,7,7,5
1,7,6,0,6
1,3,8,8,12
1,4,9,8,7
1,5,5,6,4
1,2,1,5,5
1,5,5,6,4
1,2,1,5,5
1,5,5,6,4
1,6,2,9,5
1,8,7,7,5
1,1,4,2,3
1,6,2,9,5
1,1,4,0,3
1,5,5,6,4
1,7,6,0,6
1,2,1,5,5
1,5,5,6,4
1,9,8,1,15
1,1,4,2,3
1,5,5,6,4
1,9,8,1,12
1,9,8,1,13
1,6,2,9,5
1,3,8,8,12
1,4,9,8,2
1,5,5,6,4
1,6,2,4,10
1,7,6,0,6
1,5,5,6,4
1,4,9,5,7
1,6,2,4,10
1,9,8,1,13
1,6,2,1,10
1,5,5,6,4
1,3,3,8,2
1,7,6,0,11
1,6,2,9,5
1,3,3,8,2
1,1,4,2,3
1,2,1,0,9
1,6,2,4,10
1,2,1,0,7
1,8,7,7,5
1,5,5,6,4
1,5,5,6,4
1,3,8,8,12
1,5,5,6,4
1,9,8,1,13
1,8,2,9,5
1,6,2,9,1
1,6,2,9,5
1,6,2,1,5
1,9,8,1,14
1,5,5,6,4
1,7,6,0,6
1,1,4,0,3
1,9,5,1,4
1,3,3,8,2
1,1,4,0,3
1,5,5,6,4
1,5,5,6,4
1,8,7,7,5
1,3,3,8,2
1,7,6,0,11
1,2,1,2,5
1,1,4,2,3
1,5,5,6,4
1,8,7,7,5
1,3,3,8,2
1,9,8,1,14
1,8,7,7,5
1,4,9,8,7
1,8,7,7,5
1,7,6,0,6
1,7,6,0,6
1,6,2,9,5
1,2,1,0,9
1,8,7,7,5
1,5,5,6,4
1,8,7,7,5
1,4,9,0,7
1,2,1,5,5
1,1,4,0,3
1,9,8,1,14
1,8,7,7,5
1,7,6,0,6
1,8,7,7,5
1,8,7,7,5
1,9,5,1,4
