truth,kmeans_plus,hclust,gmm,dbscan
1,5,1,5,1
1,6,2,5,1
1,1,3,0,1
1,1,4,0,1
1,6,2,5,1
1,1,4,0,1
1,1,3,0,1
1,5,5,4,1
1,5,5,4,1
1,5,5,4,1
1,8,3,0,1
1,5,5,4,1
1,7,4,4,1
1,1,3,0,1
1,8,2,0,1
1,8,3,0,1
1,5,5,4,1
1,8,3,0,1
1,1,3,0,1
1,5,5,4,1
1,6,2,0,1
1,5,5,4,1
1,7,4,4,1
1,5,5,4,1
1,6,1,5,1
1,8,3,0,1
1,8,2,0,1
1,7,4,4,1
1,5,5,4,1
1,6,1,5,1
1,8,3,0,1
1,8,3,0,1
1,8,3,0,1
1,6,1,5,1
1,8,3,0,1
1,8,3,0,1
1,1,4,0,1
1,5,1,5,1
1,1,4,0,1
1,6,2,0,1
1,1,4,0,1
1,7,4,4,1
1,5,5,4,1
1,5,5,5,1
1,7,4,4,1
1,7,4,4,1
1,5,1,5,1
1,5,5,4,1
1,8,3,0,1
1,5,5,4,1
1,6,1,5,1
1,8,2,0,1
1,6,1,5,1
1,6,1,5,1
1,6,2,5,1
1,6,1,5,1
1,6,1,5,1
1,8,2,0,1
1,1,3,0,1
1,5,5,4,1
1,5,5,4,1
1,1,4,0,1
1,8,3,0,1
1,1,3,0,1
1,5,5,4,1
1,5,5,4,1
1,5,5,4,1
1,1,4,0,1
1,7,4,4,1
1,8,2,0,1
1,1,3,0,1
1,1,3,0,1
1,5,5,4,1
1,6,1,5,1
1,7,5,4,1
1,7,4,4,1
1,1,4,0,1
1,8,3,0,1
1,5,5,4,1
1,7,4,4,1
1,8,3,0,1
1,8,3,0,1
1,6,2,5,1
1,6,2,5,1
1,6,2,5,1
1,5,5,5,1
1,8,2,0,1
1,7,4,4,1
1,5,5,4,1
1,8,2,0,1
1,6,1,5,1
1,1,4,0,1
1,1,3,0,1
1,6,2,5,1
1,1,3,0,1
1,7,4,4,1
1,5,5,4,1
1,8,2,0,1
1,5,5,4,1
1,8,3,0,1
1,6,2,0,1
1,7,4,4,1
1,1,3,0,1
1,8,3,0,1
1,5,5,4,1
1,1,3,0,1
1,8,3,0,1
1,8,2,0,1
1,1,4,0,1
1,8,3,0,1
1,7,4,4,1
1,7,5,4,1
1,6,1,5,1
1,8,2,0,1
1,8,3,0,1
1,1,4,0,1
1,6,2,5,1
1,5,5,4,1
1,6,1,5,1
1,7,4,4,1
1,7,4,0,1
1,8,3,0,1
1,8,2,0,1
1,8,3,0,1
1,7,5,4,1
1,6,1,5,1
1,5,5,4,1
1,5,5,4,1
1,6,2,5,1
1,7,4,4,1
1,6,2,5,1
1,5,5,4,1
1,6,1,5,1
1,8,3,0,1
1,6,2,5,1
1,6,1,5,1
1,7,4,0,1
1,8,3,0,1
1,5,5,4,1
1,6,2,5,1
1,1,4,0,1
1,7,5,4,1
1,5,5,4,1
1,8,2,0,1
1,8,3,0,1
1,8,2,0,1
1,8,3,0,1
1,7,4,4,1
1,8,2,0,1
1,5,1,5,1
1,1,3,0,1
1,8,2,0,1
1,8,3,0,1
1,6,2,0,1
1,8,3,0,1
1,1,3,0,1
1,8,2,0,1
1,7,4,4,1
1,5,5,4,1
1,6,2,5,1
1,8,3,0,1
1,8,2,0,1
1,1,4,0,1
1,5,5,4,1
1,6,2,5,1
1,5,5,4,1
1,8,3,0,1
1,5,5,4,1
1,6,2,5,1
1,1,3,0,1
1,5,5,4,1
1,8,3,0,1
1,8,3,0,1
1,7,4,4,1
1,7,4,4,1
1,5,5,4,1
1,5,5,4,1
1,8,2,0,1
1,6,1,5,1
1,5,5,4,1
1,6,1,5,1
1,5,5,4,1
1,8,2,0,1
1,6,1,5,1
1,7,4,4,1
1,6,2,5,1
1,5,5,4,1
1,8,3,0,1
1,5,5,4,1
1,6,2,5,1
1,6,1,5,1
1,5,5,4,1
1,7,4,4,1
1,5,5,4,1
1,1,3,0,1
1,8,3,0,1
1,6,1,5,1
1,5,5,4,1
1,8,3,0,1
1,5,5,4,1
1,6,2,5,1
1,5,5,4,1
1,8,3,0,1
1,7,4,4,1
1,6,1,5,1
1,8,3,0,1
1,7,4,4,1
1,8,3,0,1
1,8,3,0,1
1,5,5,4,1
1,5,5,4,1
1,5,1,5,1
1,5,1,5,1
1,8,2,0,1
1,1,4,0,1
1,6,1,5,1
1,7,5,4,1
1,5,5,4,1
1,1,3,0,1
1,8,3,0,1
1,6,1,5,1
1,8,2,0,1
1,1,3,0,1
1,1,4,0,1
1,5,5,4,1
1,5,5,4,1
1,6,2,0,1
1,6,2,0,1
1,5,5,4,1
1,5,5,4,1
1,7,4,4,1
1,6,2,5,1
1,5,1,5,1
1,8,2,0,1
1,5,1,5,1
1,5,5,4,1
1,7,4,4,1
1,6,2,5,1
1,8,3,0,1
1,6,2,0,1
1,6,2,0,1
1,1,3,0,1
1,5,5,4,1
1,1,3,0,1
1,8,3,0,1
1,5,1,5,1
1,7,5,4,1
1,7,4,4,1
1,1,4,0,1
1,6,2,5,1
1,6,1,5,1
1,1,4,0,1
1,8,3,0,1
1,7,4,4,1
1,7,4,4,1
1,6,1,5,1
1,8,3,0,1
1,8,2,0,1
1,5,5,4,1
1,7,4,4,1
1,7,5,4,1
1,6,1,5,1
1,5,5,4,1
1,6,1,5,1
1,8,2,0,1
1,5,5,5,1
1,5,5,4,1
1,1,4,0,1
1,7,4,4,1
1,6,1,5,1
1,8,3,0,1
1,8,3,0,1
1,7,4,4,1
1,8,3,0,1
1,5,5,4,1
1,7,4,4,1
1,5,5,4,1
1,7,4,0,1
1,8,3,0,1
1,5,5,4,1
1,6,1,5,1
1,7,5,4,1
1,7,5,4,1
1,8,3,0,1
1,7,4,4,1
1,5,5,4,1
1,1,3,0,1
1,5,5,4,1
1,8,3,0,1
1,6,2,5,1
1,6,2,0,1
1,6,2,0,1
1,5,5,4,1
1,8,3,0,1
1,8,3,0,1
1,8,3,0,1
1,5,5,4,1
1,7,4,4,1
1,8,3,0,1
1,1,3,0,1
1,5,5,4,1
1,5,5,4,1
1,1,4,0,1
1,6,1,5,1
1,8,3,0,1
1,8,3,0,1
1,6,1,5,1
1,5,5,4,1
1,6,2,5,1
1,5,5,4,1
1,8,3,0,1
1,6,1,5,1
1,6,2,5,1
1,5,1,5,1
1,7,4,4,1
1,7,4,4,1
1,6,1,5,1
1,6,2,5,1
1,6,2,5,1
1,1,3,0,1
1,6,2,5,1
1,6,2,5,1
1,6,2,5,1
1,8,3,0,1
1,8,3,0,1
1,1,3,0,1
1,7,4,4,1
1,8,3,0,1
1,8,2,0,1
1,5,5,4,1
1,7,4,4,1
1,1,3,0,1
1,5,1,5,1
1,7,5,4,1
1,1,4,0,1
1,8,2,0,1
1,6,2,5,1
1,1,4,0,1
1,7,4,4,1
1,5,5,4,1
1,7,5,4,1
1,5,5,4,1
1,6,1,5,1
1,8,2,0,1
1,5,5,4,1
1,7,5,4,1
1,8,3,0,1
1,8,3,0,1
1,1,4,0,1
1,6,1,5,1
1,1,4,0,1
1,8,3,0,1
1,5,5,4,1
1,5,5,4,1
1,8,3,0,1
1,5,5,4,1
1,8,2,0,1
1,7,4,4,1
1,8,3,0,1
1,8,3,0,1
1,5,1,5,1
1,8,2,0,1
1,1,3,0,1
1,7,4,4,1
