truth,kmeans_plus,hclust,gmm,dbscan
1,5,1,5,1
1,6,2,0,4
1,1,3,1,2
1,1,4,1,3
1,6,2,0,4
1,1,4,1,3
1,1,3,1,2
1,5,5,4,5
1,5,5,4,5
1,5,5,4,10
1,8,3,7,6
1,5,5,4,5
1,7,4,1,7
1,1,3,1,3
1,8,2,7,9
1,8,3,7,6
1,5,5,4,5
1,8,3,1,6
1,1,3,1,3
1,5,5,4,5
1,6,2,0,4
1,5,5,4,10
1,7,4,1,7
1,5,5,4,5
1,6,1,5,1
1,8,3,1,6
1,8,2,7,8
1,7,4,1,7
1,5,5,4,5
1,6,1,5,1
1,8,3,7,6
1,8,3,7,6
1,8,3,7,9
1,6,1,5,1
1,8,3,7,6
1,8,3,7,6
1,1,4,1,3
1,5,1,5,1
1,1,4,1,3
1,6,2,0,4
1,1,4,1,3
1,7,4,9,7
1,5,5,4,5
1,5,5,5,10
1,7,4,9,7
1,7,4,9,7
1,5,1,5,1
1,5,5,4,10
1,8,3,1,6
1,5,5,5,10
1,6,1,5,4
1,8,2,7,8
1,6,1,5,1
1,6,1,5,1
1,6,2,5,4
1,6,1,5,1
1,6,1,5,4
1,8,2,7,8
1,1,3,1,2
1,5,5,4,5
1,5,5,4,5
1,1,4,1,3
1,8,3,7,6
1,1,3,1,6
1,5,5,4,12
1,5,5,4,5
1,5,5,4,5
1,1,4,1,3
1,7,4,9,7
1,8,2,7,8
1,1,3,1,2
1,1,3,1,6
1,5,5,4,5
1,6,1,5,4
1,7,5,4,11
1,7,4,9,7
1,1,4,1,3
1,8,3,1,6
1,5,5,4,5
1,7,4,9,7
1,8,3,7,6
1,8,3,7,6
1,6,2,0,4
1,6,2,5,4
1,6,2,0,4
1,5,5,5,10
1,8,2,7,8
1,7,4,9,7
1,5,5,4,5
1,8,2,7,8
1,6,1,5,1
1,1,4,1,3
1,1,3,1,6
1,6,2,0,4
1,1,3,1,2
1,7,4,9,7
1,5,5,4,5
1,8,2,7,8
1,5,5,5,10
1,8,3,7,9
1,6,2,0,4
1,7,4,9,7
1,1,3,1,2
1,8,3,7,9
1,5,5,4,5
1,1,3,1,2
1,8,3,7,6
1,8,2,7,8
1,1,4,1,3
1,8,3,7,9
1,7,4,9,7
1,7,5,4,11
1,6,1,5,1
1,8,2,7,8
1,8,3,7,6
1,1,4,1,3
1,6,2,0,4
1,5,5,4,5
1,6,1,5,4
1,7,4,9,7
1,7,4,1,3
1,8,3,7,6
1,8,2,7,8
1,8,3,7,6
1,7,5,4,11
1,6,1,5,4
1,5,5,4,5
1,5,5,4,5
1,6,2,5,4
1,7,4,9,7
1,6,2,5,4
1,5,5,4,5
1,6,1,5,1
1,8,3,7,9
1,6,2,0,4
1,6,1,5,1
1,7,4,1,3
1,8,3,7,6
1,5,5,4,5
1,6,2,0,4
1,1,4,1,3
1,7,5,4,11
1,5,5,5,10
1,8,2,7,8
1,8,3,1,6
1,8,2,7,8
1,8,3,7,9
1,7,4,9,7
1,8,2,7,8
1,5,1,5,1
1,1,3,1,2
1,8,2,7,8
1,8,3,7,6
1,6,2,0,4
1,8,3,7,6
1,1,3,1,3
1,8,2,7,8
1,7,4,1,7
1,5,5,4,5
1,6,2,0,4
1,8,3,7,6
1,8,2,7,8
1,1,4,1,3
1,5,5,4,12
1,6,2,0,4
1,5,5,4,5
1,8,3,7,6
1,5,5,4,5
1,6,2,0,4
1,1,3,1,3
1,5,5,4,5
1,8,3,7,9
1,8,3,7,9
1,7,4,1,7
1,7,4,9,7
1,5,5,4,5
1,5,5,4,5
1,8,2,7,8
1,6,1,5,1
1,5,5,4,5
1,6,1,5,1
1,5,5,4,5
1,8,2,7,8
1,6,1,5,1
1,7,4,9,7
1,6,2,0,4
1,5,5,4,5
1,8,3,7,6
1,5,5,4,5
1,6,2,0,4
1,6,1,5,1
1,5,5,4,5
1,7,4,1,7
1,5,5,4,5
1,1,3,1,2
1,8,3,7,9
1,6,1,5,1
1,5,5,4,12
1,8,3,7,6
1,5,5,4,10
1,6,2,0,4
1,5,5,4,5
1,8,3,7,6
1,7,4,1,7
1,6,1,5,4
1,8,3,7,6
1,7,4,9,7
1,8,3,7,6
1,8,3,7,9
1,5,5,5,10
1,5,5,4,5
1,5,1,5,1
1,5,1,5,1
1,8,2,7,8
1,1,4,1,3
1,6,1,5,1
1,7,5,4,12
1,5,5,4,5
1,1,3,1,6
1,8,3,7,6
1,6,1,5,1
1,8,2,7,8
1,1,3,1,3
1,1,4,1,3
1,5,5,4,5
1,5,5,4,5
1,6,2,0,4
1,6,2,0,4
1,5,5,4,5
1,5,5,4,10
1,7,4,9,7
1,6,2,0,4
1,5,1,5,1
1,8,2,7,8
1,5,1,5,1
1,5,5,4,5
1,7,4,9,7
1,6,2,0,4
1,8,3,7,6
1,6,2,0,4
1,6,2,0,4
1,1,3,1,6
1,5,5,4,5
1,1,3,1,6
1,8,3,7,9
1,5,1,5,1
1,7,5,4,11
1,7,4,1,7
1,1,4,1,3
1,6,2,0,4
1,6,1,5,4
1,1,4,1,3
1,8,3,7,6
1,7,4,9,7
1,7,4,9,7
1,6,1,5,1
1,8,3,7,6
1,8,2,7,8
1,5,5,4,5
1,7,4,9,7
1,7,5,4,12
1,6,1,5,4
1,5,5,4,5
1,6,1,5,1
1,8,2,7,8
1,5,5,5,10
1,5,5,4,12
1,1,4,1,3
1,7,4,9,7
1,6,1,5,1
1,8,3,7,9
1,8,3,1,6
1,7,4,9,7
1,8,3,7,6
1,5,5,4,5
1,7,4,1,7
1,5,5,4,5
1,7,4,1,3
1,8,3,7,6
1,5,5,4,5
1,6,1,5,1
1,7,5,4,11
1,7,5,4,11
