truth,kmeans_plus,hclust,gmm,dbscan
1,3,1,5,1
2,4,2,1,2
1,10,3,8,3
2,5,1,2,4
1,5,4,2,5
2,5,4,2,5
1,5,4,2,5
2,5,4,2,6
1,9,5,6,17
2,9,5,2,7
1,7,5,6,39
2,2,6,2,23
1,2,6,1,20
2,6,6,3,43
1,1,7,4,8
2,3,4,6,9
1,3,4,6,9
2,10,3,8,10
1,5,4,2,5
2,10,3,8,11
1,3,2,5,12
2,3,2,5,13
1,8,2,2,14
2,5,1,2,4
1,4,1,1,15
2,9,5,4,16
1,9,5,6,17
2,2,6,4,18
1,2,8,9,19
2,2,6,1,20
1,7,1,0,49
2,6,1,3,58
1,5,1,2,21
2,7,4,6,44
1,3,2,5,13
2,9,5,2,22
1,9,5,2,22
2,9,5,2,22
1,9,5,2,22
2,9,5,2,22
1,9,5,2,22
2,2,6,2,23
1,1,7,4,24
2,2,6,1,20
1,2,6,2,23
2,2,6,4,55
1,3,4,6,9
2,4,4,6,25
1,7,4,6,56
2,3,4,6,9
1,4,4,6,25
2,7,4,6,41
1,7,4,6,44
2,8,7,2,26
1,8,7,2,26
2,8,7,2,27
1,8,7,2,26
2,8,7,2,26
1,8,7,2,26
2,5,1,2,4
1,4,1,1,15
2,4,1,1,15
1,5,1,2,4
2,7,1,0,28
1,7,1,0,28
2,8,2,0,28
1,5,1,0,28
2,2,6,2,23
1,8,7,2,27
2,1,7,1,29
1,8,7,2,27
2,1,7,1,29
1,1,7,4,24
2,3,2,5,30
1,10,3,8,37
2,8,2,2,14
1,4,2,1,31
2,8,2,2,14
1,4,2,1,2
2,4,2,1,2
1,4,2,1,2
2,3,2,5,12
1,4,2,0,52
2,2,6,4,55
1,2,6,0,23
2,2,6,0,23
1,3,2,5,13
2,4,2,1,31
1,4,1,1,15
2,4,1,1,15
1,10,3,8,10
2,2,6,4,32
1,2,6,2,23
2,1,8,9,33
1,1,8,9,33
2,1,8,9,33
1,8,7,2,27
2,2,6,4,18
1,2,6,2,23
2,1,8,9,33
1,1,7,1,29
2,5,1,2,21
1,6,1,3,43
2,7,5,6,39
1,3,1,5,1
2,5,1,2,4
1,4,1,1,15
2,4,1,1,15
1,10,3,8,34
2,10,3,8,34
1,4,1,1,15
2,8,2,2,35
1,3,2,5,12
2,10,3,8,34
1,10,3,8,10
2,10,3,8,10
1,10,3,8,10
2,10,3,8,10
1,5,1,2,21
2,5,1,2,4
1,3,1,5,1
2,3,1,5,1
1,4,1,1,15
2,4,1,1,15
1,4,1,1,15
2,3,1,5,1
1,4,1,1,15
2,10,3,8,34
1,10,3,8,34
2,10,3,8,34
1,10,3,8,34
2,4,1,1,15
1,10,3,8,34
2,4,1,1,15
1,10,3,8,34
2,10,3,8,34
1,2,6,2,23
2,3,4,6,9
1,4,4,6,36
2,4,4,6,36
1,3,1,5,1
2,3,1,5,1
1,10,3,8,37
2,3,1,5,1
1,7,4,6,44
2,3,4,6,9
1,2,8,9,19
2,2,6,1,51
1,3,1,5,1
2,3,1,5,1
1,4,1,1,15
2,10,3,8,34
1,10,3,8,3
2,3,1,5,38
1,3,1,5,38
2,2,6,2,23
1,2,6,2,23
2,2,6,4,18
1,9,5,2,7
2,9,5,6,39
1,2,6,4,55
2,2,6,2,23
1,2,6,2,23
2,4,4,6,25
1,4,1,1,40
2,3,4,6,41
1,10,3,8,34
2,3,1,5,59
1,10,3,8,34
2,5,4,2,6
1,3,4,6,9
2,7,1,5,60
1,5,1,2,4
2,5,1,2,4
1,5,1,2,4
2,8,2,2,14
1,5,4,2,6
2,3,1,5,38
1,10,3,8,37
2,3,2,5,12
1,10,3,8,34
2,10,3,8,34
1,7,2,0,52
2,1,7,4,24
1,1,8,9,33
2,1,8,9,33
1,10,3,8,10
2,4,4,6,25
1,3,4,6,9
2,4,6,1,40
1,5,1,0,28
2,7,4,6,57
1,4,1,1,15
2,2,6,2,23
1,5,4,2,6
2,5,4,2,5
1,5,4,2,5
2,7,1,0,28
1,4,4,6,25
2,9,5,6,17
1,6,7,3,43
2,2,6,1,20
1,2,8,9,19
2,2,8,9,19
1,2,6,1,20
2,2,6,4,18
1,7,1,2,28
2,8,2,2,14
1,7,5,6,57
2,7,5,6,57
1,6,5,3,61
2,7,5,6,57
1,8,7,2,27
2,8,7,2,27
1,2,6,2,23
2,9,8,9,42
1,9,5,6,17
2,9,8,9,42
1,9,8,9,42
2,4,4,6,25
1,10,3,8,10
2,10,3,8,10
1,10,3,8,10
2,10,3,8,10
1,9,8,9,42
2,8,7,2,26
1,1,7,4,24
2,4,2,1,31
1,10,3,8,34
2,10,3,8,34
1,6,6,3,43
2,6,6,3,43
1,6,6,3,43
2,2,6,2,23
1,6,6,3,43
2,2,6,2,23
1,2,6,2,23
2,3,1,5,38
1,7,4,6,44
2,7,4,6,44
1,5,4,2,5
2,9,8,9,42
1,2,8,9,19
2,2,8,9,19
1,2,6,4,18
2,2,8,9,19
1,2,6,2,23
2,2,6,2,23
1,2,6,4,18
2,9,5,6,17
1,8,2,2,14
2,5,1,2,4
1,3,2,5,13
2,2,6,0,23
1,8,7,0,27
2,7,7,0,52
1,2,6,0,23
2,3,4,6,9
1,10,3,8,3
2,3,2,5,12
1,9,5,6,39
2,6,5,3,43
1,4,1,1,15
2,10,3,8,34
