truth,kmeans_plus,hclust,gmm,dbscan
1,5,1,0,1
1,5,1,0,1
1,5,1,0,1
1,5,1,0,1
1,5,1,0,1
1,5,1,0,1
1,5,1,0,1
1,5,1,0,1
1,5,1,0,1
1,5,1,0,1
1,5,1,0,1
1,5,1,0,1
1,5,1,0,1
1,5,1,0,1
1,5,1,0,1
1,5,1,0,1
1,5,1,0,1
1,5,1,0,1
1,5,1,0,1
1,5,1,0,1
1,5,1,0,1
1,5,1,0,1
1,5,1,0,1
1,5,1,0,1
1,5,1,0,1
1,5,1,0,1
1,5,1,0,1
1,5,1,0,1
1,5,1,0,1
1,5,1,0,1
1,5,1,0,1
1,5,1,0,1
2,3,2,1,2
2,3,2,1,2
2,3,2,1,2
2,3,2,1,2
2,3,2,1,2
2,3,2,1,2
2,3,2,1,2
2,3,2,1,2
2,3,2,1,2
2,3,2,1,2
2,3,2,1,2
2,3,2,1,2
2,3,2,1,2
2,3,2,1,2
2,3,2,1,2
2,3,2,1,2
2,3,2,1,2
2,3,2,1,2
2,3,2,1,2
2,3,2,1,2
2,3,2,1,2
2,3,2,1,2
2,3,2,1,2
2,3,2,1,2
2,3,2,1,2
2,3,2,1,2
2,3,2,1,2
2,3,2,1,2
2,3,2,1,2
2,3,2,1,2
3,2,3,1,3
3,2,3,1,3
3,2,3,1,3
3,2,3,1,3
3,2,3,1,3
3,2,3,1,3
3,2,3,1,3
3,2,3,1,3
3,2,3,1,3
3,2,3,1,3
3,2,3,1,3
3,2,3,1,3
3,2,3,1,3
3,2,3,1,3
3,2,3,1,3
3,2,3,1,3
3,2,3,1,3
3,2,3,1,3
3,2,3,1,3
3,2,3,1,3
3,2,3,1,3
3,2,3,1,3
3,2,3,1,3
3,2,3,1,3
3,2,3,1,3
3,2,3,1,3
3,2,3,1,3
3,2,3,1,3
3,2,3,1,3
3,2,3,1,3
4,1,4,0,4
4,1,4,0,4
4,1,4,0,4
4,1,4,0,4
4,1,4,0,4
4,1,4,0,4
4,1,4,0,4
4,1,4,0,4
4,1,4,0,4
4,1,4,0,4
4,1,4,0,4
4,1,4,0,4
4,1,4,0,4
4,1,4,0,4
4,1,4,0,4
4,1,4,0,4
4,1,4,0,4
4,1,4,0,4
4,1,4,0,4
4,1,4,0,4
4,1,4,0,4
4,1,4,0,4
4,1,4,0,4
4,1,4,0,4
4,1,4,0,4
4,1,4,0,4
4,1,4,0,4
4,1,4,0,4
4,1,4,0,4
4,1,4,0,4
5,7,5,0,5
5,7,5,0,5
5,7,5,0,5
5,7,5,0,5
5,7,5,0,5
5,7,5,0,5
5,7,5,0,5
5,7,5,0,5
5,7,5,0,5
5,7,5,0,5
5,7,5,0,5
5,7,5,0,5
5,7,5,0,5
5,7,5,0,5
5,7,5,0,5
5,7,5,0,5
5,7,5,0,5
5,7,5,0,5
5,7,5,0,5
5,7,5,0,5
5,7,5,0,5
5,7,5,0,5
5,7,5,0,5
5,7,5,0,5
5,7,5,0,5
5,7,5,0,5
5,7,5,0,5
5,7,5,0,5
5,7,5,0,5
5,7,5,0,5
6,4,6,1,6
6,4,6,1,6
6,4,6,1,6
6,4,6,1,6
6,4,6,1,6
6,4,6,1,6
6,4,6,1,6
6,4,6,1,6
6,4,6,1,6
6,4,6,1,6
6,4,6,1,6
6,4,6,1,6
6,4,6,1,6
6,4,6,1,6
6,4,6,1,6
6,4,6,1,6
6,4,6,1,6
6,4,6,1,6
6,4,6,1,6
6,4,6,1,6
6,4,6,1,6
6,4,6,1,6
6,4,6,1,6
6,4,6,1,6
6,4,6,1,6
6,4,6,1,6
6,4,6,1,6
6,4,6,1,6
6,4,6,1,6
6,4,6,1,6
7,6,7,1,7
7,6,7,1,7
7,6,7,1,7
7,6,7,1,7
7,6,7,1,7
7,6,7,1,7
7,6,7,1,7
7,6,7,1,7
7,6,7,1,7
7,6,7,1,7
7,6,7,1,7
7,6,7,1,7
7,6,7,1,7
7,6,7,1,7
7,6,7,1,7
7,6,7,1,7
7,6,7,1,7
7,6,7,1,7
7,6,7,1,7
7,6,7,1,7
7,6,7,1,7
7,6,7,1,7
7,6,7,1,7
7,6,7,1,7
7,6,7,1,7
7,6,7,1,7
7,6,7,1,7
7,6,7,1,7
7,6,7,1,7
7,6,7,1,7
