truth,kmeans_plus,hclust,gmm,dbscan
1,6,1,9,1
1,6,1,9,1
1,6,1,9,1
1,6,1,9,1
1,6,1,9,1
1,6,1,9,1
1,6,1,9,1
1,6,1,9,1
1,6,1,9,1
1,6,1,9,1
1,6,1,9,1
1,6,1,9,1
1,6,1,9,1
1,6,1,9,1
1,6,1,9,1
1,6,1,9,1
1,6,1,9,1
1,6,1,9,1
1,6,1,9,1
1,6,1,9,1
1,6,1,9,1
1,6,1,9,1
1,6,1,9,1
1,6,1,9,1
1,6,1,9,1
1,6,1,9,1
1,6,1,9,1
1,6,1,9,1
1,6,1,9,1
1,6,1,9,1
1,6,1,9,1
1,6,1,9,1
2,4,2,1,2
2,4,2,1,2
2,4,2,1,2
2,4,2,1,2
2,4,2,1,2
2,4,2,1,2
2,4,2,1,2
2,4,2,1,2
2,4,2,1,2
2,4,2,1,2
2,4,2,1,2
2,4,2,1,2
2,4,2,1,2
2,4,2,1,2
2,4,2,1,2
2,4,2,1,2
2,4,2,1,2
2,4,2,1,2
2,4,2,1,2
2,4,2,1,2
2,4,2,1,2
2,4,2,1,2
2,4,2,1,2
2,4,2,1,2
2,4,2,1,2
2,4,2,1,2
2,4,2,1,2
2,4,2,1,2
2,4,2,1,2
2,4,2,1,2
3,7,3,3,3
3,7,3,3,3
3,7,3,6,3
3,7,3,6,3
3,7,3,6,3
3,7,3,3,3
3,7,3,3,3
3,7,3,6,3
3,7,3,6,3
3,7,3,3,3
3,7,3,6,3
3,7,3,3,3
3,7,3,3,3
3,7,3,3,3
3,7,3,3,3
3,7,3,3,3
3,7,3,6,3
3,7,3,3,3
3,7,3,3,3
3,7,3,3,3
3,7,3,3,3
3,7,3,6,3
3,7,3,6,3
3,7,3,3,3
3,7,3,3,3
3,7,3,6,3
3,7,3,3,3
3,7,3,6,3
3,7,3,6,3
3,7,3,3,3
4,3,4,5,4
4,3,4,5,4
4,3,4,5,4
4,3,4,5,4
4,3,4,5,4
4,3,4,5,4
4,3,4,5,4
4,3,4,5,4
4,3,4,5,4
4,3,4,5,4
4,3,4,5,4
4,3,4,5,4
4,3,4,5,4
4,3,4,5,4
4,3,4,5,4
4,3,4,5,4
4,3,4,5,4
4,3,4,5,4
4,3,4,5,4
4,3,4,5,4
4,3,4,5,4
4,3,4,5,4
4,3,4,5,4
4,3,4,5,4
4,3,4,5,4
4,3,4,5,4
4,3,4,5,4
4,3,4,5,4
4,3,4,5,4
4,3,4,5,4
5,1,5,0,5
5,1,5,0,5
5,1,5,0,5
5,1,5,8,5
5,1,5,0,5
5,1,5,0,5
5,1,5,0,5
5,1,5,2,5
5,1,5,2,5
5,1,5,0,5
5,1,5,8,5
5,1,5,0,5
5,1,5,0,5
5,1,5,0,5
5,1,5,0,5
5,1,5,0,5
5,1,5,0,5
5,1,5,0,5
5,1,5,2,5
5,1,5,0,5
5,1,5,0,5
5,1,5,0,5
5,1,5,0,5
5,1,5,0,5
5,1,5,8,5
5,1,5,0,5
5,1,5,0,5
5,1,5,0,5
5,1,5,0,5
5,1,5,2,5
6,2,6,7,6
6,2,6,7,6
6,2,6,7,6
6,2,6,7,6
6,2,6,7,6
6,2,6,7,6
6,2,6,7,6
6,2,6,7,6
6,2,6,7,6
6,2,6,7,6
6,2,6,7,6
6,2,6,7,6
6,2,6,7,6
6,2,6,7,6
6,2,6,7,6
6,2,6,7,6
6,2,6,7,6
6,2,6,7,6
6,2,6,7,6
6,2,6,7,6
6,2,6,7,6
6,2,6,7,6
6,2,6,7,6
6,2,6,7,6
6,2,6,7,6
6,2,6,7,6
6,2,6,7,6
6,2,6,7,6
6,2,6,7,6
6,2,6,7,6
7,5,7,4,7
7,5,7,4,7
7,5,7,4,7
7,5,7,4,7
7,5,7,4,7
7,5,7,4,7
7,5,7,4,7
7,5,7,4,7
7,5,7,4,7
7,5,7,4,7
7,5,7,4,7
7,5,7,4,7
7,5,7,4,7
7,5,7,4,7
7,5,7,4,7
7,5,7,4,7
7,5,7,4,7
7,5,7,4,7
7,5,7,4,7
7,5,7,4,7
7,5,7,4,7
7,5,7,4,7
7,5,7,4,7
7,5,7,4,7
7,5,7,4,7
7,5,7,4,7
7,5,7,4,7
7,5,7,4,7
7,5,7,4,7
7,5,7,4,7
