truth,kmeans_plus,hclust,gmm,dbscan
1,4,1,0,1
1,1,2,0,1
1,1,2,0,1
1,4,3,0,1
1,1,2,0,1
1,4,1,0,1
1,4,3,0,1
1,4,1,0,1
1,4,1,0,1
1,1,4,0,1
1,1,4,0,1
1,4,1,0,1
1,4,1,0,1
1,1,2,0,1
1,1,4,0,1
1,4,1,0,1
1,1,4,0,1
1,1,3,0,1
1,1,4,0,1
1,1,3,0,1
1,1,2,0,1
1,4,1,0,1
1,1,4,0,1
1,1,4,0,1
1,1,4,0,1
1,1,4,0,1
1,4,1,0,1
1,4,1,0,1
1,4,1,0,1
1,4,1,0,1
1,4,1,0,1
1,4,1,0,1
1,1,4,0,1
1,4,1,0,1
1,4,3,0,1
1,4,1,0,1
1,1,2,0,1
1,1,2,0,1
1,4,1,0,1
1,1,4,0,1
1,4,1,0,1
1,1,4,0,1
1,1,2,0,1
1,4,1,0,1
1,1,4,0,1
1,1,4,0,1
1,1,4,0,1
1,4,3,0,1
1,4,3,0,1
1,4,3,0,1
1,1,2,0,1
1,4,3,0,1
1,4,1,0,1
1,1,3,0,1
1,1,3,0,1
1,4,1,0,1
1,1,4,0,1
1,4,3,0,1
1,1,4,0,1
1,1,2,0,1
1,4,3,0,1
1,1,4,0,1
1,4,1,0,1
1,1,4,0,1
1,4,1,0,1
1,1,2,0,1
1,1,4,0,1
1,1,4,0,1
1,1,2,0,1
1,1,2,0,1
1,1,4,0,1
1,1,2,0,1
1,1,3,0,1
1,4,1,0,1
1,1,4,0,1
1,4,1,0,1
1,4,1,0,1
1,1,2,0,1
1,1,4,0,1
1,1,3,0,1
1,4,3,0,1
1,1,4,0,1
1,1,4,0,1
1,1,4,0,1
1,4,1,0,1
1,4,1,0,1
1,4,1,0,1
1,1,4,0,1
1,4,1,0,1
1,1,2,0,1
1,1,4,0,1
1,4,1,0,1
1,1,4,0,1
1,1,2,0,1
1,1,4,0,1
1,4,1,0,1
1,1,4,0,1
1,1,3,0,1
1,4,1,0,1
1,4,1,0,1
1,4,1,0,1
1,4,1,0,1
1,1,2,0,1
1,4,1,0,1
1,1,3,0,1
1,4,1,0,1
1,1,4,0,1
1,1,4,0,1
1,4,1,0,1
1,4,1,0,1
1,1,2,0,1
1,1,3,0,1
1,1,4,0,1
1,4,1,0,1
1,1,2,0,1
1,1,4,0,1
1,1,3,0,1
1,4,3,0,1
1,1,2,0,1
1,1,4,0,1
1,4,1,0,1
1,1,2,0,1
1,1,4,0,1
1,1,3,0,1
1,4,1,0,1
1,1,4,0,1
1,1,3,0,1
1,1,2,0,1
1,1,2,0,1
1,1,4,0,1
1,1,4,0,1
1,4,1,0,1
1,1,3,0,1
1,1,3,0,1
1,1,4,0,1
1,1,2,0,1
1,1,4,0,1
1,4,1,0,1
1,4,1,0,1
1,4,1,0,1
1,4,1,0,1
1,1,2,0,1
1,1,3,0,1
1,4,1,0,1
1,4,3,0,1
1,1,3,0,1
1,1,3,0,1
1,4,1,0,1
1,4,1,0,1
1,1,4,0,1
1,4,3,0,1
1,4,1,0,1
1,1,2,0,1
1,1,4,0,1
1,1,4,0,1
1,1,2,0,1
1,1,2,0,1
1,4,1,0,1
1,1,4,0,1
1,1,4,0,1
1,1,4,0,1
1,1,2,0,1
1,1,4,0,1
1,4,1,0,1
1,4,3,0,1
1,1,4,0,1
1,4,1,0,1
1,4,1,0,1
1,4,1,0,1
1,1,4,0,1
1,1,4,0,1
1,4,1,0,1
1,1,4,0,1
1,1,4,0,1
1,4,1,0,1
1,1,2,0,1
1,1,3,0,1
1,4,1,0,1
1,4,1,0,1
1,1,3,0,1
1,4,1,0,1
1,4,1,0,1
1,1,4,0,1
1,4,1,0,1
1,1,4,0,1
1,4,1,0,1
1,1,4,0,1
1,1,4,0,1
1,1,4,0,1
1,1,2,0,1
1,4,1,0,1
1,4,1,0,1
1,1,4,0,1
1,1,2,0,1
1,1,4,0,1
1,4,1,0,1
1,1,4,0,1
1,1,2,0,1
1,4,3,0,1
1,1,4,0,1
2,3,5,2,2
2,3,6,2,2
2,3,6,2,2
2,3,5,2,2
2,1,6,2,2
2,3,5,2,2
2,1,6,2,2
2,3,7,2,2
2,3,5,2,2
2,3,7,2,2
2,3,5,2,2
2,1,6,2,2
2,3,5,2,2
2,3,7,2,2
2,3,7,2,2
2,3,5,2,2
2,3,5,2,2
2,1,6,2,2
2,3,7,2,2
2,3,5,2,2
2,1,6,2,2
2,3,5,2,2
2,3,7,2,2
2,3,5,2,2
2,3,5,2,2
2,3,7,2,2
2,3,7,2,2
2,3,5,2,2
2,1,6,2,2
2,3,7,2,2
2,3,6,2,2
2,1,6,2,2
2,3,5,2,2
2,3,5,2,2
2,3,7,2,2
2,3,5,2,2
2,3,7,2,2
2,3,7,2,2
2,3,6,2,2
2,3,7,2,2
2,3,6,2,2
2,1,6,2,2
2,3,5,2,2
2,3,7,2,2
2,3,5,2,2
2,3,7,2,2
2,3,5,2,2
2,3,5,2,2
2,3,7,2,2
2,3,5,2,2
2,1,6,2,2
2,3,7,2,2
2,3,5,2,2
2,3,6,2,2
2,3,7,2,2
2,3,5,2,2
2,1,6,2,2
2,3,7,2,2
2,1,6,2,2
2,3,5,2,2
2,1,6,2,2
2,1,6,2,2
2,3,5,2,2
2,3,7,2,2
2,3,6,2,2
2,1,6,2,2
2,1,6,2,2
2,1,6,2,2
2,1,6,2,2
2,1,6,2,2
2,3,5,2,2
2,3,7,2,2
2,1,6,2,2
2,3,7,2,2
2,3,5,2,2
2,3,7,2,2
2,3,5,2,2
2,1,6,2,2
2,3,7,2,2
2,3,6,2,2
2,3,5,2,2
2,1,6,2,2
2,1,6,2,2
2,3,5,2,2
2,3,7,2,2
2,3,5,2,2
2,1,6,2,2
2,3,7,2,2
2,3,7,2,2
2,3,7,2,2
2,3,5,2,2
2,3,5,2,2
2,3,5,2,2
2,1,6,2,2
2,3,5,2,2
2,3,5,2,2
2,3,5,2,2
2,1,6,2,2
2,1,6,2,2
2,3,5,2,2
3,2,8,1,3
3,2,9,1,3
3,2,9,1,3
3,2,9,1,3
3,2,10,1,3
3,2,8,1,3
3,2,9,1,3
3,2,9,1,3
3,2,9,1,3
3,2,9,1,3
3,2,9,1,3
3,2,9,1,3
3,2,9,1,3
3,2,9,1,3
3,2,9,1,3
3,2,9,1,3
3,2,9,1,3
3,2,9,1,3
3,2,9,1,3
3,2,9,1,3
3,2,9,1,3
3,2,8,1,3
3,2,9,1,3
3,2,8,1,3
3,2,9,1,3
3,2,9,1,3
3,2,9,1,3
3,2,9,1,3
3,2,8,1,3
3,2,9,1,3
3,2,9,1,3
3,2,9,1,3
3,2,8,1,3
3,2,9,1,3
3,2,9,1,3
3,2,9,1,3
3,2,10,1,3
3,2,9,1,3
3,2,9,1,3
3,2,9,1,3
3,2,9,1,3
3,2,9,1,3
3,2,9,1,3
3,2,9,1,3
3,2,9,1,3
3,2,9,1,3
3,2,9,1,3
3,2,9,1,3
3,2,9,1,3
3,2,9,1,3
3,2,9,1,3
3,2,9,1,3
3,2,9,1,3
3,2,8,1,3
3,2,9,1,3
3,2,9,1,3
3,2,9,1,3
3,2,9,1,3
3,2,9,1,3
3,2,9,1,3
3,2,9,1,3
3,2,9,1,3
3,2,9,1,3
3,2,9,1,3
3,2,9,1,3
3,2,9,1,3
3,2,9,1,3
3,2,8,1,3
3,2,9,1,3
3,2,9,1,3
3,2,9,1,3
3,2,9,1,3
3,2,9,1,3
3,2,9,1,3
3,2,9,1,3
3,2,9,1,3
3,2,9,1,3
