truth,kmeans_plus,hclust,gmm,dbscan
5,6,1,1,2
4,1,2,2,2
6,2,3,1,2
3,5,4,2,2
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
1,3,5,3,1
