truth,kmeans_plus,hclust,gmm,dbscan
5,4,1,4,2
4,8,2,5,4
6,3,2,4,3
3,7,2,0,3
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
1,6,2,7,1
