truth,kmeans_plus,hclust,gmm,dbscan
1,2,1,0,1
1,2,1,0,2
1,2,1,0,2
1,2,1,0,2
1,8,1,0,15
1,8,1,0,15
1,8,2,0,12
1,8,2,0,3
1,8,2,0,3
1,8,2,0,3
1,8,2,0,3
1,2,1,0,1
1,2,1,0,1
1,2,1,0,2
1,2,1,0,2
1,2,1,0,2
1,8,1,0,15
1,8,1,0,15
1,8,2,0,12
1,8,2,0,3
1,8,2,0,3
1,8,2,0,3
1,2,3,0,42
1,2,1,0,43
1,2,1,0,1
1,2,1,0,4
1,2,1,0,4
1,6,1,0,4
1,6,1,0,15
1,8,2,0,14
1,8,2,0,12
1,8,2,0,3
1,8,2,0,3
1,9,3,0,44
1,2,3,0,45
1,2,1,0,46
1,2,1,0,18
1,2,1,0,4
1,6,1,0,4
1,6,1,0,4
1,6,1,0,14
1,8,2,0,14
1,8,2,0,47
1,8,2,0,3
1,9,3,0,48
1,9,3,0,49
1,9,3,0,50
1,2,1,0,18
1,2,1,0,18
1,2,1,0,4
1,6,1,0,4
1,6,1,0,4
1,6,2,0,14
1,8,2,0,14
1,8,2,0,51
1,5,3,0,52
1,9,3,0,6
1,9,3,0,53
1,9,4,0,54
1,9,1,0,18
1,2,1,0,18
1,6,5,0,7
1,6,5,0,5
1,6,5,0,5
1,6,5,0,55
1,8,2,0,14
1,5,3,1,9
1,5,3,1,6
1,9,3,1,6
1,9,3,0,56
1,9,4,0,16
1,9,4,0,57
1,6,4,0,7
1,6,5,0,7
1,6,5,0,5
1,6,5,0,8
1,6,5,0,58
1,5,3,1,9
1,5,3,1,9
1,5,3,1,17
1,9,3,1,20
1,9,4,0,19
1,9,4,0,16
1,9,4,0,10
1,6,5,0,7
1,6,5,0,7
1,6,5,0,8
1,6,5,0,8
1,5,3,1,13
1,5,3,1,13
1,5,3,1,11
1,5,3,1,17
1,9,3,1,20
1,9,4,0,19
1,9,4,0,10
1,9,4,0,10
1,6,4,0,7
1,6,5,0,59
1,6,5,0,8
1,5,3,1,60
1,5,3,1,13
1,5,3,1,13
1,5,3,1,11
1,5,4,1,11
1,9,4,0,61
1,9,4,0,62
1,9,4,0,10
1,9,4,0,10
1,1,5,0,7
1,1,5,0,63
1,5,3,1,64
1,5,3,1,65
1,5,3,1,13
1,5,3,1,13
1,5,3,1,11
1,5,4,0,11
1,9,4,0,66
1,9,4,0,67
1,9,4,0,10
1,1,5,0,10
1,1,5,0,68
1,2,1,0,2
1,6,5,0,69
1,6,5,0,8
1,9,4,0,16
1,8,2,0,12
1,5,3,1,13
1,2,1,0,2
1,8,2,0,12
1,8,2,0,14
1,6,5,0,8
1,2,1,0,1
1,2,1,0,4
1,9,3,0,70
1,8,2,0,3
1,1,5,0,10
1,8,2,0,3
1,5,3,1,9
1,9,4,0,10
1,5,3,1,71
1,6,5,0,8
1,6,5,0,5
1,9,4,0,72
1,6,5,0,8
1,5,3,1,9
1,9,4,0,73
1,9,3,1,6
1,6,5,0,7
1,2,1,0,4
1,8,2,0,3
1,9,4,0,10
1,2,5,0,4
1,5,3,1,74
1,8,2,0,12
1,9,3,1,6
1,9,4,0,10
1,2,1,0,75
1,2,3,0,76
1,5,3,1,11
1,2,1,0,77
1,9,3,1,6
1,8,1,0,15
1,2,3,0,78
1,5,3,1,9
1,6,1,0,4
1,6,5,0,7
1,5,3,1,6
1,9,4,0,16
1,5,4,0,11
1,6,1,0,4
1,5,4,1,11
1,9,3,1,6
1,6,5,0,7
1,6,1,0,4
1,6,1,0,4
1,9,4,0,16
1,2,1,0,18
1,6,5,0,79
1,9,4,0,16
1,9,4,0,11
1,8,2,0,14
1,9,4,0,10
1,8,2,0,14
1,5,3,1,9
1,6,5,0,7
1,9,4,0,80
1,5,3,1,11
1,5,3,1,9
1,2,1,0,4
1,8,2,0,3
1,9,4,0,16
1,2,1,0,18
1,6,5,0,8
1,9,4,0,81
1,5,3,1,11
1,6,1,0,4
1,9,3,0,82
1,5,3,1,13
1,9,3,1,6
1,5,3,1,13
1,9,4,0,83
1,5,3,1,17
1,8,2,0,3
1,2,1,0,2
1,2,3,0,84
1,9,3,0,85
1,8,2,0,3
1,9,4,0,10
1,9,4,0,10
1,8,2,0,86
1,2,1,0,87
1,2,1,0,2
1,2,1,0,1
1,9,4,0,10
1,8,2,0,3
1,9,4,0,19
1,2,1,0,88
1,1,5,0,7
1,9,3,1,89
1,6,5,0,90
1,5,3,1,13
1,5,3,1,13
1,5,3,1,17
1,5,3,1,11
1,5,3,1,9
1,6,5,0,8
1,6,5,0,5
1,2,1,0,1
1,6,5,0,7
1,6,5,0,8
1,5,3,1,13
1,8,2,0,14
1,5,3,0,6
1,2,1,0,4
1,8,2,0,12
1,9,4,0,91
1,8,2,0,3
1,6,5,0,8
1,9,3,1,6
1,9,4,0,10
1,5,3,1,92
1,2,1,0,93
1,9,3,1,94
1,8,2,0,3
1,2,1,0,2
1,5,3,1,11
1,8,2,0,3
1,8,2,0,3
1,5,3,1,13
1,5,3,1,13
1,6,5,0,95
1,8,2,0,14
1,9,4,0,19
1,9,4,0,96
1,5,3,1,11
1,6,5,0,5
1,2,1,0,18
1,6,5,0,8
1,6,5,0,8
1,6,2,0,14
1,8,2,0,3
1,9,4,0,19
1,5,3,1,97
1,2,1,0,2
1,8,1,0,15
1,5,3,1,11
1,8,2,0,12
1,6,5,0,8
1,9,3,0,98
1,6,1,0,15
1,6,5,0,5
1,2,1,0,4
1,6,2,0,14
1,2,3,0,99
1,5,4,1,11
1,6,5,0,8
1,2,1,0,4
1,9,3,1,20
1,9,4,0,100
1,8,2,0,3
1,6,5,0,8
1,6,1,0,4
1,1,5,0,7
1,5,3,1,17
1,6,1,0,4
1,9,4,0,19
1,6,5,0,5
1,9,3,0,101
1,6,5,0,8
1,2,1,0,2
1,6,5,0,7
1,6,5,0,5
1,9,4,0,102
1,2,1,0,4
1,2,1,0,1
1,6,5,0,7
1,2,1,0,18
1,8,2,0,3
1,2,1,0,2
1,8,1,0,15
1,8,2,0,3
1,8,2,0,3
1,8,2,0,3
1,2,1,0,18
1,2,1,0,2
1,6,1,0,4
1,8,2,0,3
1,9,3,1,6
1,8,1,0,15
1,8,1,0,15
1,8,1,0,15
1,6,5,0,7
1,9,3,1,20
1,5,3,1,17
1,5,3,1,11
1,6,5,0,7
1,8,2,0,3
1,6,5,0,7
1,8,2,0,3
1,6,5,0,5
1,6,5,0,103
1,8,2,0,3
1,9,3,0,104
1,6,1,0,4
1,6,1,0,4
1,5,3,1,13
1,9,4,0,105
1,2,1,0,4
1,5,3,1,106
1,5,3,1,17
1,5,3,1,11
1,6,5,0,8
1,2,1,0,4
1,5,3,1,107
1,9,4,0,10
1,2,1,0,18
1,9,3,0,108
1,5,3,1,13
1,9,4,0,109
