truth,kmeans_plus,hclust,gmm,dbscan
1,2,1,1,1
1,2,1,1,2
1,2,1,1,2
1,2,1,1,2
1,2,1,1,15
1,2,1,1,15
1,2,1,1,12
1,2,1,1,3
1,2,1,1,3
1,2,1,1,3
1,2,1,1,3
1,2,1,1,1
1,2,1,1,1
1,2,1,1,2
1,2,1,1,2
1,2,1,1,2
1,2,1,1,15
1,2,1,1,15
1,2,1,1,12
1,2,1,1,3
1,2,1,1,3
1,2,1,1,3
1,2,1,1,42
1,2,1,1,43
1,2,1,1,1
1,2,1,1,4
1,2,1,1,4
1,2,1,1,4
1,2,1,1,15
1,2,1,1,14
1,2,1,1,12
1,2,1,1,3
1,2,1,1,3
1,2,1,1,44
1,2,1,1,45
1,2,1,1,46
1,2,1,1,18
1,2,1,1,4
1,2,1,1,4
1,2,1,1,4
1,2,1,1,14
1,2,1,1,14
1,2,1,1,47
1,2,1,1,3
1,2,1,1,48
1,2,1,1,49
1,2,1,1,50
1,2,1,1,18
1,2,1,1,18
1,2,1,1,4
1,2,1,1,4
1,2,1,1,4
1,2,1,1,14
1,2,1,1,14
1,2,1,1,51
1,2,1,1,52
1,2,1,1,6
1,2,1,1,53
1,2,1,1,54
1,2,1,1,18
1,2,1,1,18
1,2,1,1,7
1,2,1,1,5
1,2,1,1,5
1,2,1,1,55
1,2,1,1,14
1,2,1,1,9
1,2,1,1,6
1,2,1,1,6
1,2,1,1,56
1,2,1,1,16
1,2,1,1,57
1,2,1,1,7
1,2,1,1,7
1,2,1,1,5
1,2,1,1,8
1,2,1,1,58
1,2,1,1,9
1,2,1,1,9
1,2,1,1,17
1,2,1,1,20
1,2,1,1,19
1,2,1,1,16
1,2,1,1,10
1,2,1,1,7
1,2,1,1,7
1,2,1,1,8
1,2,1,1,8
1,2,1,1,13
1,2,1,1,13
1,2,1,1,11
1,2,1,1,17
1,2,1,1,20
1,2,1,1,19
1,2,1,1,10
1,2,1,1,10
1,2,1,1,7
1,2,1,1,59
1,2,1,1,8
1,2,1,1,60
1,2,1,1,13
1,2,1,1,13
1,2,1,1,11
1,2,1,1,11
1,2,1,1,61
1,2,1,1,62
1,2,1,1,10
1,2,1,1,10
1,2,1,1,7
1,2,1,1,63
1,2,1,1,64
1,2,1,1,65
1,2,1,1,13
1,2,1,1,13
1,2,1,1,11
1,2,1,1,11
1,2,1,1,66
1,2,1,1,67
1,2,1,1,10
1,2,1,1,10
1,2,1,1,68
1,2,1,1,2
1,2,1,1,69
1,2,1,1,8
1,2,1,1,16
1,2,1,1,12
1,2,1,1,13
1,2,1,1,2
1,2,1,1,12
1,2,1,1,14
1,2,1,1,8
1,2,1,1,1
1,2,1,1,4
1,2,1,1,70
1,2,1,1,3
1,2,1,1,10
1,2,1,1,3
1,2,1,1,9
1,2,1,1,10
1,2,1,1,71
1,2,1,1,8
1,2,1,1,5
1,2,1,1,72
1,2,1,1,8
1,2,1,1,9
1,2,1,1,73
1,2,1,1,6
1,2,1,1,7
1,2,1,1,4
1,2,1,1,3
1,2,1,1,10
1,2,1,1,4
1,2,1,1,74
1,2,1,1,12
1,2,1,1,6
1,2,1,1,10
1,2,1,1,75
1,2,1,1,76
1,2,1,1,11
1,2,1,1,77
1,2,1,1,6
1,2,1,1,15
1,2,1,1,78
1,2,1,1,9
1,2,1,1,4
1,2,1,1,7
1,2,1,1,6
1,2,1,1,16
1,2,1,1,11
