truth,kmeans_plus,hclust,gmm,dbscan
1,2,1,3,7
1,2,1,3,7
1,2,1,3,1
1,2,1,3,3
1,2,1,3,3
1,2,1,0,3
1,2,2,0,3
1,1,2,0,5
1,1,2,0,33
1,1,2,0,34
1,1,2,1,35
1,1,2,1,36
1,1,2,1,37
2,1,3,1,8
2,1,3,1,8
2,1,3,1,2
2,1,3,1,4
2,1,3,1,4
2,1,3,2,4
2,1,4,2,4
2,2,4,2,6
2,2,4,2,38
2,2,4,2,39
2,2,4,3,40
2,2,4,3,7
2,2,4,3,7
1,2,1,3,1
2,1,3,1,2
1,2,1,3,3
2,1,3,1,4
1,2,2,0,5
2,1,4,2,6
1,2,1,3,3
2,1,3,1,4
1,2,1,3,1
2,1,3,1,2
1,1,2,0,5
2,2,4,2,6
1,2,1,0,3
2,1,3,2,4
1,2,1,3,1
2,1,3,1,2
1,2,1,0,3
2,1,3,2,4
1,2,1,0,3
2,1,3,2,4
1,1,2,0,5
2,2,4,2,6
1,2,1,0,3
2,1,3,2,4
1,2,1,0,3
2,1,3,2,4
1,2,1,3,3
2,1,3,1,4
1,1,2,1,41
2,2,4,3,7
1,2,1,3,1
2,1,3,1,2
1,2,1,0,3
2,1,3,2,4
1,1,2,0,42
2,2,4,2,43
1,2,1,3,7
2,1,3,1,8
1,2,1,3,7
2,1,3,1,8
1,2,1,3,1
2,1,3,1,2
1,2,1,3,1
2,1,3,1,2
1,1,2,0,44
2,2,4,2,45
1,2,1,3,7
2,1,3,1,8
1,1,2,0,5
2,2,4,2,6
1,2,1,0,3
2,1,3,2,4
1,2,1,3,1
2,1,3,1,2
1,2,1,3,3
2,1,3,1,4
1,1,2,1,46
2,2,4,3,47
1,2,1,0,3
2,1,3,2,4
1,1,2,1,48
2,2,4,3,49
1,2,1,3,1
2,1,3,1,2
1,2,1,3,3
2,1,3,1,4
1,1,2,1,50
2,2,4,3,7
1,2,1,3,1
2,1,3,1,2
1,2,1,3,1
2,1,3,1,2
1,2,1,0,3
2,1,3,2,4
1,2,1,0,3
2,1,3,2,4
1,2,1,3,1
2,1,3,1,2
1,2,2,0,3
2,1,4,2,4
1,2,1,0,3
2,1,3,2,4
1,1,2,0,51
2,2,4,2,52
1,1,2,0,53
2,2,4,2,54
1,2,1,3,7
2,1,3,1,8
1,1,2,0,55
2,2,4,2,56
1,2,1,3,1
2,1,3,1,2
1,2,2,0,3
2,1,4,2,4
1,2,1,3,1
2,1,3,1,2
1,1,2,0,57
2,2,4,2,58
1,2,1,0,3
2,1,3,2,4
1,2,1,3,7
2,1,3,1,8
1,2,1,0,3
2,1,3,2,4
1,2,1,3,1
2,1,3,1,2
1,2,1,3,7
2,1,3,1,8
1,2,1,3,1
2,1,3,1,2
1,2,1,0,3
2,1,3,2,4
1,2,1,3,1
2,1,3,1,2
1,2,2,0,5
2,1,4,2,6
1,2,2,0,5
2,1,4,2,6
1,2,2,0,5
2,1,4,2,6
1,2,1,3,3
2,1,3,1,4
1,2,1,0,3
2,1,3,2,4
1,2,2,0,3
2,1,4,2,4
1,2,1,0,3
2,1,3,2,4
1,2,1,0,3
2,1,3,2,4
1,2,2,0,5
2,1,4,2,6
1,2,1,3,3
2,1,3,1,4
1,2,1,3,7
2,1,3,1,8
1,2,1,3,3
2,1,3,1,4
1,2,1,3,3
2,1,3,1,4
1,2,1,3,1
2,1,3,1,2
1,2,1,3,1
2,1,3,1,2
1,2,1,3,1
2,1,3,1,2
1,2,1,3,7
2,1,3,1,8
1,2,1,3,7
2,1,3,1,8
1,1,2,0,59
2,2,4,2,60
1,2,1,3,3
2,1,3,1,4
1,2,1,3,1
2,1,3,1,2
1,2,1,0,3
2,1,3,2,4
1,2,1,3,3
2,1,3,1,4
1,2,2,0,5
2,1,4,2,6
1,2,1,0,3
2,1,3,2,4
1,2,1,3,3
2,1,3,1,4
1,2,1,0,3
2,1,3,2,4
1,1,2,0,61
2,2,4,2,62
1,2,1,3,7
2,1,3,1,8
1,2,2,0,5
2,1,4,2,6
1,2,1,3,3
2,1,3,1,4
1,2,1,3,7
1,2,1,3,1
1,2,1,3,1
1,2,1,3,3
1,2,1,3,3
1,2,1,0,3
1,2,2,0,3
1,2,2,0,5
1,1,2,0,63
1,1,2,0,64
1,1,2,0,65
1,1,2,0,66
1,1,2,0,67
2,1,3,1,8
2,1,3,1,2
2,1,3,1,2
2,1,3,1,4
2,1,3,1,4
2,1,3,2,4
2,1,4,2,4
2,1,4,2,6
2,2,4,2,68
2,2,4,2,69
2,2,4,2,70
2,2,4,2,7
2,2,4,2,7
1,2,1,3,1
2,1,3,1,2
1,2,2,0,3
2,1,4,2,4
1,2,1,3,1
2,1,3,1,2
1,2,1,3,1
2,1,3,1,2
1,2,1,0,3
2,1,3,2,4
1,2,1,3,1
2,1,3,1,2
1,2,1,3,3
2,1,3,1,4
1,2,1,0,3
2,1,3,2,4
1,2,1,3,7
2,1,3,1,8
1,2,1,3,1
2,1,3,1,2
1,2,1,0,3
2,1,3,2,4
1,2,1,3,3
2,1,3,1,4
1,2,1,3,1
2,1,3,1,2
1,2,1,3,3
2,1,3,1,4
1,1,2,0,71
2,2,4,2,72
1,2,1,3,1
2,1,3,1,2
1,2,1,3,1
2,1,3,1,2
1,2,1,3,3
2,1,3,1,4
1,2,1,0,3
2,1,3,2,4
1,2,2,0,9
2,1,4,2,10
1,2,1,3,1
2,1,3,1,2
1,2,1,3,7
2,1,3,1,8
1,2,1,3,3
2,1,3,1,4
1,2,1,3,7
2,1,3,1,8
1,2,1,3,1
2,1,3,1,2
1,2,2,0,9
2,1,4,2,10
1,2,1,3,7
2,1,3,1,8
1,2,1,3,3
2,1,3,1,4
1,1,2,0,73
2,2,4,2,74
1,2,1,3,3
2,1,3,1,4
1,2,1,3,3
2,1,3,1,4
1,2,1,0,3
2,1,3,2,4
1,2,1,3,1
2,1,3,1,2
1,2,2,0,9
2,1,4,2,10
1,2,1,3,1
2,1,3,1,2
1,2,2,0,75
2,1,4,2,76
1,2,1,3,1
2,1,3,1,2
1,2,1,3,1
2,1,3,1,2
1,1,2,0,77
2,2,4,2,78
1,2,1,0,3
2,1,3,2,4
1,2,1,0,3
2,1,3,2,4
1,2,1,3,1
2,1,3,1,2
