truth,icot,oct,kmeans_plus,hclust,gmm,dbscan
1,5,5,5,1,1,1
1,5,5,5,1,1,1
1,5,5,5,1,1,1
1,5,5,5,1,1,1
1,5,5,5,1,1,1
1,5,5,5,1,1,1
1,5,5,5,1,1,1
1,5,5,5,1,1,1
1,5,5,5,1,1,1
1,5,5,5,1,1,1
1,5,5,5,1,1,1
1,5,5,5,1,1,1
1,5,5,5,1,1,1
1,5,5,5,1,1,1
1,5,5,5,1,1,1
1,5,5,5,1,1,1
1,5,5,5,1,1,1
1,5,5,5,1,1,1
1,5,5,5,1,1,1
1,5,5,5,1,1,1
1,5,5,5,1,1,1
1,5,5,5,1,1,1
1,5,5,5,1,1,1
1,5,5,5,1,1,1
1,5,5,5,1,1,1
1,5,5,5,1,1,1
1,5,5,5,1,1,1
1,5,5,5,1,1,1
1,5,5,5,1,1,1
1,5,5,5,1,1,1
1,5,5,5,1,1,1
1,5,5,5,1,1,1
2,6,1,1,2,3,2
2,6,1,1,2,3,2
2,6,1,1,2,0,2
2,6,1,1,2,0,2
2,6,1,1,2,0,2
2,6,1,1,2,3,2
2,6,1,1,2,0,2
2,6,1,1,2,0,2
2,6,1,1,2,0,2
2,6,1,1,2,0,2
2,6,1,1,2,0,2
2,6,1,1,2,0,2
2,6,1,1,2,0,2
2,6,1,1,2,3,2
2,6,1,1,2,0,2
2,6,1,1,2,3,2
2,6,1,1,2,3,2
2,6,1,1,2,0,2
2,6,1,1,2,0,2
2,6,1,1,2,3,2
2,6,1,1,2,3,2
2,6,1,1,2,0,2
2,6,1,1,2,3,2
2,6,1,1,2,0,2
2,6,1,1,2,0,2
2,6,1,1,2,0,2
2,6,1,1,2,0,2
2,6,1,1,2,0,2
2,6,1,1,2,0,2
2,6,1,1,2,3,2
3,5,6,6,3,6,3
3,5,6,6,3,6,3
3,5,6,6,3,6,3
3,5,6,6,3,6,3
3,5,6,6,3,6,3
3,5,6,6,3,6,3
3,5,6,6,3,6,3
3,5,6,6,3,6,3
3,5,6,6,3,6,3
3,5,6,6,3,6,3
3,5,6,6,3,6,3
3,5,6,6,3,6,3
3,5,6,6,3,6,3
3,5,6,6,3,6,3
3,5,6,6,3,6,3
3,5,6,6,3,6,3
3,5,6,6,3,6,3
3,5,6,6,3,6,3
3,5,6,6,3,6,3
3,5,6,6,3,6,3
3,5,6,6,3,6,3
3,5,6,6,3,6,3
3,5,6,6,3,6,3
3,5,6,6,3,6,3
3,5,6,6,3,6,3
3,5,6,6,3,6,3
3,5,6,6,3,6,3
3,5,6,6,3,6,3
3,5,6,6,3,6,3
3,5,6,6,3,6,3
4,7,3,3,4,5,4
4,7,3,3,4,5,4
4,7,3,3,4,5,4
4,7,3,3,4,5,4
4,7,3,3,4,5,4
4,7,3,3,4,5,4
4,7,5,3,4,5,4
4,7,5,3,4,5,4
4,7,5,3,4,5,4
4,7,3,3,4,5,4
4,7,3,3,4,5,4
4,7,5,3,4,5,4
4,7,3,3,4,5,4
4,7,3,3,4,5,4
4,7,5,3,4,5,4
4,7,5,3,4,5,4
4,7,3,3,4,5,4
4,7,5,3,4,5,4
4,7,5,3,4,5,4
4,7,5,3,4,5,4
4,7,3,3,4,5,4
4,7,5,3,4,5,4
