truth,icot,oct,kmeans_plus,hclust,gmm,dbscan
5,3,7,7,1,2,2
4,7,5,5,2,2,2
6,4,4,4,3,3,2
3,9,3,3,4,3,2
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
1,8,1,1,5,1,1
