truth,icot,oct,kmeans_plus,hclust,gmm,dbscan
1,2,1,1,1,1,13
1,3,1,3,2,1,14
1,3,1,3,3,1,15
1,3,2,1,4,1,16
1,3,2,1,5,1,17
1,3,2,3,5,1,18
1,3,2,1,5,1,19
1,3,1,3,3,1,20
1,3,1,3,3,1,21
1,3,2,1,5,1,22
1,3,1,1,4,1,23
1,3,2,1,6,1,24
1,3,3,2,1,2,25
1,3,2,1,6,1,26
1,3,2,1,5,1,27
1,3,1,3,7,1,28
1,3,1,3,2,1,29
1,3,2,1,3,1,30
1,3,2,1,6,1,31
1,3,3,2,8,2,32
1,3,3,2,8,2,33
1,3,2,1,4,1,34
1,3,2,1,2,1,35
1,3,3,2,1,2,36
1,3,2,1,6,1,37
1,3,1,3,7,1,38
1,3,2,1,5,1,39
1,3,2,1,2,1,40
1,3,2,1,4,1,41
1,3,3,2,1,2,42
1,3,1,3,3,1,43
1,3,3,2,4,1,44
1,3,2,1,4,1,45
1,3,2,1,2,1,46
1,3,2,1,5,1,47
1,3,2,1,4,1,48
1,3,1,2,1,1,49
1,3,2,1,6,1,50
1,3,2,1,5,1,51
1,3,2,1,5,1,52
1,3,2,1,6,1,53
1,3,2,1,5,1,54
1,3,1,3,5,1,55
1,3,3,2,1,2,56
1,3,3,2,8,1,57
1,3,1,3,3,1,58
1,3,2,1,5,1,59
1,3,3,2,1,2,60
1,3,1,3,2,1,61
1,3,1,3,2,1,62
1,3,3,2,8,2,63
1,3,3,2,1,2,64
1,3,3,2,7,2,65
1,3,3,2,1,2,66
1,3,2,1,2,1,67
1,3,3,2,8,2,68
1,3,3,2,1,2,69
1,3,3,2,1,2,70
1,3,2,1,5,1,71
1,3,1,3,6,1,72
1,3,1,3,2,1,73
1,3,1,1,4,1,74
1,3,1,3,2,1,75
1,3,3,2,1,2,76
1,3,3,2,1,2,77
1,3,1,1,6,1,78
1,3,2,1,5,1,79
1,3,3,2,1,2,80
1,3,3,2,4,2,81
1,3,3,2,1,2,82
1,3,1,3,7,1,83
1,3,2,1,6,1,84
1,3,3,2,1,2,85
1,3,2,1,6,1,86
1,3,1,3,7,2,87
1,3,3,2,8,2,88
1,3,2,1,5,1,89
1,3,3,2,1,2,90
1,3,2,1,5,1,91
1,3,3,2,1,2,92
1,3,2,1,5,1,93
1,3,3,3,2,2,94
1,3,3,2,1,2,95
1,3,1,2,4,1,96
1,3,3,2,2,2,97
1,3,2,1,4,1,98
1,3,2,1,5,1,99
1,3,1,3,6,1,100
1,3,3,2,1,2,101
1,3,2,1,5,1,102
1,3,1,3,7,1,103
1,3,2,1,4,1,104
