truth,icot,oct,kmeans_plus,hclust,gmm,dbscan
1,5,1,5,1,5,2
1,7,1,3,2,2,3
1,5,1,10,3,0,4
1,11,2,8,4,2,5
1,12,2,7,5,1,6
1,13,2,10,5,0,7
1,12,2,7,5,1,8
1,11,1,10,3,0,9
1,11,1,10,3,0,10
1,12,2,7,5,1,11
1,5,1,8,4,2,12
1,11,2,5,6,5,13
1,4,3,2,7,3,14
1,11,2,5,6,5,15
1,12,2,7,5,1,16
1,8,1,4,8,6,17
1,7,1,3,2,6,18
1,12,2,10,3,0,19
1,11,2,5,6,5,20
1,4,3,1,9,5,21
1,4,3,1,9,5,22
1,11,2,8,4,2,23
1,11,2,8,2,2,24
1,4,3,2,7,3,25
1,11,2,5,6,5,26
1,8,1,4,8,6,27
1,12,2,7,5,1,28
1,11,2,8,2,2,29
1,11,2,8,4,2,30
1,4,3,2,7,3,31
1,5,1,10,3,0,32
1,5,3,8,4,2,33
1,11,2,8,4,2,34
1,11,2,3,2,2,35
1,12,2,7,5,1,36
1,11,2,8,4,2,37
1,5,1,9,1,5,38
1,11,2,5,6,5,39
1,12,2,7,5,1,40
1,12,2,7,5,1,41
1,11,2,5,6,5,42
1,13,2,7,5,6,43
1,13,1,10,5,0,44
1,4,3,2,7,3,45
1,4,3,1,9,5,46
1,5,1,10,3,0,47
1,12,2,5,5,1,48
1,4,3,9,1,5,49
1,13,1,4,2,6,50
1,7,1,4,2,6,51
1,4,3,1,9,5,52
1,4,3,9,7,3,53
1,8,3,2,8,6,54
1,4,3,9,1,5,55
1,13,2,4,2,6,56
1,4,3,1,9,5,57
1,4,3,2,7,3,58
1,4,3,9,1,2,59
1,12,2,5,5,5,60
1,5,1,5,6,5,61
1,13,1,4,2,6,62
1,5,1,8,4,2,63
1,7,1,3,2,6,64
1,4,3,9,1,2,65
1,4,3,2,7,3,66
1,5,1,5,6,5,67
1,12,2,7,5,1,68
1,4,3,2,7,3,69
1,4,3,9,4,2,70
1,4,3,2,7,3,71
1,8,1,10,8,6,72
1,11,2,5,6,5,73
1,8,3,2,7,3,74
1,12,2,5,6,5,75
1,8,1,10,8,0,76
1,4,3,1,9,0,77
1,12,2,7,5,1,78
1,4,3,9,1,2,79
1,12,2,7,5,1,80
1,4,3,9,1,2,81
1,12,2,7,5,1,82
1,7,3,3,2,6,83
1,4,3,2,7,3,84
1,4,1,8,4,2,85
1,7,3,3,2,2,86
1,11,2,5,4,5,87
1,13,2,7,5,1,88
1,5,1,1,6,5,89
1,4,3,9,1,2,90
1,12,2,7,5,1,91
1,8,1,4,8,6,92
1,11,2,8,4,2,93
1,12,2,7,5,1,94
1,8,1,10,8,6,95
1,13,1,4,8,6,96
1,4,3,3,2,2,97
1,8,1,10,8,0,98
1,5,1,1,9,0,99
1,12,2,7,5,1,100
1,13,2,7,2,2,101
1,11,2,5,6,5,102
1,12,2,7,5,1,103
1,4,3,1,9,5,104
1,13,2,3,2,2,105
1,8,1,4,8,6,106
1,13,2,7,2,6,107
1,12,2,7,5,1,108
1,11,1,10,3,0,109
1,12,2,5,6,5,110
1,7,1,3,2,6,111
1,5,1,10,3,0,112
1,11,2,8,4,2,113
1,5,3,9,1,5,114
1,13,2,3,2,2,115
1,4,3,9,1,5,116
1,4,3,2,7,3,117
1,12,2,7,5,1,118
1,12,2,7,5,1,119
1,8,1,10,8,0,120
1,12,2,7,5,1,121
1,8,1,4,8,6,122
1,4,3,3,2,2,123
1,7,1,3,2,2,124
1,7,3,3,2,2,125
1,7,1,3,2,6,126
1,8,1,4,8,6,127
1,12,2,7,5,1,128
