truth,icot,oct,kmeans_plus,hclust,gmm,dbscan
1,3,1,7,1,5,1
1,7,1,8,2,5,1
1,7,2,6,3,2,2
1,5,2,5,4,2,2
1,7,1,8,2,5,1
1,5,2,5,4,2,2
1,7,2,6,3,2,2
1,3,1,1,5,0,1
1,3,1,1,5,0,1
1,3,1,1,5,0,1
1,7,1,6,3,8,2
1,3,1,1,5,0,1
1,3,2,5,4,2,3
1,7,2,6,3,2,2
1,7,1,8,2,8,1
1,7,2,6,3,8,2
1,3,1,1,5,0,1
1,7,2,6,3,2,2
1,7,2,6,3,2,2
1,3,1,1,5,0,1
1,7,1,8,2,5,1
1,3,1,7,5,0,1
1,3,2,5,4,2,3
1,3,1,1,5,0,1
1,5,1,7,1,5,1
1,7,2,6,3,2,2
1,7,1,8,2,8,1
1,3,2,5,4,2,3
1,3,1,1,5,0,1
1,5,1,7,1,5,1
1,7,1,6,3,8,2
1,7,2,6,3,2,2
1,7,1,6,3,8,2
1,3,1,7,1,5,1
1,7,2,6,3,8,2
1,7,2,6,3,8,2
1,5,2,5,4,2,2
1,3,1,7,1,5,1
1,5,2,5,4,2,2
1,7,1,8,2,5,1
1,3,2,5,4,2,2
1,3,2,5,4,2,3
1,3,1,1,5,0,1
1,3,1,7,5,5,1
1,3,2,5,4,2,3
1,3,2,5,4,2,3
1,3,1,7,1,5,1
1,3,1,7,5,0,1
1,7,2,6,3,2,2
1,3,1,7,5,5,1
1,7,1,7,1,5,1
1,7,1,8,2,8,1
1,3,1,7,1,5,1
1,3,1,7,1,5,1
1,7,1,8,2,5,1
1,5,1,7,1,5,1
1,7,1,8,1,5,1
1,7,1,8,2,8,1
1,7,2,6,3,2,2
1,3,1,1,5,0,1
1,3,1,1,5,0,1
1,5,2,5,4,2,2
1,7,2,6,3,8,2
1,7,2,6,3,2,2
1,3,1,1,5,0,4
1,3,1,1,5,0,1
1,3,1,1,5,0,1
1,3,2,5,4,2,2
1,3,2,5,4,2,3
1,7,1,8,2,8,1
1,7,2,6,3,2,2
1,7,2,6,3,2,2
1,3,1,1,5,0,1
1,7,1,8,1,5,1
1,3,2,5,5,0,4
1,3,2,5,4,2,3
1,5,2,5,4,2,2
1,7,2,6,3,2,2
1,3,1,1,5,0,1
1,3,2,5,4,2,3
1,7,2,6,3,8,2
1,7,1,6,3,8,2
1,7,1,8,2,5,1
1,7,1,8,2,5,1
1,7,1,8,2,5,1
1,3,1,7,5,5,1
1,7,1,8,2,8,1
1,3,2,5,4,2,3
1,3,1,1,5,0,1
1,7,1,8,2,8,1
1,3,1,7,1,5,1
1,5,2,5,4,2,2
1,7,2,6,3,2,2
1,7,1,8,2,5,1
1,7,2,6,3,2,2
1,3,2,5,4,2,3
1,3,1,1,5,0,1
1,7,1,8,2,8,1
1,3,1,7,5,5,1
1,7,1,6,3,8,2
1,7,1,8,2,5,1
1,3,2,5,4,2,3
1,7,2,6,3,2,2
1,7,1,6,3,8,2
