truth,icot,oct,kmeans_plus,hclust,gmm,dbscan
1,2,2,2,1,8,1
1,7,10,10,2,8,1
1,7,3,5,3,3,2
1,6,3,3,4,3,2
1,7,10,10,2,8,1
1,6,3,3,4,3,2
1,7,3,5,3,3,2
1,2,7,7,5,5,1
1,2,7,7,5,5,1
1,2,7,7,5,5,1
1,7,3,5,3,6,2
1,2,7,7,5,5,1
1,2,3,3,4,3,3
1,7,3,5,3,3,2
1,7,10,10,2,6,1
1,7,3,5,3,6,2
1,2,7,7,5,5,1
1,7,3,5,3,3,2
1,7,3,5,3,3,2
1,2,7,7,5,5,1
1,7,10,10,2,8,1
1,2,2,2,5,5,1
1,2,3,3,4,3,3
1,2,7,7,5,5,1
1,6,4,2,1,8,1
1,7,3,5,3,3,2
1,7,10,10,2,6,1
1,2,3,3,4,3,3
1,2,7,7,5,5,1
1,6,2,2,1,8,1
1,7,3,5,3,6,2
1,7,3,5,3,3,2
1,7,10,5,3,6,2
1,6,2,2,1,8,1
1,7,3,5,3,6,2
1,7,3,5,3,6,2
1,6,3,3,4,3,2
1,2,2,2,1,8,1
1,6,3,3,4,3,2
1,7,10,10,2,8,1
1,6,3,3,4,3,2
1,2,3,3,4,3,3
1,2,7,7,5,5,1
1,2,2,2,5,8,1
1,2,3,3,4,3,3
1,2,3,3,4,3,3
1,2,2,2,1,8,1
1,2,2,2,5,5,1
1,7,3,5,3,3,2
1,2,2,2,5,8,1
1,7,10,2,1,8,1
1,7,10,10,2,6,1
1,2,2,2,1,8,1
1,6,2,2,1,8,1
1,7,10,10,2,8,1
1,6,4,2,1,8,1
1,7,10,2,1,8,1
1,7,10,10,2,6,1
1,7,3,5,3,3,2
1,2,7,7,5,5,1
1,2,7,7,5,5,1
1,6,3,3,4,3,2
1,7,3,5,3,6,2
1,7,3,5,3,3,2
1,2,7,7,5,5,4
1,2,7,7,5,5,1
1,2,7,7,5,5,1
1,6,3,3,4,3,2
1,2,3,3,4,3,3
1,7,10,10,2,6,1
1,7,3,5,3,3,2
1,7,3,5,3,3,2
1,2,7,7,5,5,1
1,7,10,2,1,8,1
1,2,3,3,5,5,4
1,2,3,3,4,3,3
1,6,3,3,4,3,2
1,7,3,5,3,3,2
1,2,7,7,5,5,1
1,2,3,3,4,3,3
1,7,3,5,3,6,2
1,7,10,5,3,6,2
1,7,10,10,2,8,1
1,7,10,10,2,8,1
1,7,10,10,2,8,1
1,2,2,2,5,8,1
1,7,10,10,2,6,1
1,2,3,3,4,3,3
1,2,7,7,5,5,1
1,7,10,10,2,6,1
1,6,2,2,1,8,1
1,6,3,3,4,3,2
1,7,3,5,3,3,2
1,7,10,10,2,8,1
1,7,3,5,3,3,2
1,2,3,3,4,3,3
1,2,7,7,5,5,1
1,7,10,10,2,6,1
1,2,2,2,5,8,1
1,7,10,5,3,6,2
1,7,10,10,2,8,1
1,2,3,3,4,3,3
1,7,3,5,3,3,2
1,7,10,5,3,6,2
1,2,7,7,5,5,1
1,7,3,5,3,3,2
1,7,3,5,3,6,2
1,7,10,10,2,6,1
1,6,3,3,4,3,2
1,7,10,5,3,6,2
1,2,3,3,4,5,3
1,2,7,7,5,5,4
1,2,2,2,1,8,1
1,7,10,10,2,6,1
1,7,3,5,3,3,2
1,6,3,3,4,3,2
1,7,10,10,2,8,1
1,2,7,7,5,5,1
1,7,10,2,1,8,1
1,2,3,3,4,3,3
1,2,3,3,4,3,2
1,7,10,5,3,6,2
1,7,10,10,2,6,1
1,7,3,5,3,6,2
1,2,3,3,5,5,4
1,7,10,2,1,8,1
1,2,7,7,5,5,1
1,2,7,7,5,5,1
1,7,10,10,2,8,1
1,2,3,3,4,3,3
1,7,10,10,2,8,1
1,2,7,7,5,5,1
1,6,2,2,1,8,1
1,7,10,5,3,6,2
1,7,10,10,2,8,1
1,6,4,2,1,8,1
1,2,3,3,4,3,2
1,7,10,5,3,6,2
1,2,7,7,5,5,1
1,7,10,10,2,8,1
1,6,3,3,4,3,2
1,2,3,3,5,5,3
1,2,2,2,5,8,1
1,7,10,10,2,6,1
1,7,3,5,3,3,2
1,7,10,10,2,6,1
1,7,10,5,3,6,2
1,2,3,3,4,5,3
1,7,10,10,2,6,1
1,2,2,2,1,8,1
