truth,icot,oct,kmeans_plus,hclust,gmm,dbscan
1,7,3,5,1,1,1
1,7,3,5,1,1,1
1,7,3,5,1,1,1
1,7,3,5,1,1,1
1,7,3,5,1,1,1
1,7,3,5,1,1,1
1,7,3,5,1,1,1
1,7,3,5,1,1,1
1,7,3,5,1,1,1
1,7,3,5,1,1,1
1,7,3,5,1,1,1
1,7,3,5,1,1,1
1,7,3,5,1,1,1
1,7,3,5,1,1,1
1,7,3,5,1,1,1
1,7,3,5,1,1,1
1,7,3,5,1,1,1
1,7,3,5,1,1,1
1,7,3,5,1,1,1
1,7,3,5,1,1,1
1,7,3,5,1,1,1
1,7,3,5,1,1,1
1,7,3,5,1,1,1
1,7,3,5,1,1,1
1,7,3,5,1,1,1
1,7,3,5,1,1,1
1,7,3,5,1,1,1
1,7,3,5,1,1,1
1,7,3,5,1,1,1
1,7,3,5,1,1,1
1,7,3,5,1,1,1
1,7,3,5,1,1,1
2,7,7,1,2,0,2
2,7,7,1,2,0,2
2,7,7,1,2,0,2
2,7,7,1,2,0,2
2,7,7,1,2,0,2
2,7,7,1,2,0,2
2,7,7,1,2,0,2
2,7,7,1,2,0,2
2,7,7,1,2,0,2
2,7,7,1,2,0,2
2,7,7,1,2,0,2
2,7,7,1,2,0,2
2,7,7,1,2,0,2
2,7,7,1,2,0,2
2,7,7,1,2,0,2
2,7,7,1,2,0,2
2,7,7,1,2,0,2
2,7,7,1,2,0,2
2,7,7,1,2,0,2
2,7,7,1,2,0,2
2,7,7,1,2,0,2
2,7,7,1,2,0,2
2,7,7,1,2,0,2
2,7,7,1,2,0,2
2,7,7,1,2,0,2
2,7,7,1,2,0,2
2,7,7,1,2,0,2
2,7,7,1,2,0,2
2,7,7,1,2,0,2
2,7,7,1,2,0,2
3,6,5,6,3,1,3
3,6,5,6,3,1,3
3,6,5,6,3,1,3
3,6,5,6,3,1,3
3,6,5,6,3,1,3
3,6,5,6,3,1,3
3,6,5,6,3,1,3
3,6,5,6,3,1,3
3,6,5,6,3,1,3
3,6,5,6,3,1,3
3,6,5,6,3,1,3
3,6,5,6,3,1,3
3,6,5,6,3,1,3
3,6,5,6,3,1,3
3,6,5,6,3,1,3
3,6,5,6,3,1,3
3,6,5,6,3,1,3
3,6,5,6,3,1,3
3,6,5,6,3,1,3
3,6,5,6,3,1,3
3,6,5,6,3,1,3
3,6,5,6,3,1,3
3,6,5,6,3,1,3
3,6,5,6,3,1,3
3,6,5,6,3,1,3
3,6,5,6,3,1,3
3,6,5,6,3,1,3
3,6,5,6,3,1,3
3,6,5,6,3,1,3
3,6,5,6,3,1,3
4,7,2,3,4,3,4
4,7,2,3,4,3,4
4,7,2,3,4,3,4
4,7,2,3,4,3,4
4,7,2,3,4,3,4
4,7,2,3,4,3,4
4,7,3,3,4,3,4
4,7,3,3,4,3,4
4,7,3,3,4,3,4
4,7,2,3,4,3,4
4,7,2,3,4,3,4
4,7,3,3,4,3,4
4,7,2,3,4,3,4
4,7,2,3,4,3,4
4,7,3,3,4,3,4
4,7,3,3,4,3,4
4,7,2,3,4,3,4
4,7,3,3,4,3,4
4,7,3,3,4,3,4
4,7,3,3,4,3,4
4,7,2,3,4,3,4
4,7,3,3,4,3,4
