truth,icot,oct,kmeans_plus,hclust,gmm,dbscan
1,7,6,6,1,2,1
1,7,6,6,1,2,1
1,7,6,6,1,2,1
1,7,6,6,1,2,1
1,7,6,6,1,2,1
1,7,6,6,1,2,1
1,7,6,6,1,2,1
1,7,6,6,1,2,1
1,7,6,6,1,2,1
1,7,6,6,1,2,1
1,7,6,6,1,2,1
1,7,6,6,1,2,1
1,7,6,6,1,2,1
1,7,6,6,1,2,1
1,7,6,6,1,2,1
1,7,6,6,1,2,1
1,7,6,6,1,2,1
1,7,6,6,1,2,1
1,7,6,6,1,2,1
1,7,6,6,1,2,1
1,7,6,6,1,2,1
1,7,6,6,1,2,1
1,7,6,6,1,2,1
1,7,6,6,1,2,1
1,7,6,6,1,2,1
1,7,6,6,1,2,1
1,7,6,6,1,2,1
1,7,6,6,1,2,1
1,7,6,6,1,2,1
1,7,6,6,1,2,1
1,7,6,6,1,2,1
1,7,6,6,1,2,1
2,7,7,7,2,1,2
2,7,7,7,2,1,2
2,7,7,7,2,1,2
2,7,7,7,2,1,2
2,7,7,7,2,1,2
2,7,7,7,2,1,2
2,7,7,7,2,1,2
2,7,7,7,2,1,2
2,7,7,7,2,1,2
2,7,7,7,2,1,2
2,7,7,7,2,1,2
2,7,7,7,2,1,2
2,7,7,7,2,1,2
2,7,7,7,2,1,2
2,7,7,7,2,1,2
2,7,7,7,2,1,2
2,7,7,7,2,1,2
2,7,7,7,2,1,2
2,7,7,7,2,1,2
2,7,7,7,2,1,2
2,7,7,7,2,1,2
2,7,7,7,2,1,2
2,7,7,7,2,1,2
2,7,7,7,2,1,2
2,7,7,7,2,1,2
2,7,7,7,2,1,2
2,7,7,7,2,1,2
2,7,7,7,2,1,2
2,7,7,7,2,1,2
2,7,7,7,2,1,2
3,4,5,5,3,2,3
3,4,5,5,3,2,3
3,4,5,5,3,2,3
3,4,5,5,3,2,3
3,4,5,5,3,2,3
3,4,5,5,3,2,3
3,4,5,5,3,2,3
3,4,5,5,3,2,3
3,4,5,5,3,2,3
3,4,5,5,3,2,3
3,4,5,5,3,2,3
3,4,5,5,3,2,3
3,4,5,5,3,2,3
3,4,5,5,3,2,3
3,4,5,5,3,2,3
3,4,5,5,3,2,3
3,4,5,5,3,2,3
3,4,5,5,3,2,3
3,4,5,5,3,2,3
3,4,5,5,3,2,3
3,4,5,5,3,2,3
3,4,5,5,3,2,3
3,4,5,5,3,2,3
3,4,5,5,3,2,3
3,4,5,5,3,2,3
3,4,5,5,3,2,3
3,4,5,5,3,2,3
3,4,5,5,3,2,3
3,4,5,5,3,2,3
3,4,5,5,3,2,3
4,7,4,4,4,2,4
4,7,4,4,4,2,4
4,7,4,4,4,2,4
4,7,4,4,4,2,4
