truth,icot,oct,kmeans_plus,hclust,gmm,dbscan
1,6,2,6,1,2,1
1,6,2,6,1,2,1
1,6,2,6,1,2,1
1,6,2,6,1,2,1
1,6,2,6,1,2,1
1,6,2,6,1,2,1
1,6,2,6,1,2,1
1,6,2,6,1,2,1
1,6,2,6,1,2,1
1,6,2,6,1,2,1
1,6,2,6,1,2,1
1,6,2,6,1,2,1
1,6,2,6,1,2,1
1,6,2,6,1,2,1
1,6,2,6,1,2,1
1,6,2,6,1,2,1
1,6,2,6,1,2,1
1,6,2,6,1,2,1
1,6,2,6,1,2,1
1,6,2,6,1,2,1
1,6,2,6,1,2,1
1,6,2,6,1,2,1
1,6,2,6,1,2,1
1,6,2,6,1,2,1
1,6,2,6,1,2,1
1,6,2,6,1,2,1
1,6,2,6,1,2,1
1,6,2,6,1,2,1
1,6,2,6,1,2,1
1,6,2,6,1,2,1
1,6,2,6,1,2,1
1,6,2,6,1,2,1
2,6,2,7,2,1,2
2,6,2,7,2,1,2
2,6,2,7,2,1,2
2,6,2,7,2,1,2
2,6,2,7,2,1,2
2,6,2,7,2,1,2
2,6,2,7,2,1,2
2,6,2,7,2,1,2
2,6,2,7,2,1,2
2,6,2,7,2,1,2
2,6,2,7,2,1,2
2,6,2,7,2,1,2
2,6,2,7,2,1,2
2,6,2,7,2,1,2
2,6,2,7,2,1,2
2,6,2,7,2,1,2
2,6,2,7,2,1,2
2,6,2,7,2,1,2
2,6,2,7,2,1,2
2,6,2,7,2,1,2
2,6,2,7,2,1,2
2,6,2,7,2,1,2
2,6,2,7,2,1,2
2,6,2,7,2,1,2
2,6,2,7,2,1,2
2,6,2,7,2,1,2
2,6,2,7,2,1,2
2,6,2,7,2,1,2
2,6,2,7,2,1,2
2,6,2,7,2,1,2
3,3,1,5,3,8,3
3,3,1,5,3,8,3
3,3,1,5,3,8,3
3,3,1,5,3,8,3
3,3,1,5,3,8,3
3,3,1,5,3,8,3
3,3,1,5,3,8,3
3,3,1,5,3,8,3
3,3,1,5,3,8,3
3,3,1,5,3,8,3
3,3,1,5,3,8,3
3,3,1,5,3,8,3
3,3,1,5,3,8,3
3,3,1,5,3,8,3
3,3,1,5,3,8,3
3,3,1,5,3,8,3
3,3,1,5,3,8,3
3,3,1,5,3,8,3
3,3,1,5,3,8,3
3,3,1,5,3,8,3
3,3,1,5,3,8,3
3,3,1,5,3,8,3
3,3,1,5,3,8,3
3,3,1,5,3,8,3
3,3,1,5,3,8,3
3,3,1,5,3,8,3
3,3,1,5,3,8,3
3,3,1,5,3,8,3
3,3,1,5,3,8,3
3,3,1,5,3,8,3
4,7,1,4,4,4,4
4,7,1,4,4,4,4
4,7,1,4,4,4,4
4,7,1,4,4,4,4
4,7,1,4,4,4,4
4,7,1,4,4,4,4
4,7,1,4,4,4,4
4,7,1,4,4,4,4
4,7,1,4,4,4,4
4,7,1,4,4,4,4
4,7,1,4,4,4,4
4,7,1,4,4,4,4
4,7,1,4,4,4,4
4,7,1,4,4,4,4
4,7,1,4,4,4,4
4,7,1,4,4,4,4
4,7,1,4,4,4,4
4,7,1,4,4,4,4
4,7,1,4,4,4,4
4,7,1,4,4,4,4
4,7,1,4,4,4,4
4,7,1,4,4,4,4
4,7,1,4,4,4,4
4,7,1,4,4,4,4
4,7,1,4,4,4,4
4,7,1,4,4,4,4
4,7,1,4,4,4,4
4,7,1,4,4,4,4
4,7,1,4,4,4,4
4,7,1,4,4,4,4
5,6,2,3,5,3,5
5,6,2,3,5,5,5
5,6,2,3,5,5,5
5,6,2,3,5,5,5
5,6,2,3,5,3,5
5,6,2,3,5,3,5
5,6,2,3,5,5,5
5,6,2,3,5,5,5
5,6,2,3,5,5,5
5,6,2,3,5,3,5
5,6,2,3,5,5,5
5,6,2,3,5,5,5
5,6,2,3,5,3,5
5,6,2,3,5,3,5
5,6,2,3,5,3,5
5,6,2,3,5,5,5
5,6,2,3,5,3,5
5,6,2,3,5,3,5
5,6,2,3,5,5,5
5,6,2,3,5,3,5
5,6,2,3,5,5,5
5,6,2,3,5,3,5
5,6,2,3,5,3,5
5,6,2,3,5,3,5
5,6,2,3,5,5,5
5,6,2,3,5,3,5
5,6,2,3,5,3,5
5,6,2,3,5,5,5
5,6,2,3,5,3,5
5,6,2,3,5,5,5
6,6,1,2,6,0,6
6,6,1,2,6,0,6
6,6,1,2,6,0,6
6,6,1,2,6,0,6
6,6,1,2,6,0,6
6,6,1,2,6,0,6
6,6,1,2,6,0,6
6,6,1,2,6,0,6
6,6,1,2,6,0,6
6,6,1,2,6,0,6
6,6,1,2,6,0,6
6,6,1,2,6,0,6
6,6,1,2,6,0,6
6,6,1,2,6,0,6
6,6,1,2,6,0,6
6,6,1,2,6,0,6
6,6,1,2,6,0,6
6,6,1,2,6,0,6
6,6,1,2,6,0,6
6,6,1,2,6,0,6
6,6,1,2,6,0,6
6,6,1,2,6,0,6
6,6,1,2,6,0,6
6,6,1,2,6,0,6
6,6,1,2,6,0,6
6,6,1,2,6,0,6
6,6,1,2,6,0,6
6,6,1,2,6,0,6
6,6,1,2,6,0,6
6,6,1,2,6,0,6
7,5,2,1,7,6,7
7,5,2,1,7,7,7
7,5,2,1,7,7,7
7,5,2,1,7,6,7
7,5,2,1,7,6,7
7,5,2,1,7,6,7
7,5,2,1,7,6,7
7,5,2,1,7,6,7
7,5,2,1,7,7,7
7,5,2,1,7,6,7
7,5,2,1,7,7,7
7,5,2,1,7,6,7
7,5,2,1,7,6,7
7,5,2,1,7,6,7
7,5,2,1,7,6,7
7,5,2,1,7,6,7
7,5,2,1,7,6,7
7,5,2,1,7,6,7
7,5,2,1,7,6,7
7,5,2,1,7,7,7
7,5,2,1,7,6,7
7,5,2,1,7,7,7
7,5,2,1,7,6,7
7,5,2,1,7,6,7
7,5,2,1,7,6,7
7,5,2,1,7,6,7
7,5,2,1,7,6,7
7,5,2,1,7,6,7
7,5,2,1,7,7,7
7,5,2,1,7,6,7
